,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X600010.SH,X601898.SH,X600547.SH,X600688.SH,X600188.SH,X601600.SH,X600362.SH,X600795.SH,X300072.SZ,X600157.SH,X601991.SH,X601992.SH,X600027.SH,X600489.SH,X600111.SH,X600309.SH,X600660.SH,X600886.SH,X000723.SZ,X600623.SH,X002466.SZ,X600299.SH,X601158.SH,X000959.SZ,X000792.SZ,X002075.SZ,X000898.SZ,X000408.SZ,X000709.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600549.SH,X600352.SH,X000630.SZ,X000935.SZ,X600176.SH,X000539.SZ,X000027.SZ,X601699.SH,X000060.SZ,X000937.SZ,X600021.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000709.SZ,0,0,0,0,0,0,0,0.0720463876722968,0,0,0.0347960176952299,0,0,0,-0.022784788969856,0,0,0.000839265957091041,0,0,0,0,0.0193724701444663,0,0.0364844356144451,0,-0.164737082938469,0,0.0304923462028555,0.20059893775763,0.259080959985498,0.0463167033743184,0.345087430998943,0.202267954064665,0,0,0,0,0,0,0,0.0209397434451588,0,0,0,0.0138272282623638,0,0,0,0,0,-0.0431498413152032,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204957498900465,0,0.137393568201922,0,0,0,0,0.0922365030717724,0.0224045515603052,0.111620152377019,0,0,0,0,0,0,0,0.0331449470999739,0,0,0,0,0,0,0,0,0,0,0.078209180747512,0,0,-0.0777433959045214,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0.369076936566139,0,0,0,0,0,0,0,0,-0.101454965413789,0,0,0,0,0,0,0.00654682703077038,0,-0.0933557997467024,0,0,0,0,0,0,0,0,0,0,0,0,0.00435423266206502,0.0616290938170445,0,0,0.498565373388522,0,0.0435748570808708,0,0,0,0,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00243701869865739,0,0,0,0.0987750607952928,0.0414671789566054,0,0,4.33680868994202e-19,0,0,0.0584441429565026,0,0.114052820992261,0,0,0,0,0,0,0,0,0,0,0.000160289628121669,0,0,0,0,0.0754997075290883,0,0,0,0,0,0,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0.0457160620803976,0,0,0,0,0,0,0,0,0,0,0,0.561711627734367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739841009701144,0.245602056473934,0,0,0.0849813463299352,0,0.0199429963739453,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0.0530377829406633,0,0,0,0,0,0,0.0181227160242663,0,0,0,0,0,0.198892263079924,0,0,0.283132751034084,0,0.159627663273879,0,0,0,-0.0101077960563847,0,0,0,0,0,0,0.044498724324629,0,0,0,0,-0.0215504293775795,0.208241781071836,0,0,0,0,0,0,0,0,-0.0204379475345656,0.0318787614911718,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16952611319063,0,0,0,0,0,0,0,0,0.0298637182901936,0,0,0,0.131162051749041,0,0,0,0,0,0,0,0,0,0,0.096252423253053,0,0.0249239555557465,0.0162982612154356,0,0,0,0,0.00655569490071339,0,0.16614585486264,0,0,-0.0130783929218214,0,0,0,0,0,0
X000935.SZ,0,0,0,0,0,0,0,0,0.572331294590652,0,-0.609025066755202,0,0,0,0.265086551485069,0,0,0,0,0,0,0,0,0,0,0.120213404528702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202216798027334,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0.0888774547885819,0,0,0.00894951857110668,0,0,0,0.0047938901452188,0,0,0,0,0,0.0755578528301071,0,0.06939330520043,0,0,0,0,0,0,0.043824834746376,0,0,0,0,0,0,0.0684686570463115,0,0.0154013424455412,0.113260982303819,0,0,0,0,0,0,0,0,0,0.0119688419253261,0,0,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0.0487176439262221,0,0,0,0,0,0,0,0,0,0,0,0,0.0720031866213696,0,0,0,0.0665353018267587,0,0,0,0,0,0,0,0,0.002575286462036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560160872871324,0,0.111231336484762,0,0,0,0,0,0.00569083196056598,0,0,0,0,0,0
