,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X601991.SH,X600362.SH,X600795.SH,X600352.SH,X600688.SH,X600111.SH,X600801.SH,X000723.SZ,X600027.SH,X601992.SH,X600489.SH,X000786.SZ,X002271.SZ,X000898.SZ,X600176.SH,X600516.SH,X600612.SH,X600299.SH,X000709.SZ,X002460.SZ,X600426.SH,X601158.SH,X002466.SZ,X000883.SZ,X000629.SZ,X600219.SH,X002353.SZ,X000630.SZ,X000027.SZ,X600583.SH,X000825.SZ,X600315.SH,X000553.SZ,X601699.SH,X600985.SH,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.120026183866383,0,0,0,0,0.0766084022939004,0,-0.10966511081422,0,0,0,0,0,0,0,0,0,0,0,0.150619445436813,0,0,0,0,0.0953397352749505,0,0,0,0,0,-0.00119212965961298,0.0512028386236983,0,0,-0.237989520951801,0,-0.0259603089418235,0,0,0.0461930334741991,-8.67361737988404e-19,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108223912935775,0,0,0,0,0,0.0945304680247478,0,0,0.0782876465606815,0,0,0,0,0.135059771817137,0,0,0,0,0,0,0.00913848505635841,0,0,0,0,0,0,0,0,0,0,0,0.0264678255562311,0,0,0.00984738309096632,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101224742415498,0,0,0,0,0,0,0,0.0341757584560497,0,0,0.0342780371455663,0,0,0.117480654558222,0,0.0830415646746913,0,0.032800802733419,0,0.14170797489839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00473576286710779,0,0,0,0.0329570769301315,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253299907113755,0,0,0.105150230272722,0,0,0,0,0,0,0.0144681484520925,0,0,0,0,0,0,0,0,0.200472439529498,0.00805767906228648,0.321177663049906,0,0,0,0,0,0,0,0,0,-0.00111772924908431,0,0,0,-0.0455004784567095,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0.108283432479314,0,0,0,0,0,0,0,0.0269130361264769,0,0,0,0,0,0,0,0,0,0.382732231185199,0,0.0284852798279872,0,0.0417261903821768,0,0,0,0,0.0494121128796095,0,0.0998622731894282,0,0.0361706962222536,0,0,0,0,0,0,0,0,0,0,0,0.00699472938296122,0,0,0,0,0,0
X600315.SH,0,0,0,0,0,0,-0.034409092163864,0,0,0,0,0,0,0,0,0,0,0,0,-0.163025152847786,0,3.46944695195361e-18,0,0.16668844495295,0,0,0,0,0,0,0,0,0,0,0,0,0.0817457706001471,0,0,0,0,0,0,0,0,0,0,0,0,0.204299640324934,0,-0.0214488785857025,0.00168636472052104,0,0,0,0.0237142847874688,0,0
X000553.SZ,0,0,0,0,0,0,-0.0428511815998825,0,0,0,0,0,0,0,0,0,0,0,0.0381664506811796,0,0,0.0554951298065816,0,0,0,0,0,0.112016298948108,0,0.22801923937534,0,0.0329319340479784,0,0.0804331570820455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030788250919933,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,-0.0108655077838699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762651130583808,0.0633116919298178,0,0,0,0,0.0453104878261714,0,0,0.0389705438458594,0,0,0,0.172962064900867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602709493970514,0,0,0,-0.132415880070959,0,0
X600985.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257656820352055,0,-2.16840434497101e-19,0,0.0115734942481034,0,0,0,0,0,0,0,0.072266813599023,0,0,0,0.141861866095289,0,0,0,0,0.244874183451918,0,0.0500617285048207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000401.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174703266637189,0.661305291061526,0,0.101665061744602,0,0,0,0,0,0,0,-0.0990503229562456,0.245188762712267,0,0,0,0,0,0,0,0,-0.0217296732334709,0,0,0,0,0.0505883301430958,0,0,0,0,0,-0.00666474690173843,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,-0.0619180919003924,0,0,0,0,0,0,0,0,0,0,0,0,0.00266626957902146,0,0,0,0,0,-0.0524047839116455,0,0,-0.0107079159097617,0,0,0,0,0,0,0,0,0,0,0,-0.117684051453303,0,0,0,-0.171914725050391,0,0,0,0,0,0,0.0171873033318955,-0.0675829779222118,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733397860664786,0,0,0,0.118780666788124,0,0
TED,0,0,0,0.621960694818286,0,0,0.222222799131439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544161177971249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55395975541593,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020988208164157,0,0.0504119596205615,0,0,0,0,0,0,0,0,0,-0.0433648539758907,0,0,0,-0.0746342183745078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00101101166712431,0.023597506552553,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,-0.0492886282439915,0,0,0,0,-0.0322806133392583,0,0,0,0,-0.00846689685120159,0,0,0,0,0.109886018231444,0,0,0,0,0,0.135632320521404,0,0,0,0,-5.42101086242752e-20,0,0,0,-0.0521364250988466,0,0,0,0,0,0,0,0,0,0,0,0.000269705943413266,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000826025848540187,0,0,0,-0.00314612543783379,0,0,0,0,0.000898466970448939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032862443706467,0.012971107547426,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0.224723419679837,0,0.35660717359597,-0.461780205677358,0,0,0,0,0,0,0,0.0181140689662285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00690741309438627,0,0,0,0,0,0,0,-0.34685676866893,0,0,0,0,0,0,0.0673116851556923,0.34693457038367,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000871163552414835,0,0,0,0,0,-0.00216804248264457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00794781522621452,-0.00512831886714706,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198911370602546,0,-0.00382773049251029,0,0,0,0,-0.00327702770113536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219831962782563,-0.0156726737533646,0,0,0,0,0,0
