,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601600.SH,X600688.SH,X600188.SH,X601991.SH,X600795.SH,X600886.SH,X600362.SH,X002466.SZ,X000898.SZ,X600516.SH,X600547.SH,X600027.SH,X601992.SH,X600111.SH,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X300072.SZ,X000786.SZ,X600801.SH,X000932.SZ,X000709.SZ,X000629.SZ,X600808.SH,X600426.SH,X600339.SH,X600583.SH,X000883.SZ,X601158.SH,X600219.SH,X601699.SH,X000830.SZ,X600985.SH,X002271.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600547.SH,0,0,0,0,0,0,0.028712238353565,0,0,0,0,0,0,0,0,0,0,0.0529222434047611,0,0,0,0,0,0,8.67361737988404e-19,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050332713360284,0,0,0,0.854534020137732,0,0.0167497850277604,0.0349188141334968,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.540616526209283,0,0,0,0,0,0,0,0,0.166517723350495,0,0,0.0958758735685617,0,0,0,0,0,0,-0.0711912000398256,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.136478707762726,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.00222745997094722,0.0103953141081484,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0.1024854761214,0,0,0,0,0,0,0,0,0,0,0,0.276815761195308,0,0,0,0,0,0.0122605317510483,0.0684579864235411,0.0721716448377699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0982122426979672,0,0,0,-0.00322970167494749,-0.0161709383595566,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.0394752519520603,0,0,0.142178674626917,0,0,0,0,0,0,0,0,0,0,0,0.046111038354207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170839374992741,0,0.0883529346122267,0,0,0,0,0,0.169841677141665,0.0227014335732273,0,0,0,0.00177604000934837,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614845106276421,0,0,0.201750897729406,0,0.0268415527425131,8.67361737988404e-19,0,0,0.0341355779027148,0,0,0,0,0.0180539916055684,0.0815559147536525,0.0320753229772944,0,0,0,0,0,0.0477680525749799,0.0741118078005416,0,0,0,0.0156732971769286,0.0212779538076037,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362131226744679,0,0.315980337480809,0.0581671926030195,0,0.122048479640218,0,0,0,0.0476763626430433,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.00384211802584624,-0.0167503870123026,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1348845970544,0,0.0602542903603079,0,0,0,0.0495346644898892,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.176134644717841,0.00477955784722173,0,0,0,0,0,0.259957582458532,0,0,0,0,0.0145586442655183,-4.33680868994202e-19,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00935001183318804,0,0,0,0,0.00994477863216134,0.0886859458305883,0,0,0,0,0.0642750397368773,0,0,0,0,0,0,0.0920405348541244,0.0464301803946456,0,0,0,0,0,0.320160950605593,0,0,0,0,0,-0.0184298102329362,0,0,0,0,0,0
X002110.SZ,0,0,0,0,0.475467102052718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703885835947509,0,0,0,0,0,0,0,0,0,0,0,0,0.0010702247502896,0,0.25971039081836,0,0,0,0,0,0,0,0,0,0.128896141089786,0,0,0.0270514809480446,0,0,0.00528776296293756,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0.0400315307707585,0,0,0,0,0,0,0,0,0,0,0.0735400301902001,0,0,0,0,0,0.297151724992356,0,0,0,3.46944695195361e-18,0.0449796656055352,0.0189572128224147,0,0,0,0,0,0,0,0,0,0,0,0,0.164156206210086,0,0,-0.410320845731509,0,-0.00441638613861397,0,0.0449773361917956,0,0,0,0
X300072.SZ,0,0,0,0,0,-0.0940450543888068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.331225157389941,0,0,0,0,0,0,0,0.164043040025263,0,0,0,0,0,0,0,0.242476395716711,0,0,0,0,0,0,-0.0219981182864281,0,0.055989773199648,0,-0.207465771730559,-0.0482683135126894,0.000513859358193142,0,0,0,0,0,0
X000786.SZ,0,0,0,0.517213455733066,0,0.117864869133575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285049733615567,0,0,0.109954610978973,0,0,0,0.0336452228035813,0,0,0,0,0.156797152571478,0,0,0,0,0,-0.0762239892912869,0,0,0,0,0,0,0.0792643788143759,0,0,0.0518655431678693,0.0571992084745032,0,0,0,0,0,0
X600801.SH,0,0,0,0.358757254572214,0,0.00276000849436288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257423689809773,0,0,0,0,0,-0.0671260237281461,0.0322000932333113,0,0.336988185725129,0,0,0,0.0371711878823334,0,0,0,0,0,0,0,0,0.0704831330994016,0,0,-0.0128516433058627,0.0337093806135559,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0.0831205035121772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248687546855573,0.0867148330950633,0,0,0,0,0,0,0,0,0.529501367191612,0,0,0.0366919384161638,0,0,0,0,0.0520483517315081,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00882151309405674,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477940157012983,0,0,0,0,0,0,0.109578493199265,0,0,0.0278931596846402,0,0,0,0,0,0,0.084150733986291,0.228980218030499,0,0,0,0,-0.00212568581270718,-0.0213274660126453,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0.00176991450434188,0,0,0,0,0.0105581928410426,0,0,0,0,0,0.0425384324119091,0,0,0,0.144618300168403,0,0,0,0,0,0.143868881557772,0,0,0,0.0751708277395507,0.191497950956834,0,0,0,0,0,0,0,0,0,0.0226171377258198,0,0,0,0,0,0,-0.0042627060097185,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140693249185369,-0.103937499052232,0,0.0888018112783921,0,0,0.155844973673325,0,0.0456946981091689,0.0542995497631688,0,0,0,0,0,0,0,0,0,0,0.731483099160983,-0.0571961878032164,0,0,-0.0166136017845663,-0.0224150035184256,-0.02175713421202,0,0,0,0,0,0
