,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X000786.SZ,X600176.SH,X600111.SH,X600010.SH,X601600.SH,X600426.SH,X000301.SZ,X601898.SH,X600011.SH,X002466.SZ,X600886.SH,X600188.SH,X600352.SH,X600801.SH,X600219.SH,X600489.SH,X601991.SH,X600803.SH,X600795.SH,X600486.SH,X002353.SZ,X002080.SZ,X600688.SH,X600299.SH,X000932.SZ,X601168.SH,X300037.SZ,X600027.SH,X600295.SH,X600516.SH,X600315.SH,X000898.SZ,X000723.SZ,X601992.SH,X000027.SZ,X600157.SH,X600549.SH,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249451496866115,0.0356019457657238,0,0,0,0,0,0,0,0.0568990924499517,0,0.127671225560964,-0.013111469961404,0,0,0,0,-0.0615188459220495,0,0,0,0,0,0,0,0,0.0238014323278466,0,-0.0427183271959491,0,0,0,0,0,0.00670411239875859,0,0,-0.00781777371491349,0,0,0,0,-0.0226120997546957,0,0
X000027.SZ,0,0,-0.0855687492790029,0,0,0,0,0,0,-0.0427739154471201,0,0,0,0,0.0741712651599412,0,0,-0.0612970351319112,0.0378025264193833,0,0.0866371964224086,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0431948690296646,0,0,0,0,0,0,0,0.029722995083336,0.184596289193676,0,0,0.242177339812441,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-0.0356967027362449,0,0
X600157.SH,0,0,0,0,0,0,0,0,-0.0388799473560567,0,0,0,0,0,0,0.164564216546103,0.0363220692085159,0,0.00964616830639915,0,0.018493711141189,0,0,0.0148795540506857,0,0,0,0,0,-0.114341458383548,0,0,0,0,0,0,0,0.0636556753162613,0,0,0,-0.0261789401316019,0,0,0,0,0.0986757035892163,0,0,0,0,0,0.0129916733763156,0,0,0,-0.000105005655923652,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208315200187686,0,0,0,0.0458143008747809,0,0,0.00058576940356965,0,0,0,0,0,0,0,0,0,0.0143307979835028,0,0.175795501459137,0,0,0,0,0,0,0,0,0,-0.0817283711215143,0.197767495888871,0,0,0.192600575339787,0,0,0,-0.0302704369290784,0.0036333097827038,0,0,0,0,0,0
X000830.SZ,0,0,0.297211679516317,0,0,0,0,0,0,0,0,0.125730737998185,0,0,0,0,0,0.0960733309721317,0,0,0,0.126494207018241,0,0,0.302345991347394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04078473225266,0,0,0,0,0,0,0,0,0,0,-0.0169662928533256,0.0147856755842874,0,0,0,-0.0199765042510629,0,0
Change_TY3M,0,0,0,0,0,0,0,-0.00647684920030937,0,0,0,0,0,0,0,0,0,0,-0.0956425417845314,0.0221856182960407,0,1.35525271560688e-20,0,0,-0.380501367213677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325781774935701,0,0,0,0,0,0,-0.0245723294892976,0,0,0,0,-0.00577891899004233,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0.124487172475204,0,0.0726230733181764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107620303492896,0,0,0,0,0,0,0,0,0,0,0,1.19967055009438,0,0,0,0.90150786204896,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962252459990518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.522169969059028,0.777399735675816,0,0,0,0,-0.546547404484848,0,0
RealEstate_excess,0,0,0,0,0,0,0,0.0379290674777631,0,0,0,0,0,-0.0865614610938776,0,0.0702353571974189,0,0,-0.0423425605738108,0,0,0,0,0,0,0,0,0.0534287410539934,0,0,0,0,0,0,0,0,-0.0501396216356054,0,0.118321372799423,0,0,0,0,0,0,0,0.00519262017333235,0,-5.42101086242752e-20,0,-0.0258964080291307,0,0.00606502614974643,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0.0329990799513706,0,-0.0262121380039243,0,0,0,0,0,0,-0.0378905903396464,-0.0318220994285036,0,0,-0.0164729279049977,0,0.000643131234225934,0,-0.0471553590968737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217745977638387,0,0,0,0,0,0,-0.0875611599569978,0,0,0,0,0,0.00688204105463925,0,0
