,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600660.SH,X601898.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X600160.SH,X002460.SZ,X600803.SH,X600489.SH,X000708.SZ,X000301.SZ,X000807.SZ,X000786.SZ,X002466.SZ,X600027.SH,X601991.SH,X000408.SZ,X600219.SH,X600176.SH,X000983.SZ,X002128.SZ,X600426.SH,X000630.SZ,X601168.SH,X601699.SH,X600378.SH,X600096.SH,X000933.SZ,X002353.SZ,X600985.SH,X000877.SZ,X600157.SH,X600299.SH,X600352.SH,X600995.SH,X000883.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600352.SH,0,0,0,0,0,0,0.00628269546758239,0,0,0,0,0,0,0,0,0,0,0,0,0.0268805727237146,0.11256882273482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682320757367983,0,0,0,0,0.0219718947077924,0.0305853975011813,0.221428674728698,0,0,0,0,0,-8.67361737988404e-19,-0.0591809513609747,0,0,0,-0.0395369733235662,0,0
X600995.SH,0,0,0,0,0,0,0.0494921110845789,0,0,0,0,0,0,0,0,0,0,0,0,0.0577871487433678,0,0,0,0,0,0,0,0.109672782411892,0,0,0,0,0,0.0643112864526734,0,0,0,0,0.153025672422138,0,0,0,0,0.0336007805827132,0,0,0,0,0,0,0,-0.00462190418646829,0.00575837765861591,0,0,0,0.0252062088993786,0,0
X000883.SZ,0,0,0,0,0,0.0187108128231917,0.0262858192381182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268151290571498,0,0,0,0,0.0638418874148998,0.281048880073241,0,0,0,0.088689913527061,0,0,0,0,0,0,0,0,0,0,0,0.0744507937606096,0,0.0642018076995029,0,0,0,0,0,-0.00420068322625522,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0.127418938571133,0,0,0,0,0.140291059050003,0.166228156990424,0,0,0.0598523541546371,0,0,0,0,0,0.0181287479923734,0,0.0344003533787361,0,0,0,0,0,0,0,0,0,0,0,0.0290515567083183,0.117355877518996,0,0,0,0,0,0,0,0,0,0,0,0,0.014882992991482,0,0,0,0.0198636233041503,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0663740647104251,0,0,0,0,0,0,0,0,0,0,0,0,0.0732639469404914,-0.344704957983054,0.0473161086362449,0,0,-0.0404886494059764,0,0
Slope,0,0.207824139908905,0,0,-0.270316213111048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727567277555675,0,0,0,0,0,0,0,0,0,0,0,0,-0.559114273463268,0,0,0,0,0,0,0.0279644649779361,0,0,0,0,0,0,-0.525716884356106,0,0.619437325134711,0.758642959582411,0,0,1.29570380123196,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252885778720557,0,0,0,0,0,0,-0.151790875059035,0,0,0,0,0,0,0.376458819851085,0,0,0,0,-0.23038599451942,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0715053943998061,0,0.27448802734507,0,0,-0.0357796530344311,0.10471839466602,-0.0156501659806535,0,0,0,0.0585005860000908,0,0,0,0,0,0,0,0,0.177899057131014,0,0,0,0,-0.550501697607104,0,0,0,0,0,-0.0274075734155683,0,0,0,0,0,0.0316528463638031,-0.0174761925708303,-0.0258528694020717,0,0.120590837090982,0,0.0917380111566061,0,0
MKreturn,0,0,-0.0476995771592588,0,0.346739497993743,-0.0705894927423991,0,0,0,0,0,-0.145355232625594,0,0,0,0.0456330595499815,0,0,0,0,0,0,0,-0.047536870101347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013394833974269,0,0,0,0,0,0,0,0,0,0.0410110944370532,0,0.0828029544665255,0,0,-0.00371125518596556,0,0
MKvol,0,0.00396850914255899,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0023964842959325,0,0,0,-0.00170098428995179,0,0,0,0,0,0,0,0,0,-0.00460319653998085,0,0,0,0,0,0,0,0.000715466209305776,0,0,0,0,0,0,0,0,0,0,0,0,-0.00673224231611394,0.0228479914663779,-0.00959686665266386,0,0,0,-0.00351351310506003,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00691047668629391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245861855030407,0.0140269943808296,0,0,0,0,0,-0.011779271123343,0.0223829691976553,-0.0145634384864717,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241962549906432,0.0291780610390956,0,0,0,-0.0547432378288113,0,0
