,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600688.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X600362.SH,X600111.SH,X600157.SH,X601992.SH,X600886.SH,X600188.SH,X002466.SZ,X600299.SH,X600660.SH,X000792.SZ,X600547.SH,X601158.SH,X600489.SH,X600309.SH,X600583.SH,X000709.SZ,X000883.SZ,X000539.SZ,X000898.SZ,X000027.SZ,X000630.SZ,X600352.SH,X002470.SZ,X000060.SZ,X000629.SZ,X300072.SZ,X600612.SH,X600098.SH,X000723.SZ,X600176.SH,X600160.SH,X600021.SH,X000959.SZ,X000983.SZ,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000792.SZ,0,0,0,0,0,0,0,0,0,0.22408088438075,0,0,0,0.0244881053731589,0,0,0,0,0,0,0.0958741611745432,0,0,0,0,0,0,0.0616768308309265,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0114803580579222,0,0.173841374769596,0,0,0,0.205660702164637,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93711428002288,0,0,0,0,0,0,0,0,0,0,0.117984363053197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037125119927363,0,0.067218568720221,0,0,0,0.00360508719398202,0,0.0553712210985182,0,0,0,0,0,0,0.258276723034909,0,0,0,0,0,0,0,0.00211005259826889,0.0705665216413032,0.0787724739351248,0,0,0.0698183135103159,0.11049423622707,0,0.00831742018264254,0,0,0,0.0216068391001021,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515448634068869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181944500288283,0,0.0390218500593708,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0421317502505754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116090198043956,0,0,0,0,0,0,0,0,0,0.0778957266306241,0,0,0,0.0209573026144192,0,0,0,0,0.135134215871631,0,0,0,0,0.077037500842767,0.0999131546061057,0,0,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846735450566423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181504332787475,0,0,0,0.157636994998264,0.0128853773224231,0,0,0,0.0145456925466357,0,0.0121006086201588,0,0,0,0.140677806397273,0,0,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0.157741940757068,0,0,0,0,0,0,0,0,0,0,0,0.0519193217883608,0,0,0,0.0738441045643527,0,0,0,0,0,0,0,0.425756328878501,0,0,0,0,0,0,0,0,0,0,0,0.0383831228108155,0,0.167862829344159,0,0,0,0,-0.0411719244208548,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227186956741802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116645435142021,0.134337808332755,0.153748838142343,0.156576008859137,0,0,0,0,0,0.0677590807112646,0.0630718778987456,0,0.000205101394645746,0,0,0,-0.0084640824433638,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0.0734025165311178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154229970120856,0,0,0,0,0,0,0,0,0,0.14131282948808,0,0.05548002779435,0,8.67361737988404e-19,0.151547316774751,0,0,0.0632118581444151,0.00539471332323426,0,0.0473638865979931,0.109348015045253,0,0,0.00579616226336494,0,0,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.178905377464049,0,0,0,0,0,0,0,-0.0133639959251,0,0,0,0,0,0,-0.0193428558069133,0,0,0,0,0,0,0,0,0.564703717710108,0,0,0,0,0,0,0,0.0942909427976293,0,0,0,0,0,0,0.00753545055995551,0,0,0.057348521820027,0,0,0,-0.0579849047132115,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0.0125878063149126,0,0,0,0,0,0,0,0.277332296073285,0.00198342055452099,0,0,0,0.255489171546252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823178001759775,0,0,0.0984827742166104,0.056662264904552,0,0,0.0622088275049501,0,0,0.018143561295038,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0.214294313607172,0,0,0,0,0,0.191469425859481,0,0.022596249301034,0,0,0,0.0144888727741777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22829119218231,0.0099624230229776,0,0,0,0,0.00945741559995758,0.0431367291984405,0,0,0,0,0,-0.00971882808689597,-0.0181892535765326,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0.0776468383463694,0,0,0,0,0,0,0,0,0.114643960180933,0,0,0,0.156138957218945,0,0,0.103339154881308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089159455653404,0.0686767330726472,0,0.0886991685577385,0,0,0.12581115713546,0,0,0,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142510179151605,0,0,0,0,0,0,0.111134201963774,0,0.00539444877164393,0,0,0,0.0490255242609929,0.204090347749142,0,0,0.0217889808716457,0,0.114283924432811,0,0,0,0,0.132951925853768,0,0,0,0,0,0.0405699549888748,0,0,0,0.0556336966927764,0,0,0,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0.164512835646468,0,0,0,0,0.175809436157818,0,0,0,0,0.205462431694049,0,0,0,0,0,0.108779825482856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869683733175992,0,0.00258201495009543,0,0,0.167217685480796,0.0309519563164322,0,0,-0.00619108847904965,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0.28360692212605,0,0,0,0,0,0,0,0,0,0.0597101506867775,0,0.103019685585715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297751215695226,0,0,0,0,0.170755721782887,0,0,0,0,0.0869429298637325,0.0692956755798827,0,0,0,0.0506683122185105,0,0,0.050627484482878,-0.0542896948838675,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21040592647076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173454702794201,0,0,0,-2.16840434497101e-19,0,0,0,0,0.271388516530935,0.187169373448158,0,0,-0.0156246241101197,0,0.1223136862412,0,0,0.0194163001562764,0,0,0,0,0,0
X600612.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155936371284229,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282188500083565,0.0753017411050814,0.0869976001498194,0.0992025065310572,0,0,0,0,0,0,-0.00570603056266491,0.176091689862581,0,0,0,0,-0.0217943646565597,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319312489934226,0.0588925832640925,0,0,0,0,0,0,0,0,0,0.0694983238265197,0,0.228598871610356,0,0.0271594011182899,0,0,0,0,0,0,0,0,0.00328216776237051,0.380838986810078,0,0,0.0632279204263043,0,0,-0.00829801759832778,0,0,0,0,0,0
