,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X000786.SZ,X600010.SH,X600176.SH,X601898.SH,X600111.SH,X601600.SH,X600011.SH,X000301.SZ,X600886.SH,X600188.SH,X002466.SZ,X600426.SH,X601991.SH,X600352.SH,X600803.SH,X600801.SH,X000932.SZ,X600219.SH,X600795.SH,X002080.SZ,X600489.SH,X000027.SZ,X600688.SH,X600516.SH,X600486.SH,X000807.SZ,X600299.SH,X000898.SZ,X002353.SZ,X600027.SH,X000723.SZ,X601168.SH,X600315.SH,X600157.SH,X601992.SH,X000630.SZ,X000825.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601168.SH,0,0,0,0,0,0,0,0.110291122704128,0,0,0,0.389421114425534,0,0,0,0,0,0,0,0.173784202412564,-0.116144096055471,0,0,0.117080736635709,0,0,0,0,0,0.02905270387436,0,-0.0312464399381901,0,0,0,0,0,0.00884402793474933,0.176270251370619,0,0,0,0.107336450447501,0,0.0322852100986951,0,0,0,0,0,0,-0.00721572725440615,0,0,0,0,0,0,0
X600315.SH,0,0,0,0.267570054381804,0,0.0198231737994199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0739188790503013,0,-0.204741484990962,0,0,0.163602727621981,0,0,0,0.184120244139199,0,-0.213713108327897,0.049160683088836,0.0614383152190357,0,0.152848871693928,0,0,0.0559441592733955,0.115749974734281,0,0,0,0,0,0,0.273232976722934,0.0545166640049453,0,0,0,0,0,0,0
X600157.SH,0,0,0,-0.0196741749237275,0,0,0,-0.00502811957065937,-0.0750359296560782,0,0,0,0,0.0778050948823308,0,0,0,0,0.058736751768107,0,0,0,0,0,0,0,0,0,0,0.0482699306572429,0,0,0,0.0242659702863819,0,-0.0309737048510853,0,0,0,0,0,0,0,0.0733999370782026,0,0,0,0,0,0,0,0.0214920884606946,0,0,0,0,-0.155966135820672,0,0
X601992.SH,0,0,0,-0.0245776312498044,0,0,0,0,0,-0.0456061211833028,0,0,0,0.0936438465844734,0,0,0.0154602087908567,0,0,0,0,0,0.0210433168634068,0,0,0.105840279395045,0,0.0548958889674715,-0.00666712013747398,-0.00602472496076877,0,0,0,0,0,0,-0.159759895618969,0,0,0,0,0,0.0397014071228776,0,-0.0548085195112767,0,0,0,0,0,-0.0148834783802396,0,0.00317005484037097,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,-0.0498782185162444,0,0,0.14157563306662,0,0,0,0,0,0.244307302917321,0,0,0,0,0.0413464078055848,0,0,0,0,0,0,0,0,0.0993778185408485,0.162023473350711,0,0,0.0284763799908487,0,0,0,0,0,0,0,0.0957854241657766,0,0,0,0,0,0,0,-0.0272914622832406,-2.16840434497101e-19,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0.00884212390023658,0,-0.0500645564677585,0,0,0,0,0,0.0220130132824948,0,0.364878018758062,0,0,0,0,0,0,0,0,0,0.248902579299194,0,0,0,0,0,0,0,0,0,0,0,0.0736115927137183,-0.054663740513135,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.05014458220453,-0.0234467095847661,0,0,0,0,0.0946279377730901,0,0
X000830.SZ,0,0.0480115234476556,0,0.504647734301315,0,0,0.0910267761429972,0,0,0,0,0.261348626451147,0,0,0,0,0,0,0,0,0,-0.0614844664124718,0.0557870579396719,0.391573055572792,0,0.116356039549699,-0.0437959260154602,0,0,0.00486393689513931,0,0,0,0,0,0,-0.0904531523153016,0,0,0,0,0,0,0,-0.0777586390651992,0,0,0,0,0,-0.00481109178956967,0,0.0322098234128447,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0350416889893415,0,0,0,0,0,0,0,0,0,0,-0.107368127848302,0,0,0,0,0,-0.263864321257135,0,0,0,0,0,0,0,0.159510461384296,0,0,0,0.139222087973866,0,0,0,0,0.0374016922373755,-0.136654468397036,0,0,0,0,-0.00790386892354493,0,0,0.0830261680126872,-0.0916642366631063,0,0,0,-0.0334156113015855,0,0
Slope,0,0,0,0,0,0,0.0178821374349978,0.254504956021684,0,0,0,0,0,0,0.20081808085266,0,0,0,0,0,0,0,-0.377418689445219,0,0,0,0.146889812627657,-0.00547930444844925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18604143743211,0,0,0,0.315663377867374,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0.00803668098553137,0,0.415197726006394,0,0.25644464541799,-0.0422309589261876,0,0,0,0,0,0,0,0,0,-0.460763416127872,0,0,0,0,0,0,0,0,0.0494104172412126,0,0,0,0,0,0,-0.124813821591478,0,-0.0188379756937081,0,0,0,0,0.109310109096771,-0.903985989288103,0.772352881752513,0,0,0,0,-0.0705274426893978,0,0
