,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X600011.SH,X002271.SZ,X601600.SH,X600660.SH,X600886.SH,X601898.SH,X600010.SH,X600362.SH,X600801.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X000786.SZ,X600111.SH,X600688.SH,X600795.SH,X002466.SZ,X600027.SH,X601992.SH,X600176.SH,X600299.SH,X600426.SH,X600529.SH,X600315.SH,X002353.SZ,X600126.SH,X002080.SZ,X002409.SZ,X600612.SH,X000723.SZ,X600219.SH,X600516.SH,X002075.SZ,X000898.SZ,X000932.SZ,X000959.SZ,X600486.SH,X601158.SH,X000027.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000932.SZ,0,0,0,0,0,0,0,0.0848578108004732,0,0,0.126945720526072,0,0,0,0,0,0.0533101517558155,0,0,0.0799585633863727,0,0,0,0.00952306173585303,0,0,0.0543137596975498,0.0124088684983982,0,0,0,0,0,0.0197681481479538,0,0,0,0,-0.0223331538497562,0,0,0,0,0,0,0,0,0,0,0,-0.00452669162257594,0,0.00847226247060322,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0.114512812335524,0,0,0,0,0,0,0.132433582290726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115067964377099,-0.0204783843193782,0,0,0,0,0,0.0496194933033417,0,0,0,0,0.541244568462904,0,0,0,0,0,0,0,0.0869283136793957,-0.0452916887115235,0,0,0,0,0,0
X600486.SH,0,0,0,0,0,0,0,0,0,0,0.297638083795165,0,-0.0413501640079671,0,0,0,0,-0.0558504207590996,0,0,0,0,0.0382981387148015,0,-0.143000228791856,0,0.160717607521186,0,0,0,0,0,0.0534155304488055,0.0114978464335703,0,0,-0.0180656787302789,0,0,0,0,0.0538341446897686,0,0,0,0,0,-0.263441282851982,0,0,0,0.00509625025295686,0.031921795377118,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0.0496971979882264,0,0,0,0,0,0.111811239923677,0,0,0.214169650067205,0,0,0,0,0.0339779508326226,0,0.0114595619831481,-0.0406300719403274,0,0,0.0198075523121648,0,0,0.00990184656048696,0,0,0,0,-0.11267576425353,0,0,0,0,0,0,-0.0629298813482254,0,0,0,0,0,0.00103265333718507,-0.0060337209937127,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0.0325499571082075,0,0,0,0,0,0,0,0,0,0,0.0589974610903624,0,0,0.0231644638597435,0.0408664875240466,0.0416820116718739,0,0.038573127896697,0,0,-4.33680868994202e-19,0,0,-0.00908296738734308,0,0,0.0144926120875327,0,0,0,0.0409839601910492,0,0,0,0.10083187749478,0,0.045019049203063,0,0,0,0,1.0842021724855e-19,0.00515121912665497,2.16840434497101e-19,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0,0,0.690434235731326,0,0,0,0,0,0,0,0,0,-0.180969736023277,0,0,0,0,0,0,0,0.116018259321868,0,0,0,0,0,0,0,0.153504614987692,-0.0523215635599168,0,0.00990136297860974,0.0967133446704481,0,0,0,0,0,0,0,0,0,0,0,-0.0994566482242888,0.00387742636685395,-0.0394533476297049,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.235286775367677,0,0,0.284795103216413,0,-0.186190160359908,0,0.222759030869584,0,0,0,0,0,0,0,0,0,0.191695429259176,0,0,0,0.0228585668556578,0,0,0,-0.345680215323502,0,-0.317272958192599,0,0,0,0,-0.241686983613726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451818157173018,-0.130168520374239,0,0,0,-0.0967341169258674,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179627646977575,0,0,0,0.319930828298397,0,0,0,0,0,-0.0176318122018627,0,0,0.119721350425772,0,0.74765418359337,0,0,0,0,0,0,0,0,0,0,0,-0.232465945960958,0.992257068638542,0,0.665876312283636,0,0,0,1.45634956049697,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228729564876692,-0.152805413378371,-2.16840434497101e-19,0,0,0,0.312436818836285,0,0,0.14839385324104,0,0,0,0,0.362752629294031,0,0,0,-0.297939337801647,0.792788923438806,0,0,0,0,1.6870852666087,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00127818725202501,0,0,0,-0.0704743133049031,-0.0889900092699072,0,0,0,0,0,0,0,0,0,0,-0.0186205468205664,0,0,-0.0623311828550745,0,0,-0.10721193474522,0.043011019492698,0,-0.045099890922822,0,0,0,-0.00374650666039024,0,0,0,0,0,-0.0023401691423129,-0.000123548037135884,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,-0.0596886929919517,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.160690045253499,0,0,0,0,0,0,0,0,0.103731443898441,0,0,0,0,0,0,0,0,-0.0147019529744882,-0.0363306853977414,0,0,0.0228401861574199,0,0,0.00228361709656031,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00366115216218966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000524024950939844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952402295111128,-0.00719772778387949,0,0,0,0,0,0
