,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600019.SH,X600111.SH,X002466.SZ,X002271.SZ,X600660.SH,X000301.SZ,X600010.SH,X000708.SZ,X601898.SH,X601600.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600011.SH,X600886.SH,X600176.SH,X600219.SH,X000786.SZ,X000825.SZ,X600803.SH,X000408.SZ,X000932.SZ,X300037.SZ,X601991.SH,X600795.SH,X002080.SZ,X600399.SH,X000898.SZ,X600549.SH,X002409.SZ,X000807.SZ,X000959.SZ,X600352.SH,X000027.SZ,X600489.SH,X002353.SZ,X000630.SZ,X000830.SZ,X600486.SH,X002407.SZ,X601699.SH,X601168.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600660.SH,0,0,0,0,0,0,0,-0.0739864296065084,0,0,0,0.0572397929257522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192748467924264,0,0,0,0.24116807609429,0,0,0,-0.0161260971722693,0,0,0,0,0,0,0,0,0,0,0,0,0.159545777706673,0.0125830391855498,0,0,0,0,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0.0303420385265005,0,0,0,0.0469400443295568,0,0,0,0,0,0,0.00836035761969025,0,0,0.084679540889824,0,0,0.0848953289804358,0,0,0,0,0,0,0.0925860226079276,0.145019128733532,0,0,0,0,0,0,0.128754150762134,0,0,0,0.436573189963553,0,-0.0364011338412467,0,-0.442595326659114,0,0,0.0550252752316526,0.149009505133221,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.162386000645764,0.274666334557784,0,0,0,0,0,0,0.0535918593763608,0,0,0,0,0,0,0,0,0.0219513750059544,0,0,0,0,0,0.0515009118723526,0,0,0,0,0.149908356699364,0.0254380972271619,0,0,0.0922116762261555,0,0,0,0,0,0,0.164430935406205,0,0.0226428485007133,0,0,0,0.07254928538069,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0.359621632098977,0,0,0,0,0.110213388926527,0,0,0,0.0687127509859593,0,0,0,0.00139525020600249,0,0,0,0,0,0,0,0,0,-0.0416282654262972,0,0,0,0.0209921129334088,0,0,0,0,0,0,0,0,0,0,0.136974671769976,0,0,0,0,0,0,0,-0.00588315683046653,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0400146001194396,0,0,0,0,0,0,0,0.0222638002394202,0,0,0,0.403408578771143,0,0,0.151695688470752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273321618175609,0,0,0,0.23211003079239,0.223555502429573,0,0,0,0,0,0,0.264669025841344,-0.144042180644119,0.0411401086588397,0,0,0,0.0141401751984812,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,-3.46944695195361e-18,0,0.0012668989320944,0,0.0458529525563479,0,0,-0.0106678581028598,0,0.154229929901224,0,0,0,0.18971812125985,0,0,0,0,0,0,0.02942200114875,0,0,0,0,-0.043749483328443,0,0,0,0,0,0,0,0.60539014142198,0,0,0,0,0,0,0,0,0.0515113394422404,0.0894204544146552,0,0,0,0.106056276086545,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,-0.233716373033938,0,0,0,0,0,0,0,0,-0.0672576839042494,0.398569106478051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216402353809333,0,0,0,0,0.099979379073155,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415934038545687,0.333114921038366,0.353438308819868,0,0,-0.10558346915204,0,0,0,0,-0.0674614896534308,0,0
X600362.SH,0,0,0,0,0,0,0,0.00670259721555962,0.0483882536916142,0,0,0,0,0,0,0.239571153840059,0,0,0,0.0429748082270828,0,0,0,0.0162422226582802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126149813830673,0.308771060167143,0,0,0,0,0.2630103601161,0,0,-0.00267056964856536,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.0924714045612717,-0.173200926956512,-0.00324278373909908,0,0,0,0,0,0,0.160546796759621,0,0,0,-0.0418326318620615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250502662373727,0,0,0,0.0442592719706185,0.141626969958507,0.257549140293406,0,0,0,0,0,0,0,0,0,-0.0422624790587926,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.046632991930278,0,0,0,0,0,0,0,0,0,0,0,0,0.0199479697455589,0,0,0.0989907653863004,0,0,0,0,0,0.103434524004282,0.0338048252536237,0,0.00612176960786001,0,0.0767135690891561,0,0,0,0,0,0.14839067995837,0,0,0,0.10052403745635,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0121824253673739,0,0,-0.0415840723980782,0,0,0.0394137991162414,0,0,0,-0.0200746778821673,0,0,0.034369246324884,0,0,0.0524463193681373,0,0,0,0,0,0,0,0,0,0,0,0.00182540892952821,0,0,0,0.0281485521990812,0,0.0904306426254243,0.0116431939791283,0.0383950944889958,0,0,0,0,0,0,0,0,0.00232964748452196,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0.154410899833745,0,0,0.210812673225196,0,0,0,0,0,0,0.15201077170004,4.33680868994202e-19,0,0.0982576797779357,0,0,0.103285627981799,0,0,0,0,0,0,-0.00675075566850695,0,0,0,0,0,-0.329127619885726,0,0,0,0,0,0,0.0153184951695479,0,0,0,0,0,0,0,0,0.0512009894082364,0,0,0,0,0,0,0
