,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X600011.SH,X600188.SH,X600547.SH,X601898.SH,X601600.SH,X600660.SH,X002460.SZ,X600886.SH,X002466.SZ,X000792.SZ,X600010.SH,X600111.SH,X000301.SZ,X000708.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600803.SH,X600027.SH,X600489.SH,X601991.SH,X000807.SZ,X601699.SH,X000786.SZ,X000983.SZ,X600160.SH,X000932.SZ,X000630.SZ,X600219.SH,X002080.SZ,X000408.SZ,X000629.SZ,X300037.SZ,X000933.SZ,X600612.SH,X000539.SZ,X600688.SH,X600157.SH,X600995.SH,X000723.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0,-0.0988156217430664,0,0,0,0,0,0,0,-0.0883910740730626,0,0,0.265476291765839,0,0,0,0,0,0,0,0,0,0,0.0592001152548416,0,0.448421998961638,0,0.037899658125499,0,-0.0949926921783437,0,0,0,0,0,0,0,0.233651392440425,0,0,0,0,0,0.0255389362784808,0,0,0.0175512349566538,0,-0.0437881926531007,0,0,0,0,0
X600660.SH,0,0,0.0251816750201556,0,0,0,-0.0123927389430033,0,0,0,0,0,0,0,0,0,0,0.027400543207188,0,0,0,0,0.030851791971371,0,0,0,0,0.0673876023496046,-0.0239489390294832,0,0.0125957670271031,0,0,0,0,-3.46944695195361e-18,0,0,0.14712096342311,0,0,0.0842276434494368,0,0.0148891287302443,0,0,0,0.0125360134148284,0,0,0,-0.0313570251717543,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,-0.0297244200034718,0,0,0,0,0,0.812606793864231,0.0277105087003418,0,0.00982806628669174,0,0,0,0,0,0,0.0709636164515528,-0.0301586060316675,0,-0.0781643621089499,0,0,0,0,-0.103122373085194,0,0,0,0,0,0,0,0,0.179946044985267,0,-0.0290535946600766,0,0,0,0,0,0,0,-0.0735057059083804,0,-0.0637808947859656,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,-8.67361737988404e-19,-0.0233395732476513,0,0,0,0,0,0,0,-0.199060261866189,0,0,0.0320279463288775,-0.0712231381407269,0,0,0.0987594790896181,0,0,0,0.242910761728513,0.117183779587552,0,0.312592369446991,-0.153358227935057,0,0,0.174383576366565,0.00999247725309575,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0626006799067562,0,-0.0758980028468336,0.0447822207555058,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.0060187024763417,-0.0205099537109215,0.119170665394852,0,0,0.661266700882191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121761803713414,0.0402808524265331,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0633438238435984,0,0,0,0,0.0169754435251178,0,-0.00534431704581381,0,0,0,0,0
X000792.SZ,0,0,0,0,-0.0231292177742545,0,0,0,-0.0291221127150675,0.246216015263176,0,0,0.222671997359053,0,0.242914289129069,0,0,0.0252917063972328,0,0,0,0,-0.0351384611729104,0,0,0,0,0,0,0,-0.0113346683684481,0,0,0,0.058187474044783,0,0,0,0.121289037065828,0,0,-0.00996533558714973,0,0,0,0,0,0.0073573946304534,0,0,-0.0777832841772,0.0088417278205636,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.156476941975499,0,0,0,0,0,0,0,0,0,0,0,0.408783623848094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001623303114143,0.0535565926784972,0,0,0,0.0209895507548148,0,0,0.00903584326947018,0,0.0465941017437441,0,0.0119502247538374,-0.048544873782552,0,0,0,0,0,0
X600111.SH,0,0,0.0121536486181138,0,0,0,0,0,0,0,0.229819498611981,0,0.0996087563031013,0,0,0,0.0536165718688556,0,0,0,-0.139876149951977,0,0.119897240854513,0,0,0,-0.0180656610743917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512684876928472,0,0,0.0478055647323768,0,0,0,0,0,0,0,0.0518616311910426,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0.18625174565395,0,0,0,0.126510313299206,0,0,0,0,0.115489813321293,0.0916101825500142,0,0,0,0,0,0,0.0326581385821776,0,0.034343346119407,0,0,0,0,-0.00718619845490162,0,0,0,0,0.0975310603367894,0,0.0840489650006091,0.0936154663364668,0,0,0.0594497776880392,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0290643936457213,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0.13392104631683,0,0,0,0,0,0,0,0,0,0,0.00121850900196532,0,0.195866509520386,0,0,0,0.373651710805261,0,0,0,0,0,0,0.15255527578141,-0.241421501781937,0,0.0415837245665156,0.0222722524151533,0,0,0.135457151513766,0,0,0,0.0142974752620747,0,0,0,0,0,0,0,0,0,0.0450983097767445,0,0,0,0,0,0
