,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600019.SH,X600111.SH,X600011.SH,X002466.SZ,X601600.SH,X000877.SZ,X600010.SH,X002271.SZ,X000708.SZ,X601898.SH,X600660.SH,X600547.SH,X000301.SZ,X600362.SH,X600886.SH,X600426.SH,X600176.SH,X000723.SZ,X000408.SZ,X600219.SH,X000807.SZ,X601991.SH,X000786.SZ,X600795.SH,X600803.SH,X000983.SZ,X601699.SH,X002080.SZ,X000630.SZ,X000825.SZ,X600801.SH,X600688.SH,X600096.SH,X002353.SZ,X600141.SH,X000932.SZ,X600489.SH,X000960.SZ,X000959.SZ,X600027.SH,X600295.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000301.SZ,0,0,0,0,0,0,0.0369280652274549,-0.172049325524385,0,0.0205848086382596,0.236630249534711,0,0,0,0.147568219739683,0,0.509587026360035,0,-2.77555756156289e-17,0,0,0,0,0,0,-0.0628689536097454,-0.148204913864513,0.449036391892554,-0.0701928765882998,0,-0.229665349250504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734846700876721,0,0,0,0.0351265122290564,0,0
X600362.SH,-0.0338910017440603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521642716536093,0,0,0.18504564084886,6.93889390390723e-18,0,0.307882916915465,0.0534555880229822,0,0,0,0,0,0,0,0,-0.0348247183902844,0,0.0117092980844598,0,0,0,1.0842021724855e-19,0,0,0,0.0308551432752082,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0.0647016954450621,0,0,0,0,0.104458161739995,0,0,0,-0.0168793392576445,0.0961054229378204,0,0,0,0,0,0,0,0,0.377165966869025,0,0,0,0,0,0,0,0,0,0,-0.00360281967744243,0,0,0,0,0,0,0.0947578771422573,0,0,0.0747143736741538,0,0.0120059555733772,0,0,0,0,0,0
X600426.SH,0,0,0,0.171547107549425,0,0,0,-0.1354726049463,0,0,0,0.0198182719624475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0839146286141785,0,-0.00938382949441369,0,0,0.0840251270301055,0,0,0,0,0,-0.0171805593728975,0,0,0,0,-0.0386863083961794,0,0
X600176.SH,0,0,0,0,0,0,0,0,0.0496468986118703,0,0.0406202383940623,0.0401735581291634,0,0,0,0,0.0389425326093461,0,0,0,0.0024781838922242,0,0,0,0,0,0,0,0,0,0.271593375294773,0,0,0,0,0.137017835270966,0,0,0.0488950992579814,0,0.0062650092208135,0,0,0,0,0.00558837301913844,0,0,0,0,0,0.0241978865669331,0,0,0,0,0.00765386537606049,0,0
X000723.SZ,0,0,0,0,0,0,0,0.183043779587896,0,0,0,-0.0279827933886883,0,0,0,0,0,0,0,0,0,0,0,0.257869961759647,0,0,-0.136919978547845,0,0,0,0,-0.0240748572603491,0,0,0,0,0,-0.0725935878844447,0,0,0,0,0,0,0,0,0,0.0419800374037272,0,0,0.186865907583535,0.0533440727224893,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0.40796114444274,0.0464400718329293,0,0.205954286936176,0,0.040664412179905,0,0,0,0,-0.0939279953200595,0,0,0,-0.0694046428126704,0,0.0674555667852322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12947231242573,0.0602283068473567,0,0,0,0.018856513443095,0.00950022212779657,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.0199347734136659,0,-0.0441070557839071,0.281354137222184,0,0,0.146362761914726,0.0313146344721486,0,0,0.0152286992230014,0.051285872005848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160465595237972,0,0,0,0,0,0.102891030735245,0,0.0194889929914835,0,0,0,0,0,0.089043601634749,0.0240538462599321,-0.0059317434606899,0,0,0,1.35525271560688e-20,0,0
X000807.SZ,0,0,0,0,0,0,0.0529136527444637,0.0862764392832438,0,0,0,0,0.316293041411348,0,0,0,0,0,0,0,0,0,0,0,0,0.0270402703975713,0,0,0,0,0,0,0,0.167669278408962,0,0,0.17082580846211,0,0,0,0.145685304650857,0.354460716649985,0,0,0,0,0,0,-0.0638342342420747,0,0,-0.0272388768356457,-0.00707403635458562,0,0,0,-0.0273932891892763,0,0
X601991.SH,0,0,0,0,0,-0.00364909297538752,0,0,0,0,0.0925342963727929,0,0.066933526458761,0,0,0,0,0,0,0,0,0,0.375605346741598,0,0,0,0,0,0,0,0,0.151440754107176,0,0,0.0240057487896154,0,0,0,0,0,0,0,0,0,0,0,0.090359144738324,0.0878790611086186,0,0,0,0.0203118297190898,0,-0.305387082830474,0,0,0,0,0
