,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600547.SH,X600795.SH,X600188.SH,X601600.SH,X300072.SZ,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600111.SH,X600886.SH,X600489.SH,X601992.SH,X600309.SH,X600660.SH,X600623.SH,X600299.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000723.SZ,X000898.SZ,X000408.SZ,X600583.SH,X000883.SZ,X600352.SH,X000983.SZ,X600549.SH,X000539.SZ,X000027.SZ,X000959.SZ,X600176.SH,X002470.SZ,X600021.SH,X000630.SZ,X000060.SZ,X000012.SZ,X002460.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000027.SZ,0,0,0,0,0,0,0,0.0244232275044077,0,0,0,0,0,0.0447153656870815,0,0,0,0,0,0,0,0.0328977557043016,0,0,0,0,0,0.0633027313274842,0.0284787273386795,0.151523842087744,0,0,0,0,0,0,-8.67361737988404e-19,0.0742374521146809,0,0,0,0.00305628069311138,0,0.164391823213927,0,0,0,0,0,0,0,-0.00899731984445998,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0,0.0452593605112419,0,0,0,0,0,0,0,0.160472297045534,0,0,0,0,-0.0370800337259916,0,-0.0981683174729853,0,0,0.0836312743170389,0.088736063861236,0,0.129537144701759,0,0,0,0.616285250271632,0,0,0,0,0,0,0,0,0,0,0.0486268137805791,0.14343483038812,0,0,0,0,0,-0.0132276267271035,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439208729013211,0,0,0,0,0,0,0,0,0,0.197778345633951,0,0,0,0.177131987187074,-0.0579690686058189,0,0,0,0,0,0.152080322963104,0,0,0,0,0,0,0,0,0,0,0,0,0.0857146462410121,0.0918252650713908,0,0,0,0.067954670331476,0.0316234630128763,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0.0649569513356074,0,0,0.114552837582443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415868453956292,0,0,0.19105389208821,0,0,0,0,0.0584394600303403,-0.121700728125226,0,0,0,0,0,0,0,0,0.010970651116679,0,0,0,0,0.0898983890761568,0.0465910656261746,0.0906740442791922,0,-0.0206933663214195,0.0600777154136795,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0523635056307648,0,0,0,0,0.0255284698921298,0,-0.00830051687243192,-0.133494681220395,0.0872802658126056,0,0.109963071217151,0,0,0,0,0,0.0723461801864284,0,0,0,0.0626388179021394,0,0,1.73472347597681e-18,0.0886158902350918,0,0,0,0,0,0,0,0,0,0.00553920283866925,0,0,0.0332108290562959,0.0708918294355336,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0.0142319342162347,0,0,0,0.0172951702002289,0,0,0,0.553352444549656,0,0,0.0615668035366904,0,0,0,0,0,0,0,0,0,0,0,0,0.0444053618428196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178011794690767,0.0545892216675122,0.101660935583836,0,0.0212357415233869,0,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0.171052617828068,0,0,0,0,0,1.38777878078145e-17,0.189152747576811,0,0,0.0559804995430476,0,0,0,0,0,0.0134839607130809,0.0733502660072594,0,0,0,0,0,0,0,0,0,0.0794576420884208,0,0,0,0,0.0140594120741877,0,0,0,0.357026389628483,0,0,0,0,0,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0825700848988598,0,0.175811595127863,0,0,0,0,0,0,0,0,0,0,0,0,0.06865811232245,0,0,0,0,0,0,0,0,0,0,0,0.236467291522395,0,0,-0.0548174811323626,0.0271807865106844,0,0,0,0.0402441062509653,0,0,0.185567693597648,0,0.0317979031260504,-0.155372414584094,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.0144856406269117,0,0,0,0,0,0,0,0,0,0,0.0854656149356473,-0.143159328854438,0,0,0,0,0.992582336079732,0.261923684542888,-0.169324245771615,0,0,0,0,0.12499642597189,0,0,0,0,0,0,-0.0656305951593647,0.192110983629954,0,0,0.0586058571040871,0,0.0427822327814298,0,0,0,0,0,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0.177457500882792,0,0,0,-1.38777878078145e-17,0,0,0,0,0.056141079304722,0,0,0,0,0,-0.0185980205821663,0,0,0,0,0,0,0,0.291437922301239,0.0494096750576161,0,0,0,0,0,0.385081453058901,0,0,0,0,0,0,0,0,0,0.068019792234615,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0
