,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600623.SH,X600027.SH,X600188.SH,X600157.SH,X600111.SH,X600362.SH,X601992.SH,X600886.SH,X600547.SH,X002466.SZ,X600299.SH,X600660.SH,X600309.SH,X000709.SZ,X600489.SH,X601158.SH,X000792.SZ,X600583.SH,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000883.SZ,X000983.SZ,X000027.SZ,X000630.SZ,X000723.SZ,X000629.SZ,X600549.SH,X002470.SZ,X002460.SZ,X000012.SZ,X600176.SH,X000060.SZ,X600021.SH,X002407.SZ,X000959.SZ,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000630.SZ,0,0,0,0,0.174459865784223,0,0,0,0.138066576751104,0,0,0,-0.00618597467661552,0,0,0,0,0,0,0,0.121304654312149,0.0394668102735888,0.173017451502975,0,0,0,0.0200569043368232,0,0,0,0,0.104008939312086,0,0,0,0,0.0602883227446622,0,0,0,0,0,6.93889390390723e-18,0,0,0.00307630679278683,0,0,0,0,0,0.0309897458217661,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0.243019821392238,0,0,0,0,0,0,0.0324780141749012,0,0,0,0,0,0,0,0,0,0.120521541074226,0,0,0.110642770741408,0.0224795133359188,0,0.0127056730499525,0.177174951508698,0,0,0.0535352423484437,0,0,0,0.0047436971995644,0,0,0.0438348230866429,0,0,0.0926070245750286,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203390840294051,0,0,0.0955598242493749,0.0551458490154379,0,0,0.112447656345013,0,0,0,0,0,0,0,0,0.256879121816235,0,0.0687617768496328,0,0,0,0,0.175651749875526,0,0,0,0,0,-0.00511585534820592,0,0,0,0,0,0,0
X600549.SH,0,0,0,0,0.540587654717471,0,-0.17943537802998,0,0,0,0,0,0.0877469914598394,0,0,0,0,0,0,0,-0.0179277836015698,0,0,0,0,0,0,0,0,0,0.0356026013826199,-0.0622494502794343,0,0,0,0.0512353125793714,0,0,0.0787945737609323,0,0,0.0288509698986451,0,0,0,0.350177939053099,0,0,0,0,-0.0855725904422435,-0.0357374504864698,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108600173366747,0,0,0,0,0,0,0.0570842165416459,0,0,0,0,0.082989923420165,0,0,0,0,0,0,0.0794026923998706,0,0.106861098349686,0,0,0,0.250963816778297,0,0.0394411706410202,0.118523675611877,-1.73472347597681e-18,0,-0.0679120857089782,0,0,0.0544016420264755,0,0.0501340544861498,0,0,0.0416896494019558,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486218983169502,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463386766658947,0,0,0,0,0,0.00854903854949249,0,0,0,0,0.168447887528987,0.419603459312422,0,0,0,0.0704500539471386,0,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.105177417047038,0,0,0.020338975265597,0,0,0,0,0,0,0,0,0,0,0,0,0.422105807635319,0,0,-3.46944695195361e-18,0,0,0,0.0658477229653512,0,0,0,0,0,0.0283327726277916,0.0267871900115124,0,0.197778873021048,0,0.0930264614032185,0.0247879761424458,0,0,0,0,-0.0376862709912989,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0.0267335726368828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596290213984021,0.141271497011124,0,0,0,0,0,0,0,0,0.0310624962763427,-4.33680868994202e-19,0,0.574598191398049,0,0,0,0,0,0,0.00614650683819945,0.0926180766762909,0.0231248361486854,0,0,0,-1.73472347597681e-18,0,0.0189901331940525,0,0,0,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0.0865939228855669,0,0,0,0,-0.0293013807097359,0,0,0.13562838689894,0,0.297321811966089,0,0,0.0341865461194764,0,0,0,0,0,0.117961764965097,0,0,0,0,0.0416911618607908,0,0,0,0.060226298779997,0,0,0,0.000974049780400096,0.298925900530456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163606861082881,0,0,0,0,0,0,0,0,0,0,0,0.220276202665144,0,0,0,0.233381975165271,0,0.0332698734818508,0,0,0,0,0,-0.0328423024400058,0.000697256778832994,0,0.25816720820813,0.100903225431795,0,0,0,0.0363602364169385,0,0,0,0,0,0,0,0,0,0,0
