,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600111.SH,X600010.SH,X000708.SZ,X600795.SH,X000301.SZ,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X600027.SH,X000983.SZ,X600489.SH,X600803.SH,X601991.SH,X600176.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000408.SZ,X000630.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X002409.SZ,X000723.SZ,X002128.SZ,X002353.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000792.SZ,0,0,0,0,0,0.0713557826823522,0,0,0,0,0,0,0,0,0.00963665832636407,0.409039232311121,0,0,0.00389978979932256,0.019182738921432,0.234047223596755,0,0,0,0,0.0186689800674451,0,0.0334170094397937,0,0,0,0,0,0.042771359535232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0627137655254045,0,-0.0159399704748136,0,0,0,0,0,0
X002460.SZ,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698419831064142,0,0,0.175951974634803,0,0,0,0,0,0,0,0.0507073043133922,0,0,-0.0133681600605666,0,0,0,0,0,0,0,0,-0.107690826847222,0,0,0.000651029196409019,0,0,0,0.0729425568390985,0,0,0,0,0,0.00646797532982302,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749366908591567,0,0,0,0,0,0,0,0,0,0,0.179639145255057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248175808563256,0,0.0343911185948814,0,0,0,0,0,0,-0.00623906112265151,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207494812874799,0,0,0,0,0.0627859934439234,0,0,0,0,0,0,0,0,0,0.120028610492923,0,0,0,0,0,0,0,0,0,0,0,0,0.126824501791855,0,0,0.19640981411293,0.178679640004888,0,0.00906046857400124,0,0,-0.0289725421321446,0.0561156431776615,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447677238364544,0.0404185023306074,0.350992787698901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758983479138117,0,0,0,0,0,0,0,0,0,0,0.0161688639005348,0,0,0,0.0284312321740804,0,0,0.00471854518305536,0,0,0,0,0,0,0
X000708.SZ,0.303618226996191,0,0,0,0,0.0543938704153803,0,0,0,0,0,0,0,0,0.189641961199216,0,0,0,0,0.131461861056769,0,0,0,0,0,0.111758514648117,0.0381324403705826,0,0,0,0,0,0,0,-0.248390826085092,0.0833573941030044,0,0,0,0,0,0,0,0,0,-0.0504804613413592,0,0,0,0,0.0803682508920093,-0.00271130978980489,0,0,0,0,0,0,0
X600795.SH,0,0.0629466502443642,0,0,0,0,0,0.102802466197141,0,0,0,0,0,0,0,0,0.121760107072007,0,0.243536926513089,0,0,0,0,0,0,-0.205968410975593,0.241809023953196,0,0,0,0.223402234418855,0,0,0,0,0,0,0,0,0.226271235315221,0,0,0,0,0,0,0.0409946299351694,0,0,0,-0.148768773517929,0,0.00121601860944856,-0.0169901847529555,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138648998306631,0,0.118653538891226,0,0,0,0,0,0,0.0689311217314875,0,0.175997602655985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127430782612791,0,0,0,0.105367862444068,0,0.0372340632334981,0,-0.0149281903432387,0.0205945800971984,0,0,0,0,0
X600426.SH,-0.0213066909765649,0,0,0.336939686825696,0.232815991520821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.00264315093925585,0,0,0,0,0,0.257667667444602,0,0,0,0,0,0.0518022859686656,0,0,-0.00923426509961169,-0.185218971923178,0,-0.00670945572420341,0,0,0,0,-0.03890008142624,0,0
X000877.SZ,0,0,0,0,0,0,0.408061709203814,0,0,0,0,0,-0.063512890912371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195413737171769,-0.010874742372531,0,0,0,0,0,0.0200131780777336,0,0,0,0,0,0,0.0335006708572303,0,0,0,0,0,0,0,0,-0.0498726967450766,-0.0014138570328064,-0.0263336791710015,0,0,0,0.0458607455098419,0,0
X600362.SH,0,0,0,0.0544139394170016,0,0,0.0334963965566852,0,0,0,0.109258664304477,0,0,0,0,1.73472347597681e-18,0,0,0.0755746625986374,0,0,0,0,0,0,0.0537574259114269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624725211384744,0,0.322299862911138,0.0532026158692413,0.075863956303614,0,0,0,0.0306138990736667,0,0,0,-0.000438378201136713,-0.0585824089083329,0,0,0,0,0
X601699.SH,0,0,0,0,0.449472096734853,0,0,0,0,0,0,-0.0430498403172046,0,0,0.0367125905420797,0,0,0,0,0,0,0,0,0,0,0,0,0.107442890591544,0.198187803314104,0,0,-0.0332187871848854,0,-0.135401422581415,0,0,0.039926654057202,0,0,0.235154514209519,-0.067012724556669,0,0,0,0,0,0,0,0.00964544871480157,0,0,-0.0099290903929672,1.73472347597681e-18,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0.589202302356181,0,0.117271945303347,-0.0394837524862484,0,0,0,0,0,0.28942201097574,0,-0.135267045883478,0,-0.0886611212320242,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0641308276006659,0.0869006436843897,-0.51531556761709,0,0,0,0,0,0.320306969774568,0,0,0.0755787055495113,-0.0333636531575191,0,0,0,0,0.00709944478538177,0.0151485542822978,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0.262143761687533,0,0,0,0,0,0,0.116089101811952,0,0,0,0,0,0,0,0,0,0,-0.117354113128927,0,0,0.0351039203858519,-0.0417596558204625,0.16451577579169,0,0,0,0,0,0,0,0,0,0,-0.0186510484046301,0,0,0,0,0,0,0,0,0.0147022244032853,0.034125894090709,-0.0787314947051064,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548708806156898,0,0.79126526790669,0,-0.388282241638275,0,0,0,0,0,0,0.00519653252067974,0.128418539768708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00939192370900451,0.019755871134872,0,0,0,0.192341369701874,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0.428629115269538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083937812893112,0,0,0,0,0.159200231788927,0.0148705245683719,0,0,0,0,0.0150929918626679,-0.00322953951624885,-0.0132429098497498,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,-0.254572246423116,0,0,0.0980960281278655,0,0.245348337235656,0,0,0,0,0,0,0,0,0,0,0,0,0.104132536944043,0,0,0.126984724415461,0.159528246973563,0,0.362760149324769,0,0,0.216715957048898,0,0,0,0,0,0,0,0,0,0,-0.146239878555615,0,0,0,0,0,0.373143360485527,-0.0135950193770675,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.220925542702244,0,0,0,0,0.0259420564055271,0,0.0986153573530298,0,0,0,0,0.0911724904989357,0,0,0,0,0,0.0472934840188728,0.209401240579991,0,0,0.0942118897538205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120128414704134,-8.67361737988404e-19,0.0680748319981139,0,0.0278588650968026,0,0,0,-0.00560086530799999,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0.583917241413841,0.0831247718537018,0,0,0,0,0,0,0,0,0,-0.409021801635067,0,0,0,0,0,0,-0.0493407171165364,0,0,0,0,-0.131980986784203,0,0,0.497578649032278,0.0528315562224591,0,0,0,0,-0.246039750260139,0,0,0,0,0,0,-0.162213185219984,0,0,-0.0472252864373073,0,0,0.120114563468888,-0.160809453040285,0,0,0,0.316278341918492,0,0
