,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600547.SH,X600362.SH,X600188.SH,X600688.SH,X601600.SH,X600795.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600489.SH,X600886.SH,X600660.SH,X600309.SH,X000723.SZ,X600623.SH,X601158.SH,X000792.SZ,X002466.SZ,X600299.SH,X000959.SZ,X002075.SZ,X000898.SZ,X000709.SZ,X000983.SZ,X000408.SZ,X600583.SH,X000883.SZ,X600549.SH,X000630.SZ,X600352.SH,X000937.SZ,X601699.SH,X600176.SH,X000060.SZ,X000539.SZ,X000027.SZ,X000935.SZ,X002092.SZ,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000060.SZ,0,0,0,0,0,0,0,0,0.0884243948769119,0.252493394071599,0.0464475776549553,0,0,0,0,0,0,0,0,0.0345590834804456,0,0,0,0,0,0,0,0.124738907926852,0,0,0.0655159222601474,0,0,1.73472347597681e-18,0,0,0,0,0.110784396031435,0,0,0,0.174608346262649,0.0471169629408457,0,0,0,4.33680868994202e-19,0.0448308718973907,0,0,0,0.0146767564481179,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0.0336054102947468,0,0,0.0222556528771832,0,0,0,0,0,0,0,0,0,0.0132146709300164,0,0,0,0,0.118396952458692,0,0.0541936924997105,0,0,0,0,-0.0151339552604507,-0.0336283237493818,0,0,0,0,0,0,0,0,0.0184584465449608,0,0,0,0.0705606917837938,0,0,-0.00782947933616806,0.0732786164090521,0,0,0,0.0128970420996397,0,0,0,0,0,0
X000027.SZ,0,0,0.0224773323438681,0,0,0,0,0.0321898824716761,0,0,0,0.159124416520658,0,0,0.004344504986979,0,0,0,0,0,0,0,0,0.0281672354199773,0,0.0683782057848818,0,0.0429636758398164,0,0,0,0,0,0.0343854988420794,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0269606322856043,0.0912635718601197,0,0,0,0.0733260182054498,0,0,0,0.0179157178241324,0,0,0,0,0,0
X000935.SZ,0,0,0,0,0,0,0,0,0,0,-0.595522376214726,0,0,0,0.0583104848409421,0,0,0,0,0,0.473392439675832,0,0,0,0,0,-0.229191663827483,0,0,0,0,0,0.133583364841973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596028006610093,0.418774204956109,0,0,-0.277584778150003,0,0,0,0,0,0
X002092.SZ,0,0,0,0,0,0,0,0,0,0.130445807979941,0,0,0,0,0.264964200622848,0,0,0,0.00493319806102752,0,0,0,0,0,0,0.168812659270258,0.0481386028772562,0.253672128338299,0,0,0.110908282845287,0,0,0,0,-0.215840708301639,0.268980528505911,0,0,0,0,0,0,0,0.0902799825055126,0,0,-0.0297970093764568,0,-0.0413101135448166,0,0,-0.00943378148861017,0.0891814313821556,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.307736229831866,-0.0760063009085168,0,0,0,-0.169688058392762,0,0,0,0.212188046998097,0,0,0.157120353700247,0.0958937861218805,0.00332591144636402,0.0780365161636709,0,0,0,0,0,0,0,0,0,0,0,0.632203142039539,0,-0.123752850213174,0.0469078488730336,0,0.0858539935521753,0,0,0,0,0,0,-0.0612334958375188,0,0,0.0465752822874214,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.0742052924421872,0.0501382111546699,0,0,-0.0522426642430219,0,0,0,0,0,0.0974771731922023,0,0,0,0,0,0,0,0,0,-0.0462178213382037,0,0,0,-0.002847540034938,0,-0.0855668522425956,0,0,0,0,0,0,0,0.0122551125320159,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0727059288522718,0,0,0.0199613979459729,-1.73472347597681e-18,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.285510621487801,0,0,0,-0.221976859277451,0,0,0,0,0,0,0.647065157935631,0,0,0,0,-0.00438485133087697,-0.703359365411295,0,0,-0.19753766268077,0,0,-0.0272126622926011,-0.00740728686765813,0,0,0,0,0,0,0,0,0,-0.124844742602145,0,0,0,0.610148928802286,4.33680868994202e-19,-0.174086825497141,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0.297358555154921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200484871282027,0.0489308383858367,0.22299086522773,0,-0.0480248929926289,0,0,0,0,0,0,0,0,-0.250336557463199,0,-0.0666260371391652,0,0,0,-0.139630431606406,0,0,-0.130025742543747,0.473784783195672,0,0,0,0,2.04905562331196,0,0
RealEstate_excess,0,0,0,-0.425536445281164,-0.0183319640141463,0,0,0,-0.0203299252002938,0.0434933195765711,0,0,0,0,-0.0611577021173009,0,0,0,0,0,0,0,0,0,0,0,0,0.0711210071452856,0,0,0.0392495310212679,0.106033476213243,0,0,0,0.127411455106929,0,0,0,0,0,0,0,0,0,-0.107974347522293,0,0,0,0,0,0.0720235085925237,0.0135818976309867,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011511448630361,0,0,0,-0.00705786388868906,0,0.0393450833051126,0,0,0,0,-0.0516486825945599,0,0,0,0,0,0.0197279527918622,0,0,0,0,0,0,0,0,0,0.0864609507767714,0,0,0,0,0,0.00414609521127844,-0.180241658438095,0,0,0,0.0182867634820157,0.116124203101574,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00160590520659533,0,0,0,-0.00149517065420826,0,-0.00102632054998783,0,0,0,0,-0.00152845136641719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00112089245726483,0,0,0,0,0,0.00107330312056241,0,0,0,-0.00363146340285356,-0.00274512932424193,0,0,0,-0.00500355936680008,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,-0.0305162386303724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038321719496566,0,0,0,0,0,-0.0068534190104429,0,0,0,0,0,0,0,0,0,0,0.0148717603575004,0,0,0,0,0,-0.00947098247441883,0,0,0,0.0239432716722517,0.081408321134276,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0.0210848258596779,0,0,0,0,0.000685024327431,0,0,0,-0.00204955690635418,0,0,0,0,0,0,0,0,0,0,0,-0.00314329733075292,0,0,0,0.00734157833990247,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,-0.00309771382441224,0,0.00419264525769398,0,0.00600597792330713,0.0224140456676585,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0.0111399209524732,-0.00108742569483342,0,0,0,0,0,-0.0055466566795266,0,0,0,0,0,0,0,0,0,0,0.0172869356005548,0,0,0,0,-0.0055951612122359,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131495738764167,0,0,0.0125441956840313,0,0,0,0,-0.0639213365754703,0.0271564468765345,0,0,0,0,0
