,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601600.SH,X601991.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X600547.SH,X600516.SH,X601992.SH,X002466.SZ,X600111.SH,X600027.SH,X600176.SH,X600352.SH,X600299.SH,X600808.SH,X000709.SZ,X300072.SZ,X002110.SZ,X002460.SZ,X000553.SZ,X600801.SH,X000786.SZ,X600339.SH,X600583.SH,X000932.SZ,X600426.SH,X601158.SH,X000883.SZ,X000629.SZ,X000301.SZ,X600219.SH,X600489.SH,X000792.SZ,X601699.SH,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601158.SH,0,0,0,0,0,0,0.0381074037379361,-3.46944695195361e-18,0,0.0535347008266542,0,0,0,0,0,0,0,0,0,0.0936021653884283,0,0,0,0,0,0.0256684367014099,0,0.00879022667987098,0,0,0,0.0326268927267097,0,0,0,0.0373441303399656,0,0,0,0,0,0,0,0.140327515112244,0,0.0878780621516289,0,0.0293574198100861,0,-0.00609097183966696,-0.0143208021131387,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0.0404185719586496,0,0,0,0,0,0,0,0,0,0,0,0.00244580013417648,0,0,0,0,0.0734917318879452,0,0.0317019290974778,0,0,0,0,0,0,0.0666170205496385,0,0,0.0489926369755836,0,0.0109198523940043,0,0,0,0,0,0,0.133584133183825,0,0,0,-0.00696098225217256,0.000673683224605137,0,0,0,0,0,0
X000629.SZ,0,0,-0.0646637640763705,0,0,0,0,0,0,-0.281120861898655,0,0,0,0,0,0,0,0,0,0.0964611801857707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643653500028632,0,0,0,0,0,0,0.0335527118042457,-0.144747225218389,0,0,0,-0.0183045504379897,0.0605575882776705,0,0,0,0,0,0
X000301.SZ,-0.125303675950006,0,0,0,0,0,0,0,0.0623647183196543,0,0,0,0,0.281464452987888,0,0,0,0,0,3.3881317890172e-21,0,0,0,0,0.168579480136513,0,0.0704837053194269,0,0,0,0,0,0,-0.224683335308657,0.141841482574282,0.184306695810014,0,0,0.133387809904858,0,0,0,0,0,0,0.0181312620619116,0,-0.0973986913653092,0.135102030073632,0.0438330770733639,0.0424229738774349,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0.138850727895167,0,0,0,0.238101273535977,0,0,0,0,0,0,0.0283268972954051,0,0,0,0,0,0.0906039917797616,0,0,0,0,0,0,0,0,0,0,0,0.0889077180427083,0,0,0,0,0,0,0,0,0.0620707419380135,0,0.0151208895558116,0,0.00782510755902912,0.0217100210638812,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0.292833586219553,0,0,0,0.0214123452267759,0,0,0,0,0,0,0.138176689906491,0,0.02766428613221,0,0,0,0.0482388362147922,0,0,0.0600451536635824,0,0,0,0.00920872565198202,0.080581084280463,0,0,0,0.0172138801019307,0,0,0,0,0,0,0,0,0,0,0,0,0.00293975139032146,-0.0425895374079295,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,-0.232138028759957,0,0,0,0,0,0,0,0,0,0,-0.590738087433303,0,0,0.170621309154806,0,0,0,0,0,0.424267575400773,0,0,0.0851661455725131,0,0.290876763010003,0.198447082000077,0,0,0.291546162147294,0,0,0,0,0,0,0,0,0,0,0,0,-0.406726919025877,0.0400020963202293,0.0451667840543276,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.29679213888565,0,0,0,0,0,0,0.0829378254552844,0,0.346447214139088,0,0,0,0,0,0,0.00724286712664088,0,0,0,0,0,0,0,0.194345947149117,0,0,0,0,0,0,0.0383280035485112,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00608950921521154,-0.00865806552379727,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0.421210283018792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109216993118045,0,0,0,0,0.371217412835894,0,0,0,0,0,0,0,0.0754475502995385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00566803603658305,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,-0.0904982946034664,0,0,0,0,0,-0.194140189413191,0,0,-0.0227822210768205,0.355991710984418,0,0,0,0,-0.0331918490897049,0,0,0,0,0,-0.318223096341569,0,-0.0628382230407832,0,-0.136879902297326,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129858234594539,-0.0907125482711334,0,0,0,0,0,0
