,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X600309.SH,X601898.SH,X601600.SH,X600688.SH,X600188.SH,X600795.SH,X002466.SZ,X601992.SH,X600362.SH,X600660.SH,X601991.SH,X600547.SH,X300072.SZ,X600886.SH,X600111.SH,X000709.SZ,X600157.SH,X600027.SH,X002460.SZ,X600516.SH,X000898.SZ,X000959.SZ,X600339.SH,X600489.SH,X601158.SH,X600808.SH,X002092.SZ,X002271.SZ,X600352.SH,X600219.SH,X000883.SZ,X600176.SH,X000983.SZ,X000630.SZ,X000723.SZ,X600299.SH,X600578.SH,X600549.SH,X000792.SZ,X600008.SH,X000408.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253719566571317,0,0,0,0.0682907520021478,0,0,0,0,0,0,0.21396667269026,0.0695353839667427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00769528721540085,-0.0461643729579025,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374884435759431,0,0,0.0162072572998309,-0.027478017112857,0,0,0,0.0356261949381182,0,0,0.0107214362017841,0,0,0,-0.0784746177526551,0.0925460808783493,0,0.140094080741422,0,0.0416410601601186,0,0,0,0,0,0,0,0.0223792515775093,0,0,0,0,0,0,0,0.00802996277765579,0,0.0432915165338296,0,0,0,0,0
X600808.SH,0,0,0,0.435003220752978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300746886884025,0.0646176000368889,0,0,0,0.0671624258276121,0,0,0.00361338466495563,0,0,0,0.0509261413769646,0,0,0,0,0,0,0.000987077175034344,0,0.0555585587651791,0,0,0,0,0,0.106160145857007,0,-0.0314547983458933,0.0361187526963675,0,0,0,0,0,0
X002092.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615904661820657,0,0,0,0,0,0,0,0.0806813014455594,0.200551251498385,0,0,0.0272556359820401,0,0,0,0,0,0,0,0,0.289156421331692,0,0,0,0.182124667394106,0,0,-2.16840434497101e-19,0,0.126010913069286,0.0694781944906901,0,-0.018983203810342,-0.0590205905373498,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0.0252554360962812,0,0,0.138529611118503,0.00411395497634355,0,0,6.93889390390723e-18,0,0.502273530516249,0,-0.085269014219892,0,0,0,0,0,0,0,0,0,0,-0.0085128085792178,0,0,0,-0.0584152285345696,0,0,0,0,0.134407944360729,-0.334210590925032,0,0,0,0,0,0,0.140823578941791,0,0,0,-0.00611427745387837,-0.0196315154299851,0.107251074641615,0,0,0,0,0
X600352.SH,0,-0.0956157629677204,0,0,0,0,0,0,0,0,0,0,0,0,0.187085666964192,0,0,-0.0138838939779962,0,0,0,0,0,0.00252910481940444,0,0.0390168255841614,0.0152606821867309,0,0,0,0,0,-0.0178942699492886,0.0606139082370118,0,0,0,0,0.0473149659822099,0,0,0,0,0,0,0,-0.0616058989061546,0,0,0,-0.0195780867336241,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195147863811189,0.0245701167736704,0,0,0,-0.0138908864011304,0,0,0,0,0,0,0,0,0,0,0.0591785068305893,0,0.0105831733899662,0,0,0,0,0,0,0.0874134032401284,0,0,0,0,0,0,0,-0.0402640604912831,0,0,-0.0222891654355422,0.0231991297469937,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308276546135994,0,0,0,0.0179303161762717,0,0,0,0.042137729179802,0,0,0,0,0.00663865808738662,0,0,0.0522619947925926,0.0294982641866945,0,-1.73472347597681e-18,0.0944329028814555,0,0,0,0,0,0.0447760848041907,0,0,0.0991660819903299,0,0,0.0601423957861656,0,0,0,0,-0.0160354245881929,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0.145611086656457,0,0,0,0.0881693311217671,0,0,0.189180978683256,0,0,0,0,0,0,0,0,0,0,0.0754603173751144,0.0353466404236806,0,0,0,0,0,1.73472347597681e-18,0.0610192029210275,0,0,0,0,0,0,0,0,0,0,0.0603024049842654,0,0,0,0,0,0.0287388918769483,0.00829086943497123,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136512062066575,0,0.352538504681833,0,0,0,0,0,0,0.0702062461464796,0,0,-1.38777878078145e-17,0.085907824089231,0,0,0.109860146833305,0.0102718986651957,0,0.321253716311361,0,-0.137276564515439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313258003087171,0,-0.0108384736833742,-0.0288417539721203,0,0,0,0,0,0
