,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X600111.SH,X000786.SZ,X600010.SH,X600188.SH,X600886.SH,X600176.SH,X600011.SH,X600426.SH,X000027.SZ,X601991.SH,X600803.SH,X600489.SH,X600795.SH,X600219.SH,X600352.SH,X000807.SZ,X600801.SH,X000932.SZ,X600315.SH,X000898.SZ,X600688.SH,X000408.SZ,X000825.SZ,X002080.SZ,X002353.SZ,X600157.SH,X600486.SH,X000959.SZ,X300037.SZ,X002409.SZ,X601699.SH,X000830.SZ,X000883.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000807.SZ,0,0,0,0,0,0,0.255314894968609,0,0,0,0,0,0.708832507084661,0.260583932130337,0.0731579651772551,0.0151991485031717,0,0,0,0,0,0.0411207834912772,0.1476159645423,0,0.0490235932203354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117713585019987,0,0,0,0,0,0,0,0,0,0,0.0495641952714792,0,0,0,0,0,0,-0.0218795654690332,0,0
X600801.SH,0,0,0,0,0,0,0,0,0.0528482884528491,0,0,0,0,0,0,0,0,0,0.0120925367085922,0,0.164680267680528,0,0,0,0.0335076114501716,0,0,0,0,0,0,0.120444702192364,0,0.0889929249901837,0.0179341386986992,0.0303179903014814,0,0.085692177901451,0,-0.0884377266874636,0,0,0,0,0,0,0,-0.0309287485417034,0,0,0,0,0,0,0,0,0.0116622128786162,0,0
X000932.SZ,0,0,0,0,0,0,0,0,0,0.147549554719277,0,0,0,0,0,0.0548329483801594,0.187612067718451,0,0,0.116956901795959,0,0,0,0.154761728549787,0,0.063224082385096,0,0,0,0,0,0,0,0,-0.178357101538418,0.643652190814062,0,0,0,0,0.06656267670995,0,0,0,0,0,0,0,0.0464388099549689,0,0,0,0,0,0,0,0.0288037670666636,0,0
X600315.SH,0,0,0,0.0429259728073984,0,0,0,0,0,0.265159828078348,0.057613299372205,0,0,0,0,0,0,0,0,0,0,0,0,0.0997954729792322,0,-0.163226067779252,-0.124633430929587,0,0,0,0,0,0,0,0,0,0,-0.138134789163666,0,0,0,0,0,0,0,-0.150141192349566,0.00648477602422564,0,-0.100324379481769,0,0,0,0,0,0,0,0.010138736883288,0,0
X000898.SZ,0,0,0,0,0,0,0.391810964711406,0,0,0,0,0,0,0.080866252079384,0,0.00729404176380953,0,0,0.131904553627019,-3.46944695195361e-18,0,0.0368852263694641,0,0,-0.0497893392217771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560397816105577,0,0,0,-0.0062188525101739,0.229734217054199,0,0,0,0,0,0,0,-0.0331651798866861,-0.0390934433898779,0,0,0,0.0466768202592677,0,0
X600688.SH,0,0,0,0,0,-0.0579685110382803,0,0,0,0.164850256541491,0.0426705427801455,0,0,0,0,0,-8.67361737988404e-19,0,0,0.00163703007122871,0,0,0,0.0564619831819263,0,0.016255167100097,0,0.0198487354044683,0,0,0,0,0,0,0,0,0,0,0,0,0.0897700899824897,0.101640123161738,0,0.0231155732081839,0,0,0,0.0446300778787361,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115576939461155,0,0,0,0.00237967314018551,0.0162126961131868,0,0,0,0,0,0,0,0,0,0,0,0,0.104263773168549,0.249798010171381,0,0,0,0,0,-0.0607110865491576,0,0,0,0,0.255886078693083,-0.0338659339750694,0,0.0137887681921706,-6.93889390390723e-18,0,0,0,0.0537306691020205,0,0,0,-0.0202199567661927,0,0
X000825.SZ,0,0,0,-0.039390314715917,0,0,0.340807381322586,0,0,0,0.104898174009011,0.0650178096585518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611952122350031,0,0,0,0.411221689753563,0,0,0,0,0,0,0,0.0424047655874361,0,0,0,0,0,0,0,0.00981666181959675,0,0,0,0,-0.0252140333181876,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0.320932277644337,0,0,0,0,0,0,0.0462056118342725,0,0,0,0,0.0540082017322186,0,0,-0.0125333711117604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113966052595259,0,0,0,-0.133172859052196,0,-0.0548112672198701,0,0,0,-0.00373490055249874,0,0,0,-0.00924623754651647,0,0
X002353.SZ,0,0,0,0,0,0,0,0.0691235213643103,0,0.220822434320304,0,0,0,0,0,0,0.025738798702259,0,0.146398524769469,0,0,0,0,0,0,0,0.0822168193213757,0,0,0,0,0,0,0,0,0,0,0,0,0.10944931214233,0,0,0,0,0,0.220598347199055,0,0,0,0,0,0,0,0,0,0,-0.0598318475088069,0,0
