,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X002466.SZ,X600516.SH,X600547.SH,X600027.SH,X600111.SH,X601992.SH,X300072.SZ,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X000932.SZ,X600808.SH,X000709.SZ,X000786.SZ,X600426.SH,X600801.SH,X000883.SZ,X601158.SH,X600339.SH,X600219.SH,X601699.SH,X600583.SH,X600985.SH,X000830.SZ,X000408.SZ,X601003.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600299.SH,0,0,-0.0735433343330534,0,0,0,0,0,0,0,0.220020769803374,0,0,0,0,0,0,0,-0.0563597883612925,0,0.0650292164740493,0,0,0,0,0,0,0.317854893111864,0,0,0,0,0,0,0,-0.0795659636900417,0,0,0,0.0335640405988248,0,0,0,0.0989508847503448,0,0,0.148720530187517,0,-0.398045549679309,0.00671754464206727,0,0,0.0539252758319682,0,0,0,0
X000932.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666516322371816,0,0,0,0.193408395494303,0,0,0,0,0,0.107236669416811,0,0,0,0.0175456050958381,0,0,0,0,0,0,0.45090730869028,0,0,0.0161991218755928,0.0238181605328586,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0.0619332542301149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168046673632223,0,0.00679364437952626,0.0134590881176264,0,0,0.220270857942524,0,0.00466660805414069,0,0.0865403194244562,0,0,0.0686354026898224,0,0,0,0,0,0,0.0509377807392787,0.0448394586257762,0,0.179108681473395,0,0,0.00280461180681719,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0.18591557717601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335354540893708,0,0,0,0.0199450233562143,0,0,0,0,0.271518382984529,0,0,0,0,0,0,0.00602901347556978,0,0,0,0,0.138331719302452,0,0.0435215461832,0,0,0,-0.0201634647034366,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0.152685826548726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221917774758324,0,0,0,0.413800053631859,0,0,0,0,0,0.289639620931323,0,0,0,0,0,0,0,0,0,0,-0.204683105104041,0,0,-0.100161014684319,0.0869871905780411,0,0,0.040645494552164,0.0467900592314542,0,0,0,0,0,0
X600426.SH,0,0,0,0.113872544546222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344751429956078,0,0.120203630080225,0,0,0.0531457665063757,0,0,0,0,0,0,0,0.0316953520873285,0,0,0,-0.165550777110799,0.833315662662166,0,0,0,0,-0.0146700233389712,-0.0285072830532055,0,0,0,0,0,0
X600801.SH,0,0,0,0.44125703209349,0,0.0433218860447187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135070701407161,0.0229904457965168,0,0,0,0,0,0.197065594060212,0,0,0.0511697130563358,0.192908180295892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333024167158178,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513685754455415,0,0.0223633540094792,0,0.0374377367480007,0,0.0831859711821154,0,0,0,0,0,0,0,0,0.0776940791119162,0,0,0,0,0,0,0,0.189428107280207,0,0,-3.46944695195361e-18,0,0,0,-0.00320714449422978,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0.0415396503792274,0.0438080624528806,0,0,0,0,0,0,0.110036233351002,0,0,0,0,0,0.123785352279573,0,0,0,0.0467877627767157,0,0,0.0224488303248194,0,0,-0.0185443308101501,0,0,0,0,-0.00830905713873833,0,0,0,0,0,0,0,0,0,0.118238897871893,0.010955310454962,0,0,0.0128035015225666,-0.00280544144380873,-0.00352597372569931,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,0,0,0.0102293563567227,0,0,0,0,0,0,0,0,0,0,0,0.0319814573078576,0,0,0,0,0.100722753356282,0,0,0,0,0,0.0284505497931294,0,0,0,0,0,0,0,0,0,0,0,0.32442691583445,0.115562373637733,0,0,0.26769150494066,0,0,-0.0237991551591359,-0.0472918497823414,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,-0.0567822306473078,0,0,0,0,0,0,0.279210806075565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711125058773471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109101406641596,0,0.28637348147001,0,0,0,0,-0.00210072084453107,0.00580112160077921,0,0,0,0,0,0
