,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X600176.SH,X601991.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000408.SZ,X000630.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X000723.SZ,X002128.SZ,X600157.SH,X002353.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0.0133833055301613,0,0,0,0,0,0,0,0,0,0.0706318758995923,0,0.123857448550667,0,0,0,0.0624210879360257,0,0.0778601237051408,0,0,0,0,0,0,-0.0385599468801569,0,0.343716222516862,0,0,0,0.0906247304350809,0,0,0,0,0,0,0,0.239863938765463,0,0,0,0,0,0,0,0,0.275432226689617,0,-0.117103411651308,-0.0137462043568265,0,0,0,0,0,0,0
X600426.SH,0,0,0,0.20996062177574,0.154081767907038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059836473586108,0,0.171875116340223,0,0,0,0,0,0.118574286094896,0,0,0,0,0,0.16002482085119,0,0,0,0,0,0,0,-0.135172930451705,0,0,0,0,0,0,0,0,-0.0913370257504825,0,0
X000877.SZ,0,0,0,0,0,0,0.447321336971019,0,0,0,0,0,-0.0369325389816267,-0.024610335256909,0.0128801975185477,0,0.055636059895239,0,0,0,0,0,0,0,0,0,0.1864394421727,0,0.052508568782851,-0.103987290665182,0,0,0.0181622855993859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0922462983222123,-0.00133117952824971,-0.0273019516623372,0,0,0,0.00456367284653715,0,0
X600362.SH,0,0,0,0.110736399199699,0,0,0.0366184008408754,0,0,0,0.149349820877421,-0.0177276717532742,0,0,0,0,0,0,0.0444453994403713,0,0,0,0,0,0,0.0357849626669371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710387478653746,0,0.304149056467603,0,0.0734615249953863,0,0,0,0.0460160135294248,0,0.00992800870976995,0.00142409508982192,0,-0.021996346827345,0,0,0,0,0
X601699.SH,0,0,0,0,0.414254613235916,0,0,0,0,0,0,-0.0717727103311558,0,0,0.059350481663457,0,0,0,0,0,0,0,0,0,0,0,0.0996152947460006,0,0,0.221875254520758,0,0,0,-0.0537689561896765,0,0.05023849044805,0,0,0,0.258591083666222,-0.134137523161546,0,0,0,0,0,0,0,0.035950629726465,0,-0.00442178897835072,-0.0101571910475927,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0.546050770239287,0,0.10994284313011,-0.0510238120208393,0,0,0,0,0,0.281520001898852,0,0,0,0,-0.167998928097128,0,0.000527880656981396,0,0,0,0,0,0,0,0,0,0,0,0.0717335720818553,-0.487602910777011,0,0,0,0,0,0.306128918996916,0,0,0.0795618294440966,0,0,0,0,0,0.0128732884687587,0.0214410629415757,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0.0486372288786453,0,0,0,0,0,0,0,0,0,0,0.01283800911955,0,0,0,0,0,0,0.564687709487071,0,0.595614665936392,0,0,-0.148436801087342,0,0,0,0,0,0,0.0745971643347946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437783684674904,0.00152683026154235,0,0,0,0.37999254892112,0,0
X600027.SH,0.0629105893319862,0,0,0,0,0,0,0.402653006260456,0,0,0,0,0,0,0.121976013904587,0,0,0,0,0,0,0,0,0,0,-0.133072221392647,0,0,-0.0111829003681912,0.0242023569675528,0,0.0726531497150674,0,0,0,0,0,0,0,0,0,-0.0239508295122015,0,0,0,0,0,0,0,0,0.00153918138888137,0.0400311630908573,-0.0834757285587994,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,-0.296890832071028,0,0,0.119233850038456,0,0.298992302900581,0,0,0,0,0,0,0,0,-0.00811151663731491,0,0,0,0.217360823438936,0,0.0354341621950853,0,0,0.130111758350353,0,0.367976432057282,0,0.253249224971643,0,0,0,0,0,0,0,0,0,0,-0.127866384587025,0,0,0,0,0,0.323702343427296,-0.014284392335287,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0.431414738379489,0.0275758076263549,0,0,0,0,0,0,0,0.0557069667944685,0,0,0,0,0,0.00666348199531092,0,0,0.0230930211439763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150449787149742,0,0,0,0,0,0.013236569201956,0,-0.0189937123846461,0,0,0,-0.00447982794576194,0,0
X600176.SH,-0.152755473607451,0,0,0,0,0,0.0621642131704753,0.0736690928418451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.187695403092355,0,0,0,0.519364226246268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100166202780967,0,0.0060576724067655,0.108657932350754,-0.0652174771782394,0,0,0,0.56282967638228,0,0
X601991.SH,0,0,0,0,0,0,0,0.394698352947887,0,0,0,0,0,0,0,0,0.167834777592032,0,0,0,0,0,0,0,0,0.00803652636475724,0,0.160086282875923,0.041688324060032,0,0,0,0,0,0,0,0,0,0.0050955364349326,0,0,0,0,0,0.118331984973217,0.040990197644247,0,0,0,0.0419819040788164,0,0,0,0,0,0,0,0,0
X000807.SZ,-0.0469914863045861,0,0,0,0,0,0,-0.0846369033118103,0,0,0.564389620961475,0,0,0,0,-0.0402135577426596,0,0,0.000368535375959893,0,0,-0.00610312376974126,0,0,0,0,0,-0.137650164734654,0,0,0.224297796729168,0,0,0,-0.0685541888582472,0,0,0,0,0.116229520384187,0,0,0,0,0,0,0,0,0,0,0,-0.0234808230251418,0,0,0,0,-0.0699280055546396,0,0
X600160.SH,-0.473432086764613,0,0,0,0,0,0,0,0,0,0,0,0.0842192777181264,0,0,0.0504100345923364,0,0,0,0,0,0.206724364437567,0,0,0,0,0,0,0,0.276172998529629,-0.0737237699930667,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.446979105707499,0.454250549723778,0,0,-0.269106041079097,0,0,0,-0.0256770258402096,0.180443740958099,0,0,0,0,0
X000786.SZ,0.0235604249667211,0,0,0,0.147633443851425,0.129748917378829,0,0,0,0,0,0.0883763384902704,0,0,0,0,0,0,0,0,0,0,0.0388425464799943,0,0,0,0.145733614956785,0,0.0861744041658148,-0.0484404211367795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248250859379763,0.0178760242160272,0.0379183904460869,0,0,0,0.162767657945406,0,0
X000932.SZ,0,0,0,0,0,0.291776987700939,0,0,0,0,0.231926834173274,0,0,0,0,0,0,0,0,0,0.00598940467024719,0,0,0,0,0,0,0,0,0.0866201829583154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15593920509852,0,0,0,0,0,-0.0803218733026757,0,0.0215431508085199,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0.0757922936438868,0,0,0,0,0,0.0459894443058082,0,0.180438634218447,0.256736762090577,0,0,0,0.174270473354059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107874158620447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268023507345433,0,0,0,-0.0185312212365873,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0.380052503435794,0,0,0,0,0.0872231105676065,0,0,0,0,0,0,0,0,0,0.0834689294081471,0.024809704152386,0,0.131269874601306,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.039889364078051,0,0,0,0,0,0,0,0,-0.0133362365798423,0,-0.0128102391474276,0,0,0,-0.0217934989723984,0,0
X600985.SH,0,0,0,0.105736616139027,0.0763833240857763,0,3.46944695195361e-18,0,0.248989019604172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38677572673428,0,0,3.46944695195361e-18,0.203006257137081,0,0,0,0,0,0,-0.110441231484016,0,0,0,0,0,0,0,0,0,0,0,0.0319324702639677,0,0,0,0,0,0,0.0407191837021063,-0.162747363311778,0,0,0,0,0
X000933.SZ,0,0,0,0,0.274047979027861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227152606656967,0,0,0,0,0.07149956474805,0,-0.0290393715756521,0,-0.11154629094432,0,0.475301300427747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0087783474795118,-0.00746337215559441,0,0,0,-0.0356816934656939,0,0
X600219.SH,0,0,0,0,0,0.178717652200278,0,0,0,0,0,0,0,0.0127631456142269,0.103942659664248,0,0,0,0,0,0,0.0273740615712396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092429181951193,0.209566703203053,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222690383376666,0.00456390065170079,0,0,0,0,0,0,0
X300037.SZ,0,0,-0.116836836193968,0,-0.0863579520109376,-0.0197130818667631,0,0.0867131555101229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321891870510316,-0.015568053590315,0,0,0,0,0,0,0.0647531260183049,0,0,0.109775431808901,0,0,0,-0.2165249728789,0,0,0,0,0,0,0,0,0,0,-0.110175686108972,0.154050804096807,0,0,0,-0.205650655427118,0,0
X000629.SZ,0,0,0,0,0,0,0.098776097419987,0,0,0,0.0239661835490886,0,0,0,0,0.0598788392539276,0.203905254144386,0,0,0,0.0259099242766247,0,0.0334236480121748,0,0,0.113377760828053,0,0,0,0,0,0,0.0941501496362239,0.0120968590293279,0,0,0,0,0,0,0,0.0205234861538651,0,0.0133467282784631,0.100500292007113,0.0257678552396651,0,0,0,0,0,0.019322539822839,-0.0267041201407769,0,0,0,0,0,0
X600688.SH,0.0271635196441169,0,0,0,0,0.130797190039625,0,0,0,0,0,0,0,0,0,0.046036024783847,0,0.00140282224983022,0,0.0663923521331556,0.076732383913042,0,0.126224006788707,0,0,0,0,0.067966752992642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16184883199059,0,0,0.0936436035447272,0.0282636479101816,0,0.0784784494415314,0,0,0.0192214566837049,-0.031280327823642,0,0,0,0,0,0
X600612.SH,0,0,0,0,-0.2136563492732,-0.0392756754852309,0,0.0888827155654616,0,0,0,0,0,0,0,0,0,0,0,0.34277476586969,0,0,0,0,0,0,0,0,0,0.0318097820320921,0,0,0,0,0,0,0,0,0,0,0,0.00151438402682735,0,0,0,0,0,0,0.122437908084159,0,0,0.0301056079253028,-0.0387539355895783,0,0,0,0,0,0
X000723.SZ,0,0,0,-0.0584738180385947,0.025756708396509,0,0,0,0,-0.180981666972884,0,0,0,0,0,0.0293780110260346,0,0.266253136348867,0,0,0,0,0.00778794753003515,0,0,0,0,0,0,0,0,0,0,0.0550029222461565,0.0456872745079298,0,0,0,0.0465127825400359,0,0,0,0.0415439248423349,0,-0.0450724389526457,0,0,0,0,0.380620121891241,-4.33680868994202e-19,-0.0252432647017381,0,0,0,0,-0.00523712066943861,0,0
X002128.SZ,0.0157271162336385,0,0,0,0,0,0,0,0,0,0.0580527361291507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377672992600746,0,0,0.103747132031533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104534440327341,0.0346625322813238,0,0,0,0.0303930916391252,0,0,0,0,0,0,0,0.0125666040844254,0,0
