,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600362.SH,X600188.SH,X601992.SH,X600111.SH,X600886.SH,X600157.SH,X600623.SH,X600299.SH,X600547.SH,X600660.SH,X600489.SH,X000709.SZ,X601158.SH,X000792.SZ,X600352.SH,X002466.SZ,X600583.SH,X600309.SH,X000898.SZ,X000539.SZ,X000883.SZ,X000629.SZ,X000630.SZ,X000027.SZ,X002075.SZ,X000959.SZ,X000060.SZ,X000983.SZ,X600021.SH,X300072.SZ,X002470.SZ,X600022.SH,X600176.SH,X601699.SH,X600578.SH,X600315.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600111.SH,0,0,0,0,0.0555685412618998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220470535676142,0,0,0,0,0,0.136137075573756,0,0,0.110165542651572,0,0.0338912379396402,0,0,0,0,0,0.301005451416668,0,0,0.0156281280864316,0.108637729092142,0,0,0,0,0,0.137683971545533,0,0,0,0,0,-0.0147177971206841,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0.0965741751437656,0,0,0,0,0,0,0,0,0,0,0.0508683745033148,0,0.138216217713739,0,0,0,0,0,0,0.0277498204983548,0,0.112097352908786,0,0,0,0.181422591973747,0.0267174165233358,0,0,0,0,0,0.00623051658367694,0,0,0,0,0,0,0,0,0.0607147700755595,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678418024669709,0.0808730900536336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250187607344508,0,0,0.116328276689689,0,0.057663961384082,0,0.153479910907647,0.274849237716222,0,0,0,0,0.00785434671724358,0,0,0,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.162824641993913,0,0,0.179882410587534,0,0,0,0,0,0.15079471414335,0,0,0,0,0,0,0,0.737854339861682,0,0.0657873662777138,0,-0.284472766712175,0,0,0,0,-0.0399859027854483,0.0521019686487749,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193563447820066,0,0.0992850517054484,0,0,0,0,0,0,0.0649716893954428,0.237893515903388,0.00447815770089924,0,0,0,0,0,0.0320449509262144,0,0,0,0,0.253798739651594,0.0346350256801387,0,0,0,0,0,0,0,0,0.0823797093945495,0,0.0423283442709881,-0.0570471331366068,0,0,0,0,0,0
X600547.SH,-0.0042260962516142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0454720568327048,0,0,0,0.946979210802384,0,0,0,0,0,0,-0.102705078064936,0,0,0,0,0,0,0,0,0.27623649457111,0,0,0,0,0,0,-0.108913971750801,0,0,0,0,0,0,0,0,0,0,-0.0730465094019973,0
X600660.SH,0,0,0,0,0,0,0,0,0,0.07037117680846,0,0,0,0,6.93889390390723e-18,0.0844717463089833,0,0,0,0,0,0,0,0,0.0140799380620865,0,0,0,0,0.0992816367357149,0,0,0,0,0,0,0,0,0.0438503310490319,0.0224267625478601,0,0,0,0,0.119841593359427,0.0386865438003893,0,0,0,0,0,0.00501444849415633,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635331161121261,0,0,0,0,0,0.0880171368125721,0,0,0,0,0,0,0,0,0,-0.0183047414056618,0.163434683361153,0,0.0457705620769644,0,0,0,0,0,0,0,0,0,0,-0.00936490145718459,2.16840434497101e-19,0,0.001642708750856,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0.162676812264612,0,0,0,0,0,0,0,0,0,0,-0.0527711379432209,0,0.0775495596363919,0,0.0236657968198528,0,0,0,0,0.118771841847431,0,0,0.24883006034573,0,0,0,0,0,0.0225853595698253,0.094281470232923,-6.93889390390723e-18,0,0,0,-0.119370756717125,0.287486548453171,0,0.103470026809467,0,0,0,0,0.0319091607641797,-0.043826471946066,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104647159675783,0,0.158373836179455,0.0938758212772887,0,0,0,0,0,0,0.00367810101764946,0,0,0,0,0,0,0,0,0,0,0.0643373102709485,0.0443126881697271,0.103545221497453,0.0184441236168871,0.0205202688481323,0.202305623982687,0,0,0,0,0,0,0.238782288276084,0,-0.00763568786973094,-0.0351067378417485,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134735807180051,0,0,0,0,0.0645133058873321,0.135565730227769,0,0,0,0,0,0,0,0.0780889638174806,0,0,0,0,0,6.93889390390723e-18,0,0,0.113840210167396,0,0,0,0.0362295121146259,0,0,0,0,0,0,0,0.331401932411204,0,0.0184615969133386,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448188706130361,0.0129748089682803,0,0,0,0,0,0,0.316847848707966,0,0,0,0,0,0,0.35710380530565,0,0,0.232277783818914,0,0,0,0,0,0.0110022473999231,0,0.0256901277171487,0,0,0,0
X002466.SZ,0,0,-0.17649858375479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0826769153441404,0,-0.0854032394428212,-0.557730124582482,0,0,0.0246218948963777,0,0.145899854916011,0,0,0,0,0,0,0,0,0.851676488739143,0,0,0,0.3318137382539,0,0.281133012422884,0,0,0,0,0,0,-0.209337031199157,0,0,-0.114323258434379,0.139308977668549,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0.260001493857416,0,0,0,0,0,0,0,0,0,0,0,0,0.0223429973570552,0,0,0,0,0,0.0574951077424693,0.0677714506453223,0,0,0,0,0,0.268422682585958,0.00853252922065092,0,0,0,0,0,0.0554412740077504,0,0,0.096422543057202,0,0.0909566496708962,0,0,0,0,0,-0.00295231969753409,0,0,0,0,0,0,0
