,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600011.SH,X600585.SH,X600188.SH,X002460.SZ,X600547.SH,X601898.SH,X601600.SH,X002466.SZ,X000792.SZ,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X000877.SZ,X002271.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600803.SH,X600027.SH,X601991.SH,X600489.SH,X000807.SZ,X601699.SH,X000983.SZ,X000786.SZ,X600160.SH,X000932.SZ,X000408.SZ,X600219.SH,X000539.SZ,X000629.SZ,X600378.SH,X300037.SZ,X002080.SZ,X000723.SZ,X600688.SH,X600995.SH,X000933.SZ,X000630.SZ,X600157.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000932.SZ,0,0,0,0,0.343611148349921,0,0.0113952904315546,0,0,0,0,0,0,0,0,0.0184684324570766,-0.0557020660466366,0,0,0,0.42421093179469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000261506621405673,0,0,0,0,0,0,0,0,0,0.11135941933263,0,0.103530721174317,0,-0.0190470871784764,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0.202376187415372,0,0,0,0,0.272866908700277,0,0,0,0,0,0,0.0343776148914523,0.178790885887837,0,0,0,0,-0.0568713377084632,3.46944695195361e-18,0,0,0,0.19214454561995,0,0,0.0385356314074925,0,0,0,0,0,0.0309252147698115,0,0,0.035463865167835,0,0.0503738217422917,0,0,0,0,0,0.0267877926580325,0,0,0,0,0,0,0
X600219.SH,0,0.0386265206589446,0,0,0.0354017325183426,0,0.233242765679747,0,0,0,0,0.0671079496430952,0,0,0,0,0,0,0,0.124532363650428,0,0,0,0,0,0,0,-0.0382899325712219,0,0,0,0.0900285145309844,0,0,-0.014827863715483,0,0,0,0,0.0673823491169406,0,0,0,0.0818729925502528,0,0.0797655505309874,0,0,0,0,0.0554960672172493,0,0,0,0,0,0,0,0
X000539.SZ,-0.181979273369397,0,0,0,0,0.0861304492476468,0,0.0671427956815619,0,-0.182909339783347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1037943312085,0.123344518081904,0.573644583521094,0,0.057723705619638,0,0,0,0.152081331166577,0,0,0,0,0,0,0,0,0.0393123098712188,0,0.0812861615310194,0,0,0,0,0,-3.46944695195361e-18,0.0886105437317049,0.0689688056029868,0,0,0,0,0
X000629.SZ,0.0338400276132378,0,0,0,0,0,0.217813291739902,0.0325217440296809,0,0,0,0,0.103255342335416,0,0,0,0.455552063760213,0.180558411582729,0,0.0534719322242812,0,0,0,0,0,0,0,0,0,0,0.0739479145755339,0.0198588781135384,0,0,0,0,0,0,-0.0677464377220889,0,0,0.0503261482458056,0,0,0,0,0,0,0,0,0,0,-0.0802612093694185,0,0,0,0,0,0
X600378.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19359939378354,0,0,0.0685212205466295,0,-0.202232541315584,0.309286297211212,0,0,0,0.238548394417148,0,0.124897525504384,0.0458340706916288,0,0,-0.0408190748929754,0,0,0,0,0,0,0.0152943397280692,0,0,0.0081668618772339,0,0,0,0.0309970307200243,0,0,0,0,0,-0.0224761180843187,-0.0475365049125676,0,0,0,0,0,0
X300037.SZ,0,-0.0807491135068039,0,0,0,0,0,-2.16840434497101e-19,0,-0.00364565806221606,0,0,0,0,0,0,-0.00486380329907093,0,1.73472347597681e-18,0,-0.204963399719626,0.232419177629474,0.280539288252649,0,0,0,0.00170902217478904,0.0654152538963093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323736149793848,1.73472347597681e-18,0,0,0,0,0,0
X002080.SZ,-0.172850635282998,0,0,0,0.0652775801937897,-0.0327023662801844,0.107781102834442,0,0,0,0,0,0.151386814215198,0,0,0,0.0856192451479596,0,0.111913238309347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103669403453606,0,0,0,0,0,-0.105286957038403,-1.73472347597681e-18,0,0,0,0.116295252054553,0,0,0,0,0,-0.0365863886552329,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0.215669934851303,0,0,0,0,0,0,0,0,0,0,0,0,0.187933799023323,0.0650627790280935,0,0,0,0,0.0485236868549454,0,0,0,0,0,0,0,0,0,0.233969158481209,0,0.0124610483840011,0,0,0,0,0,0,0,0.0330896813802304,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0.151054170161739,0,0,0,0,0.105532443227679,0,0,0,0,0.0397367461437137,-0.0282920403477359,0,0,0,0.0173355988552428,0,0,0,0,0,0.0966179452266159,0,0,0,0,0,0,0,0,0,0,-0.0219696252839228,-0.0134785612944146,0,0,0,0,0.0391795825159042,0,0,0,0.00692936704083044,0,0.0538351430154829,0,0,0,0,0,0.0136934887958736,0,0,0,0,0,0,0
X600995.SH,0,0,0,0,0,0,0,0.00839896199659653,0,0,0,0,0,0.517287420823701,0,0,0,0,0.0489635692735871,0,0.230510974912453,0,0,0,0.224113209620402,0,-0.169903805613634,0,0,0,0,0,0,0,0,0,0,0,0.438377693318088,0.1729895305819,0,0,0.00525987326663228,0,0,0,0,0,0,0,0,0.0939442669864,-0.0217801156289765,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0,0,0,0.0303715818856418,0,0,0.133166927869935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118048169387305,0.0241295225373404,0,0,0.480422450663793,1.0842021724855e-19,0,0,0,0,0,0,0,0.0302976487591295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000630.SZ,0.0524631168909754,0,0,0,0,0,0,0,0.0597212257707984,0,0,0.0329441072246535,0,0,0,0,0,0,0,0,0,0,0.0384091015221957,0,0,0,-0.0179268483112533,0,0,0,0.256078203995292,0,0,0.0272426465259467,0,0,0.0299596498701737,0,0,0.0383688501702768,0,0,0,0.109895398503965,0,0.0553381459528153,0,0,0,0,0,-0.00805934277586284,0,0.0577620747440192,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,-0.137916302370588,0,0,0,0,0,0,0,0,0,0.00539067651068934,0,0,0,-0.0653216425728183,0,0.0705575241497608,0.16471206260859,0,0,0,0,0,-0.0481967722233467,0,0.0415968095137086,0,0,0,0.0484000559557277,0,0,0,0,0,0,0,0,0.168117082855382,0,-0.0252221659786232,0,0,0,0,0,0,0
X600096.SH,0,0,0,0,-0.0304949789817125,0,0,0.0142976488522115,0.126781841512398,0,0,0,0.0978196897661448,0.209549649991842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116591118387304,0,0,0.202674951211121,0,0,0,0,0,0.0129173493095803,0,0,0.112050787994794,0,0,0,0,0,0,0,-0.00249247274684257,-0.00157888028050038,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.050796427059945,0,0,0,0,0,0.582034485467276,0,0,0,0,0,0,0,0.0753945606356055,0,-0.0878919613307227,0,0,0,0,0.0929929413580261,0,-0.174147952902475,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.302033601314455,0,0,0,0,0,0,0,0,0.100423161297505,-0.203682219896349,0,0.377938426589473,0,0,0,0
Slope,0,0,0,0,0.187193287742341,0,0.16704755672847,0,0,0,0,0,-0.366950288742986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228378750842615,0.644722652906703,0,0,-0.423183650601474,0,0,0,0,0,0,0.22959061985138,0,0,0,0,0.153902520777745,0,1.26853558241218,0.455509811717457,0,0,0,0,0
TED,0,0.0690679084781506,0,0,0,0,0,0,0,0,0,0.047130839988446,0.0997490057089391,0,0,0,0,0,0.250207397857611,0,0,0.368206539005669,0,0,0,0,0,-0.00646190638992001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189742790547182,0,0,0,0,-0.0719132017565049,0,-0.519010394937687,0.496602812406569,0,0,0,0,0,0,0
RealEstate_excess,-0.000596673378990288,0,0,0,0,0,0.116991261699894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0970209433446907,-0.0659455385039295,0.0936389626706321,0,0,0,-0.0134034772726646,-0.0628400347805851,0,0,0,0,0.0632009418455115,0,0,0,0,0,0.059907338592621,0,-0.196114816022118,0,-0.0492467059118333,0,0,0,-0.128141392639601,0,0,0,0,0,0.0217396323728761,0,0,0,0,0,0
