,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X601600.SH,X600795.SH,X601991.SH,X600362.SH,X600111.SH,X600157.SH,X600027.SH,X600489.SH,X600886.SH,X601992.SH,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X600660.SH,X600309.SH,X300072.SZ,X002075.SZ,X601158.SH,X000408.SZ,X600583.SH,X000723.SZ,X600549.SH,X600352.SH,X000709.SZ,X000883.SZ,X000898.SZ,X000983.SZ,X600176.SH,X000539.SZ,X002470.SZ,X000027.SZ,X000060.SZ,X002460.SZ,X000630.SZ,X000012.SZ,X600021.SH,X002407.SZ,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002470.SZ,0,0,0,0,0,0,0,0,0,0.0299765375386209,0,0,0,0,0,0,0,0,0.00828560985058856,0,0,0.131785147971055,0,0,0.0574911418667847,0,0,0,0,0,0.0718289834204441,0,0,0,0,0,0,0.365046602168909,0.0131843052175306,0,0,0,0,0,0,0,0,0,0.095038768947731,0,0,-0.0312856152224298,0.113795714924515,0,0.024288756127191,0,0,0,0
X000027.SZ,0,0,0,0,0.0601613831508132,0,0,0,0.0784456099370094,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162094679260122,0,0,0.108298780724436,0,0,0.0559033567293747,0.0044453565024075,0,0,0.0778602059271871,0,0.0142360102938948,0.0299734381764463,0,0,0,0.127974363949654,0,0,0.0312704905816097,0,0.00284996012582541,0.00464032051639382,0,0,0,0,0,0,0,0.00681330813867268,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219715548147171,0,0,1.0842021724855e-19,0,0,0.0436598668574477,0,0.156241626569651,3.46944695195361e-18,0,0,0,0.110432961443471,0,0.229487753086925,0,0,0.0315171807204964,0,0,0,0,0,0,0,0,0,0,-0.0131963231416041,0,0.134408006391493,0.0976339995041429,0,0,0,-0.0105456348150624,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498067334808995,0.0411019257876023,0.184231551473724,0,0.0681556850833892,0.105496663106034,-0.216996926794611,0,0,0,0,0.211581503111746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27374346763523,0,0,0.061886979927418,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0.0043261457622642,0,0,0,0,0.613042230612269,0,0.0311167514914019,0,0.0159821396625969,0,0,0,0,0,0.0300462173238656,0,0,0,0,0,0.0484450657102508,0,0,0,0,0,0,0,0.00493941331347059,0,0,0.0290980995425965,0,0,0,0,0,0,0,0,0,0.0165756365986646,0,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0.0609836753745954,0,0,0,0,0,0,0.0802387943300043,0,0,0,0,0.15440071662921,0,0,0.126936478514942,0,0,0,0.079277148829416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0928840725611425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428084072128228,0,0,0,0,0,0,0,0,0.138598495989521,0.0148859457839214,0,0,0,0,0.0269345495995656,0.158190569560489,0,0.19448681948889,0,0,0.133301503719226,0,0,0,0,0.0474789137556588,0,0,0,0,0,0,0.0499809502391772,0,0,0,0,0,0,0
X002407.SZ,0,0,0,0,0,0,0,0,0,0,0.0352891212724033,0,0,0,0,0,0,0,0,0,0,0.118281000528345,0.450811703673407,0.137364411226813,0,0,0,-0.0333033179045835,0,0,0.183505978849554,0,0,0,-0.491982066534665,0,0,0,0,0,0,0,0,0,0.279441248251724,0,0.123676650098151,0,0,0,0,-0.0073432367647364,0.0778335931989764,0,0,0,0.242699745704135,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.108388793112343,-0.00442273696403663,0,0,0,0,0,0,0,0,0,0,0.0761393103620593,0,0,0.00588299620510966,0,0,0,0.0466034989616524,0,0,0,0,0.163725790507256,0,0.0433593444014377,0,0,0,0,0,0,0,0.281395352290994,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0338678677209682,0,0.301846541472362,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0.0355222120349332,0,0,0,0,0,0,0,0,-0.0187837696475136,0,0,0,0,0,0.00822334381565582,0,-0.00199111452473006,0,0.0134656600111396,0,0,0,0,0.0303968697327969,-0.119497562288885,0,0,0,0,0,0,0,0,0,-0.0654385500480347,0,0.012818674516048,0,0.0386392397208282,0.0934443237848993,0,-0.00745867348716457,-0.00911098669669481,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,-0.0660810135453778,0,0,0,0,-0.121098648946968,0,0,0,-0.138807100078416,0,0,0,0,0,0,0,0.406752688208132,0.207281177007422,0,0,0,0,0,0.0247721114415714,0,0,0,-0.028863728078556,0,-0.370426817103525,0,0,0,-0.148942664919818,0,0,0.0886050387641448,0,0,0,0,0,0.428589180682976,0,0,0,-2.05061190639485,0,0
TED,0,0,0,0,0,0,0,0,0,0.17323002480014,0.0423452267092904,0,0,0,0,0,0,0,0,0,0,-0.174170878838664,0,0,0,0,0,0.0726070212605824,0,0,0,0,0,0,0,0,0,0,0,0.224267694555774,0,0,0,-1.38777878078145e-17,-0.142595987103456,0,0,0,0.210349318516007,0,0,0.33946334141229,0,0,0,0,1.25194923198914,0,0
RealEstate_excess,0,0,0,0,-0.102126864962441,0,0,0,0,0,0.0105884075664446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048478814938307,0.00585060327623608,0,0.172839640593233,-0.146238687668325,0,0,0,0,-0.114661501629716,0.0165251656301027,0,0,0,0.0417104840558722,0,0.187556127230247,0,0,0,0
MKreturn,0,0,0,0,0,0,0,-0.205396340258895,0,0,0,0,0,0,0,0,0,0,0.0423328478191458,0,0,0,0.0276833105212875,0,0,0,0,-0.0258388280710287,0.0222357601589322,0,0,0,0,0.0949708722918423,0,0,0,0,0.0349634771464573,-0.107514329684179,0,0.122544810924181,0,0,0,0,0,0,0,0.0400005161627583,0,0,0.0220119259700059,0.552103532503561,0,0,0,0.018974007591132,0
MKvol,0,0,0,0,0,0,0,0,0,0.000162605502776189,0.000444140734844958,0,0,0,0,0.00247380925471341,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.00241989229102218,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0.00453323877462979,0,0,0,0,0,0,0.000347719686165563,0,0,0,0,-0.0585634775971403,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,-0.00282347194986999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00162496166789585,0,0,0,0,0,0,0,0,0,0,-0.00308651437632241,0,0,0,-0.00470009732111875,0,0,-0.0716328754664628,0.085909972890045,0,0,0,0,-0.851772401219432,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169402707876287,0,-0.00778242334250869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00878119994582236,0,0,0,0,0,0,0.00974885464092907,0,0,0,0,-0.178050201692913,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0168201336401146,0.015878585792587,-0.0163073231081877,0,0,0.00711320171134347,0,0.00691301169173713,0,0,-0.0273639875269245,0.00714406435848497,-0.00685146276228045,0.0101538350700714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113938641246176,-0.00681573713642949,0.0350674955674574,0,0,0,0.106738042857265,0,0
