,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X002271.SZ,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600176.SH,X600886.SH,X600011.SH,X600219.SH,X000786.SZ,X000723.SZ,X000408.SZ,X000825.SZ,X000932.SZ,X600399.SH,X601991.SH,X000831.SZ,X000959.SZ,X002080.SZ,X600795.SH,X600803.SH,X300037.SZ,X000807.SZ,X000898.SZ,X002409.SZ,X601699.SH,X600352.SH,X002407.SZ,X000027.SZ,X002145.SZ,X600549.SH,X600486.SH,X600489.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600426.SH,0,0,0,0.151739271030659,0,0,0,0,-0.0974096998610326,-0.061746590263317,0,0,0.167462199288465,0,0,0,0.0169573274649861,0,0.30954495648891,0,0,0,0,0,0,0.0466282036934693,0.0397960677963081,0.0181120679150384,0,0,0.161288423915076,0,-0.0737560640502039,0,0,0,0,0,0,0,0,0,0,0,0,0.177110758004841,0,0,0,0,0,0,-0.0422042576628822,0,0,0,-0.12855976147048,0,0
X600176.SH,0,0,0,0,-0.0450030799357456,0,0,0,0,0,0.052782712916303,0.129556468699846,0,0,0.103978604520494,0,0,0,0,0,0,0,0.0109471900888999,0,0,0.07553759146333,0,-0.012863636310243,0,0,0,0,0,0.0791772732347489,0.0117911505420624,0,0,0,0,0.0845323706801416,0,0,0,0,0,0,0,0,0,0,0,-0.0638943674226419,0,0,0,0,0,0,0
X600886.SH,0,0,0,0.0896110619903237,0,0,0.0789320674257489,0,0,0,0.130837113284966,0,0.0777419932903435,0,0,0,0.0271673553752064,0.0326217961562891,0,0,0,0.199068874214128,0,0,0,0,-0.0997243765738216,0,0,0,0,0,0,0.00893377742569758,0,0,0,-0.0322228973616375,0,0,0,0,0,0,0,0,-0.269565892363391,0,0,0,0,0.0173526622824682,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.000914232854808465,0,0,0,-0.120595652327596,0,0,0,0,0.0952871866313245,0,-0.0337421421627958,0,0,0,0,0,0,0,0,0,0,0,0,-0.0930484985892215,0,-0.0015411417649953,0,0.0654300903630147,0,0,0,0,0,-0.0124272943794743,0,0,-0.0284820866676446,0.0989052235144072,0,0,0,0.00866195686858924,-1.73472347597681e-18,0,-0.00761609478221891,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.0396585741017422,-0.0584887298226294,-0.0345610663184439,0,0.129431453326212,0,0.393245482497743,0,0,0,0,0,0,0,0,0,0,0,0.0814914463733274,0,0,0,0,0,0,0,0,0,0,0.117832866715564,-0.0541148654163101,3.94546144907475e-05,0,0,0,0,0,0,0,-0.0974733029231068,0,0,0,-0.0588848525116686,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0.183801530027008,0.0861458991912508,0,0,0,0.155648551085174,0.0392151062210237,0.176627785463418,0,0,0,0,-0.198174313932577,-0.139775635439018,0,0,0,0,0,0,0,0.0671614472409218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249921286845581,0,0,0.246222851352889,0,0.0202045715574782,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0456145338387625,0.0965496519314966,0,0,0,0.0730033486369056,0,0,0,0,0,0,0,0,0.00724244488597941,0,0.0288929640779685,0.0517684342456444,0,0,0,0.375347045409468,0,0,0,0,0,0.0715856717159074,0,0,0,0,0,0,-0.110314785655418,0,0,0,0,0,0,0.0726335909110193,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0.167448379793349,0.35176468115318,0,0,0,0.231843125188856,-0.0681136658170809,0,0,0.0202100219460368,0,0,-0.0941653461712145,0,0,0,0,-0.298256477677727,0.112010030446083,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.00197474609434687,0,-0.104375535838057,0,-0.174564184180985,0,0.297011188326746,0,0,0,0,0.144657649828179,0,0,1.73472347597681e-18,0,0,0,0,-0.352828400536107,0,0
X000825.SZ,0,0,0,-0.209807811145489,0,0,0,0,0,0.0257429973223971,0,0,0,0.162470657785878,0,0.327323925494929,0.0434834286225451,0.124844654040207,0,0,0,0,0,0,0,0,0,-0.0405006341748365,0,0,0,0,0,0,0,0,0,0,0,0.33703557510643,0,0,0,0.0291982056148004,0,0,0,0,0,-0.0518077622226529,0,0,-0.031867699720127,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240369018404656,0.0321174376675833,0.17166210597582,0,0.169581081386501,0,0,0,0,0,0,0,0,0,0,0.19842426931219,0,-0.03750503533988,0,0,0,0,0,-0.227704677564736,0,0.00471304554540787,0.251239730145277,0,0,0,0.108163110301058,-0.0924186164212402,0,0,0,0,0,0,-0.0727864378196288,0,0,0,0,-0.0352981128323017,0,0
