,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X600688.SH,X600795.SH,X600188.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600886.SH,X600309.SH,X600660.SH,X600489.SH,X000723.SZ,X600623.SH,X000792.SZ,X600299.SH,X002466.SZ,X601158.SH,X000959.SZ,X000898.SZ,X002075.SZ,X000983.SZ,X000709.SZ,X000408.SZ,X600583.SH,X000883.SZ,X000630.SZ,X600352.SH,X600549.SH,X000012.SZ,X000937.SZ,X601699.SH,X000060.SZ,X000539.SZ,X000027.SZ,X002092.SZ,X600176.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0.0671614879210296,0,0,0,0,0,0,0,0.157123845479227,0.119760646425256,0,0,0,0,0,0,0,0,0.117646314250342,0.0077597472475343,0,0.0329656378988591,0,0,0,0,0,0,0,0,0,0.131577642130855,0,0,0,0,0.0399263631965684,0,0,0,0.117208111516422,-0.0802567550626039,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0.0197256758692941,0,0,0,0,0.0289267917621284,0,0,0,0,0,0,0.0490091941135785,0.0632768928343117,0,0,0.0495057654097423,0.0738526050165477,0,0,0.0479887906016654,0,0,0,0,0,0,0,0,0.00946727801707726,0,0,0.0470590838814207,0,0,0.0404792278209805,0,0.0930247978884001,0,0,0.00327426603125065,0,0,0,0,0,0,0,0,0
X000630.SZ,0,0,0.236105011474972,0,0,0,0,0,0.160726761743362,0,0.248939051770443,0,0,0,-0.0767196638677795,0,0,0,0,0,0,0,0,0,0.164084876916415,0.072562903014739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111941087066629,0,0,0,0.0088713734963254,0,0,0,-0.0905233926210569,-0.039166312881185,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543109318225289,0.0518040492033525,0.13893426157976,0,0,0,0.13232285370072,0,0,0,0.112911656778748,0,0,0,0,0,0,0,0,0.0175469128800608,0,0,0,0.0362155156966732,0,0,0,0,0.115368653913472,0.13618783699046,0.0169055357784321,0,0,0.0032815004801888,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0.307406728259462,0,0,0,0.177774844339268,0,0,0,0,0,0.610839011062748,0,0,0,0,0,0,0,0.202730392354807,0.0496203150116309,0,0.0148262231797958,0,0,0,0,0.0678177716048981,0,0,0,0,0,0,0,0.0495558701189817,3.46944695195361e-18,0,0,0.199602888052265,0,0,0,-0.0130633379673962,0,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0.299373587516801,-0.00391174459942919,0,0,0,0.221672628708409,0,0,0,0,0,0,0,0,0,0,0,-0.0738123627326733,0,0,0,0.02384178780112,0.0702186655646685,0,0,0,0,0,0.32121827007458,0,0,0,0,0,0,-0.243249321260309,-0.0977894514667508,0,0,0,0.260060685567391,0.246912564703625,-0.446210457524796,-0.142583120252649,-0.0250922643182583,0,0,0,0,0,0
X000937.SZ,0,0,0.203721260289882,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,-0.00688792416931491,0,0,0,0,0,0,0,0,0,0,-0.0546913684956381,-0.0965990681681247,0,0,0,0,0,0,0.430382362277254,0,0,0.157776343333903,0,0,0,0,0,0,0.385024400047257,0,0,-0.10459959933107,0,0,0,0,0,-0.00456711415970957,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.0768492325405358,0.0343762088120387,0,0,-0.0361178466827329,0,0,0,0,0.0835262488904481,-0.0537380765816873,0,0,0,0,0,0,0.0522894943662752,0,0,0,0,0,-0.151821475538759,0,0,0,0,0,0.280378351052046,0.120496172388457,0,0,0,0,0,0.133801420961422,0,0.492135288299503,0,-3.46944695195361e-18,0,0,-0.0378972609614911,0,0,0,-0.0339855029407856,0,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0.171813000578857,0.0432490071160952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012179636140149,0,0,0,0,0,0,0.0746105020200044,0.145573778713883,0,0,0.0173711676135335,0,0,0,0.0963599751122919,0,0.138290615439681,0,0,0.213598417697934,0,0,0,0,0.243848096976513,0,0,-0.0389994857242495,0.00289269380570026,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0.01846951607093,0,0,0,0,-0.0153212423704335,0,0,0,0,0.0212723689815558,0,0.0608010386071292,0,0,0,0.0159590798805807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305874445931533,0,0,0.0253560686613027,0,0.105907185450283,0,0.0186904721011403,0,0,0,0,-0.0281570079794261,0,0,0,0,0,0,0
