,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X601898.SH,X600010.SH,X601600.SH,X601991.SH,X600795.SH,X600188.SH,X600886.SH,X600362.SH,X600111.SH,X600688.SH,X600027.SH,X601992.SH,X600583.SH,X600309.SH,X000709.SZ,X000898.SZ,X600157.SH,X600352.SH,X601158.SH,X000792.SZ,X600660.SH,X000027.SZ,X600808.SH,X000629.SZ,X600547.SH,X000539.SZ,X600489.SH,X002353.SZ,X600008.SH,X600021.SH,X000060.SZ,X000825.SZ,X002470.SZ,X000831.SZ,X600307.SH,X600219.SH,X000630.SZ,X600549.SH,X600315.SH,X600578.SH,X601699.SH,X000959.SZ,X002004.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600307.SH,0,0,0,0,0.158632911494236,0,0,0,0,0,0,0.0946926663163958,0,0,0,0,0,0,0,0.0134092847871989,0.295327060830367,0.0936324451272197,0,-0.0274020620878797,0,0,0.0323578521421734,0,0.0513895313408581,0,0,0,0,0,0.182095823590919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114012419944559,0.0108161507389968,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.0150117927129956,0,0,0,0.249512619204574,0,0,0,0,0,0,0,0,0,0.260111875072957,0,0,0,0,-3.46944695195361e-18,0,0.0496103338898226,0,0,0,0,0,0.046688060537503,0,0,0,0,0,0,0,0.0934026867044412,0,0.129022080468234,0,-6.93889390390723e-18,0,0,0,0.0224551353931853,0.0689858460161669,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0.174869224069059,0,0.0792241878164199,0.085868150821035,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.117300873116869,0,0,0,0,0,-6.93889390390723e-18,0,-0.0170948593286073,0.167967082401078,0,0,0,0,-0.0225956920936274,0,0,0,0,0,0,0.0991507965462546,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0.0482713140502594,0,0,0,0,0,0,0,0,0,0,-0.0787382826228346,0,0.100974975311896,0,0,0,0.0633066547846629,0,0,0,0,0.0936425837639923,0,0,0,0,0,0,0,0,0,0,0,0.0779655163437398,0,0,0,0.232576221810569,0,0.0457827881649781,0.0781156745347481,0,-0.0427269624618871,0,0,0,0,0,0,0
X600315.SH,0,0,0,0,0,0,0,0,0,0,0,0.266218208297148,0,0,0,0,0.00974485075097645,0,0,0.0190411354559438,0,0,0,0,0,0,0.00603554804533395,0,0,0.0787518762666526,0,0,0,0,0,0,0,0,0,0,0,-0.0402678394410196,0,0,0,0,0,0,0,0,-0.00768716488379089,0.00077527857337058,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588257984429319,0.0697631925920237,0,0,0,0.0329421100433936,0,0,0,0.20315527679004,0.0235951474318432,0,0.210009904284387,0,0,0,0,0,0,0,0,0,0.0123790006846531,0,0,0,0,0,0,0,0,0,0.0172738715437726,0,0,0,0,0,0
X601699.SH,0,0,0.123842157589273,0,0,0,0.1056821499204,0.0759206821351315,0,0.0838399044192237,0,0.161879102409834,0,0,0,0,6.93889390390723e-18,0,0.0976043310214065,0.0395433061292333,0.00639944628032774,0,0,0,0,0,0,0.107217710780497,0.0696060663400953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0.0677600059537424,0.133996301220174,0,0.0712251806418276,0,0,0,0,0,0,0,0.100975783576183,0.0373491972079706,0.178356647652301,0,0,0.378109322528017,0,0,0,0,0,0,0,0.018740917894182,0,0,0,0,0,0,0,0,0,0,0.0419488388880499,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0
X002004.SZ,0,0,0,0,0,0,0,0,-0.164749933470554,0,0,0,0,0,0,0.0481494259893283,0,0.0723058408543688,0,0,0,0,0,-0.0304472517064818,0,0.0546715685723413,0,0,-0.0342639658849202,0,0,0,0,0,0.00828110688239054,0,0.0756893455923094,0,0.154124048012837,0,0,0,0,0.0225944792794077,-0.131531700425879,0,0,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0.0181713531486561,0,0,0,0,0,0,0,0,0,-0.0580400962332178,0.170438055249989,0,0,0,0,0,0,0,0,0,0,-0.0351389394292718,-0.0411245991864568,0,0,0.0233350641098501,0,-0.0424959027173597,0,0,-0.0507516304344038,0.0247671741397197,0,0,0.0200117784901838,0,0,0,0,0,0,0,-0.054801406076763,0,0,0,0,0,0,0
Slope,0,-0.120539710541263,0,0,-0.303768603384963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.192754290248178,-0.0625066162132471,0,0,0,0,0,0,0,-0.0750834415654077,0,0,0,0,0,0,0.305476087407473,0.108073326027589,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.199848611129656,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0.318854936287652,0,-0.209821000664157,0,0,-0.233254139123178,0,0,0,0,0,0,-0.413681002039791,0,0,0,0,0,0,0,0,0,0.28416751910033,0,0,0,0,0,0.364022277926493,0,0,0,0,0,0,0,0,0,0,0,0,-0.554746981460474,0,0.299979960869783,0,0,0,0,-1.23761765567331,0,0
RealEstate_excess,0,0,0,0,0,0,0,-0.197437962233979,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.00386484739573982,0,0.00197840543467284,0,0,0,0,0,0,0,0,0.118704342283284,0,0,0,0,0,0,0,0,0.132543593028028,-0.211569204945948,-4.33680868994202e-19,0,0,-0.195935870926762,0,-0.0136688220216814,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189925555946745,0,0,0,0,0,0.0577058535453317,-0.172244942949864,0.0224225002751244,0,0.0301283563862851,0,0,-0.0657807691640706,0,0,0,0,0,0,0,0,0,0,0.0432418696945295,0,-0.13084247400319,0,0,-0.143790480968062,0,0
MKvol,-0.0169111391707894,0,0,0,0.0132227176500916,0,0,0,0.000842874088447069,0,0.00929188006861113,0,0,0,0,0,0,0,0.0111057996625818,0,0,0,0,-0.00726353699199562,0.00948849624344589,0,0,0,0,-0.00209195892319837,-0.00377345340145893,0,0,0,0,-0.00592482618384464,0,0,0,0,0,0,0,0,0,0,0,0,-0.00451906257997275,0,-0.003885767333572,0.0191068165459419,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00749439509586536,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,-0.000476481886196635,0,0,0,0.0065472008628459,0,0,0,0,0,0,0,0,0,0,0,-0.0122053149606464,0.0180236865428831,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0.0268967727816579,0,0,0,0.00419833135802882,-0.00202014655759084,0,0.0118135107250524,0,0,-0.018639356823806,0,0,0,0,0,0,0,0,0,-0.0136712880936706,0,0,0,0,0,-0.00829002790509679,0,0,0,0.000540748488587441,0.00317478886475886,0,0.00902931989763089,0,0,0,0,0,0,0,0,-0.0174035933440165,-0.00521231702941863,0,0,0,0.18822533613375,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405304438545655,0.00211244827959404,0,-0.0184279529742706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143692735698645,0,0,0,0,0,0,0,0,0.0344379505710409,-0.00320627641157418,0,0.0141755016668074,0,0,0,0
