,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X601600.SH,X300072.SZ,X600688.SH,X600309.SH,X600547.SH,X600795.SH,X601991.SH,X600362.SH,X600188.SH,X600660.SH,X000709.SZ,X600027.SH,X002466.SZ,X600886.SH,X600157.SH,X600111.SH,X600489.SH,X600339.SH,X000959.SZ,X000898.SZ,X600299.SH,X601158.SH,X600008.SH,X000883.SZ,X600583.SH,X600578.SH,X600219.SH,X000408.SZ,X000792.SZ,X000630.SZ,X002460.SZ,X000539.SZ,X000983.SZ,X600352.SH,X000401.SZ,X000786.SZ,X000027.SZ,X002092.SZ,X000723.SZ,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0.00496138147558428,0,0,0,0,0,0,0.180804809920952,0,0,-0.116919318717339,0.0919391668990529,0,0,0,0,0.137040457124267,0,0,0,0,0,0,0,0,0,0.037685878353655,0,0.116291274789542,0,0,0,0,0,0.00902745669751738,0,0,0,0,0.235013725077083,0,0,0.0375417138683218,0,0,0.0172067613936604,-0.0152441458766873,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.219239035310539,0,0.00449221491571763,0,0,0,0.00891452758593549,0,0,0,0,0,0,0,0,0,0,0,0.0711885471017644,0,-0.031024324179351,0,0,0,0,0,0,0,-0.0506426193526849,-0.128137810530661,-0.0876650897677441,0.0147891384934694,0,-0.0724860055362302,0,0,0,-0.0273157927697384,0.0195303669668883,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0.30464123610005,0,0,0,0,0,-0.334529659231102,0.208739141981817,0,0,-0.270647372936036,0,0,0,0,0,0.053199615366258,0,0,0,0,0,0,0,0,-0.774999770298086,0,0.550281235752094,0,0,-1.03032091771918,0,0,0,0,0,0,0,0,0,0,0,-0.151891013634965,0,0,0,9.03197478721599,0,0
TED,0,0,0,0,0,0,0,1.02121918146493,0,0,0.727840580852971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322662164681292,1.01267812152121,0,-0.334082419175967,0,0,0.232146050749347,0,0,0,0,0,0,0,0,0,2.37128798154627,0,0,0,0,0,-0.0725696642104769,0,0,0.658877423854875,0,0,0,0,0,-14.6716995861787,0
RealEstate_excess,0,0,0,0.0412315676353579,0,-3.46944695195361e-18,0,0,-0.117258647682631,0,-0.154826266509277,0,0,-0.146172325143005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09771172039977,0,0,0,0,0,-0.0374856347177044,0,-0.0864897050060894,0,0,0,0,0,0,0,0.0928204226725156,0,0,-0.00512625635797598,0.0256351745484948,0,0,0,0,0,0
MKreturn,0,-0.064486898063336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385945695571658,0,0,0,0,0,0,0,-0.02708962392112,0,0,-0.0188713130903422,0,0,0,0,0,0,0,0,-0.0351141603820172,0,-0.00154890384248715,0,0.00481801519556701,0,0,0,-0.0236598074719895,-0.0710258899430342,0,0.00761566745099313,-0.000485179214268366,0,0,0,0,0,0
MKvol,0,0,-0.00167417863332669,0,0,0,0,0,0,0,-0.000139560637961577,0,0,0,0,0,0,0,-0.000958864532980087,0.00136360988198996,0,0,0,0,0,-0.00220444715448726,0,-0.000304196802714578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00331382432199386,-0.00070411958283347,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,-0.00269359472130524,0,-0.018856441849788,0,0,-0.0328472707614958,0,0,0,0,0.0501984303375913,0,0,0,0.010685377025784,0,0,0,0,0,0,0,0.0283583136427244,0,0,0,0,0,0,0,0,0,0,0,0,0.0499432262086403,0,0,0,0,0,0,0,0,0,0.0549935698065433,-0.00118539754468146,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,-0.0112240262879156,0,0,0,0,-0.0210559455486064,0,-0.0147081290019831,0,0,0.0305312174937105,0,0,-0.0109097231013009,0,0,0,0,0,0,0,0,0.00334869469708983,0,0,0,0.0171255353006813,0,0.0306205463503757,0,0,0,0,0,0,0,0,0,0.0123049582608325,0,0,0,0,0,0,0.0483668116804817,-0.00845534572477964,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0.018414496667897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00914368809815192,0,-0.020847639720144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188498414696585,0.00685318994947532,0,0,0,0,0,0
