,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600795.SH,X600547.SH,X601600.SH,X600188.SH,X300072.SZ,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600111.SH,X600886.SH,X601992.SH,X600489.SH,X600309.SH,X600660.SH,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X601158.SH,X000898.SZ,X000709.SZ,X000723.SZ,X600352.SH,X000408.SZ,X600583.SH,X000883.SZ,X000959.SZ,X000983.SZ,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X600021.SH,X600126.SH,X000012.SZ,X600098.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.102822264197928,0,0,0,0,0,0,0,0.0970071021014068,-0.0544611793993763,0.0278925920668448,0,0,0,0,0,0,0,0.280084671435389,0,0,0,0,0,0,0.206720780096256,0.0815706208623187,0,0,0,0,0,0,0,0.0287397154759751,0.149333760011223,-0.00945274041852906,0,0,-0.0606844285431393,-0.112646485240375,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,-0.0274106880746923,0,0,0,0,0,0,0,0,0,0,0,0,0.174176896092536,0,0,0,0,0,0,0,0,0.0114300783977114,-8.16588629968563e-05,-0.187844305971297,0,0,0,0,0,0,0,0.107860781912307,0,0.105346618496543,0,0.0639713804882423,0,0,0,0,0.00965446836143289,0,-0.344771227425102,0.121345306527935,0,-0.0210376807049645,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0172149314399018,0,0,0.482343243992189,0,0,0,0,0,0.0666767055769597,0.108419372718408,0,0.0850026802759731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261566999647314,0,0.111470143862528,0,0,0,0,0,0,0,0.138945012168927,0,-0.0033245524882743,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,-0.227511688602426,0,0,0,0,-0.0510884817732371,0,0,0,0,0,0,0,0,0,0,-0.163682084980965,0,0,0,0,0.312905622823961,0,0,0,0.107372310150818,0,0,0,0,-0.0700940912536408,0,0,0,-0.0107637469919029,0,0,0,0,0,0,0,0,0,0.191164089607451,0,-0.0737328901613352,0,0.306817094139694,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.153076300907913,0,0,0.132806253724571,0.203890120672102,0,0,0.0477570614200721,0,0,0,0,0.070559525081399,0,6.93889390390723e-18,0,0.141898103641641,0,0,0,0,0,0,0,0,0,0,-0.025456985900454,0.00149909278031504,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0.0203020177657875,0,0,0.0416968909549366,0,0,0,0,0,0,0,0,0,0,0,0.0871245535550933,0.0169532713809192,0.0200235151534914,0.0609001464577547,0,0,0,0,0.0228381956506817,0.0486365457718754,0,0,0,0,0,0,0,0,0,0.0132618785111153,0,0,0.0510381078602627,0,0,0,0,0,0.0346090939171798,0,0,-0.0324308763994045,-0.00705762289799392,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.147119801341827,0,-0.05014840183832,0,0,0.329908444002311,0,0,0,0.189061390395485,0,0,0,0.315630335293321,0,0,0,0,0,0,0.0524460842557123,0,0,0,0,0,0,0.322959849759333,0,-0.0137233439419142,-0.00972032313613091,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.681033092172358,-0.0278923675177846,0,0,0,0,0,0,0,0,0,0.0988001795718638,-0.023190822948377,0.0733663318427569,0,0.0651381111559894,0.0874054514468482,0,0,0,0,0,-0.0338044020073722,0,0,0.0512969621924139,0,0,0,0,0,0.0594524928648039,0,0,0.103398717435809,0,0,0,0,-0.0225923972492532,0.0297576343858897,-0.0873127901609245,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.239360885774282,-0.0416285198250876,0,0,0,0,0.613995567418911,0,0.098538310731276,0.0745309607292146,0,0,0,0.158569849091308,0,0.0717033698437525,0.0705551642374903,0,0.245843945501805,0,0,0,0,-0.029513542747808,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.237664690064184,0.435755156687957,0,0,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0.0449683186074874,0,0,0,0,0,0,-0.0209335798258373,0,0,0,0,0,0,0.0377500589772293,0.001942071780724,0.0445964373171542,0.115497386255849,0,0.0392364527763187,0,0,0.0188662564340921,0,0.032292774439354,0,0,0,0,0,0,0,0,0,0.027431635521706,0,0,0.0482063729449415,0.0949813836660937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
