,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X002271.SZ,X600011.SH,X600660.SH,X000877.SZ,X600188.SH,X002466.SZ,X000708.SZ,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X000301.SZ,X600362.SH,X600886.SH,X600176.SH,X600426.SH,X000723.SZ,X000786.SZ,X600219.SH,X600803.SH,X601991.SH,X600795.SH,X002080.SZ,X000408.SZ,X600027.SH,X000807.SZ,X600688.SH,X002353.SZ,X000825.SZ,X600352.SH,X300073.SZ,X601699.SH,X600801.SH,X300037.SZ,X600489.SH,X000959.SZ,X000630.SZ,X000932.SZ,X000983.SZ,X600486.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600352.SH,0,0,0,0,0,0,0,0,-0.0843081475615045,0,0,-0.000778350626518014,0,0,0,0.100206096565126,-0.0354016059257277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173025716823983,0.0371622320361512,0,0.0801555308686494,0,0,0,0.0206030928548655,0,0,0,0.0358699843115892,0,0.0340990354813807,0,0,0,-0.00588204557276097,0,0,0,0,0,0,0
X300073.SZ,0,0,0,0,-0.0710941608939232,0.173869845615824,0,0,0,0,0,0,0,0,0.0194973684426736,0,0,0,0,0,0.124916962445175,0,0,0,0,0.0833374524642878,0,0,0,0,0,0,0,-0.213659851776929,0,0.0840486526209626,0,0,0,0,0,0,0.517032566999871,0,0,0,-0.0507113533841227,0,0,0,0,0,-0.0110439199476741,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0.0433462171752457,0,0,0.00228715048184212,0,0,0,0,0,0,0.0690995506092789,0,0.140625399728679,0.0702522591852798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0601657766327564,0,0,0,0,0.0341160035760663,0.0390622634806613,0,0.591939385420441,0,0,0,0,0,0,0,0,-0.0466066821482711,0,0
X600801.SH,0,0,0,0,0.625827077907228,0,0,0,0,0,0,0,0.0740611431265241,0.0831916108571804,0,0.053325663603584,0.0607208083778947,0,0,0,0,0,0.032876865651353,0,0,0,0,0,0,0,0,0,0,-0.213685577261855,0,0,0,0,0,0,0.0716092970054272,0,0,0,0,0,0.0617038407710289,0,0,0,0,-0.0471540990862834,0,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0,0.101139096324306,-0.0254903286796891,0,-0.0664295543100162,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0629012626079524,0,-0.153563151878556,0,0,0,0,0.149039739819923,0,0,0,0,-0.112034228292137,0,0,0,0,-0.0870100473492262,0,0,0,0,0,-0.00137060597652354,0,0,0,0.0014535297467121,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,-0.112628319191681,0,0.00509123764220341,0,0,0,0,0,0.132489971350269,0,0,0,0,-0.0132054747152474,0,-0.0121745417148229,0,0,0.0245519124378755,0,-0.0915250999815639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132392572773202,0,0,0,0,0,-0.018438633616295,0,0,0,0,-0.0441224342751924,0,0
X000959.SZ,0,0,0,0,0,-0.0576363919041418,0.466862185455786,0,0.0447815639159099,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328937165840747,-0.210468956746468,0,3.46944695195361e-18,0,0.197370107401622,0,0,0,0,0,0.00446153509229757,0,0,0,0.247995383768781,0,0.0403074544720289,0,0,0.214796317168907,0,0,0,0,0,0,0,0,0.00708365286558248,0,0,0,0,0,0,0
X000630.SZ,0.0834946635408724,0,0,0,0,0,0,0,-0.0188674273219501,-0.0366114034459747,0,0,0,0,0.0273560386539645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797112167091845,0,0.0836769622594799,0.108154924442098,0,0,0,0,0,0.194392845644552,0,0,0,0,0,0.303206579573141,0,0,0,-0.0264926539557112,0,0,0,0,0.00208575373787307,0,0
X000932.SZ,0,0,0,0,0,0,0.235822891525469,0,0,0,0,0,0,0.00651849356288981,0,0,0,0.073799938295603,0,0,0,0,0,0,0,0,0.0462749964541256,0,0,0,0,0,0,0,0,-0.0323668344188987,0,0.204351202064109,0,0,0,0.111134906063292,0,0,0.0761155858975971,0,0,0,0,0,0,-0.00348023898100562,0,0,0,0,-0.0159402299132848,0,0
X000983.SZ,0,0,0.122181372577988,0,0,0,0,0,0,0,0.102618926909878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827835331273903,0,0.0937206377965363,0,0,0.466348433296509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175457180869594,0,0
