,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X601992.SH,X600795.SH,X600688.SH,X002460.SZ,X600362.SH,X600188.SH,X600111.SH,X600516.SH,X600547.SH,X601991.SH,X300072.SZ,X600660.SH,X000898.SZ,X000709.SZ,X600886.SH,X600157.SH,X600027.SH,X600339.SH,X600489.SH,X600808.SH,X000408.SZ,X000959.SZ,X000723.SZ,X600549.SH,X600219.SH,X000983.SZ,X000792.SZ,X002092.SZ,X600352.SH,X000553.SZ,X601699.SH,X601158.SH,X000807.SZ,X000883.SZ,X000630.SZ,X600299.SH,X600008.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002092.SZ,0,0,0,0,0,0,0,0.0311440217186335,0,0,0,0,0,0,0.230564300144451,0,0,-0.0911330253270238,0.27605098086969,0,0,0,0,0,0.231247671492738,0,0,0,0,0,0,0,0.144733190632735,0,0,0,0,0,0,0,0,0.410033228249818,0,-0.151300528443084,0,0,0,0,0,0,-0.053645423576003,0.0484004334714718,0,0,0,0,0,0
X600352.SH,0,0,0.0115114734588318,0,0.0535378781742142,0,0,0,0,0,0,0,0,0,0.0199615510517894,0.266320400878796,0,0.00591562088882307,-0.0920089245031079,0,0,-0.0130532225394932,0,0,0.0514532067411741,0,0,0,0,0,0,0,0,0.0261560450563299,0,0,0,0.0881375909780721,0,0,0.137085273499172,0,0,-0.034010823706567,0,0,0,1.73472347597681e-18,0.0491272992231592,0,-0.0165294448657784,0,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0,0,-0.0154043811832901,0,0,-0.0736186874613766,0,0,0,0,0,0,0.0937382494446114,0,0,0,0,0,0,0.116658240880173,0,0,0,0,0,0,0,0,0,0,0,-0.0677037575733787,0,0.179000441053823,0,0,0,0,0,0,0,0.291710614733382,0,0,0,-0.0242241619062437,0.0650578267559544,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413524038996399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14935810637578,0,0,0.0754063959926012,0.0306266388180992,0,0.348812935504945,0,0.0599612264877544,0,-0.000114220481104996,0,0,0,0,0,0,-0.0404643358713359,-0.0176540497014092,0,-0.00436579095639587,-0.0108970351260279,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0.0360002137778192,0,0.0838917815389039,0,0,0,0,0,0,-0.0240987299475193,0,0,0,0,0,0.0240401596237119,0,0,0,0.0171373781878335,0.100003797778688,0,0,0,0,-0.0141926755780509,0,0,0,0,0,0.0501285897193522,0,0,0,0,0,0.0894227472675356,0.00831403175685056,0,0,-0.00172083907348547,0.00289335077010001,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0.181445532125091,0.850460549280926,0,0,0,0,0,0,0,0,0,0,-0.0197702103688857,0.0937611928681957,0,-0.0609889547523845,0,0,0,0,0,0,0,0,0,-0.0189255439142292,0,0,0,0,0,0,0,-0.0761961762450572,-0.0938454570465691,0,0,0,0,0,0,0.108136379498514,-0.0372973493819195,0,0,-0.0249930674337932,-0.0222751988401755,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0.0536409245380537,0,0,0,0,0,0,0,0,0,0,0,0,0.0794110751331413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160306598664023,0,0,0,0,0,0,0,0.186555563009598,0,0.0126633933358104,0,-0.012271018748502,0.00433996795684177,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0.0234226198040757,0,0,0,0,0,0,0,0.374305875906918,0,0.0395536065331887,0.00663105027940727,0,0,0,0,0,0,0,0,0,0,0,0.0946356332341167,0,0,0,0.0667779868398092,0,0.0411905965391252,0.0206064454576983,0,0,0,0,0,0,0,0,0,0,0.036293402611103,0,-0.0029621504318522,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,-0.147967576745607,0,0,0,0,0.102147452653827,0,0,0,0,0,0.00647779586129333,0,0,0.193872140774596,0,0,0,0.0460600961434284,0,0,0,0,0,0.059946166103208,0,0.0290224323482852,0,0,0,0,0.156364801156131,0,0,0.325193580479122,0,0,0,0,0,0,0.141970027040131,0,0,-0.0138220663642705,0,0,0,0,0,0,0
X600008.SH,0,0,0,0.00529050590972368,0,0,0,0,0,0,0.0645604195494197,0.307239367054549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683315691346632,0,0,0,0,0,0,0,0.000421000518550481,0.0648736463751283,0,0,0,0,0,0.0394093458137164,0,0,0.319994984686389,0,0.121279597255769,0,-0.00497773173499912,0.0211709551928185,0,0,0,0,0,0
