,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X601600.SH,X300072.SZ,X600547.SH,X601991.SH,X600157.SH,X600027.SH,X600362.SH,X601992.SH,X600309.SH,X600886.SH,X600111.SH,X600660.SH,X600489.SH,X600623.SH,X601158.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X000723.SZ,X000709.SZ,X000408.SZ,X000898.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600352.SH,X600758.SH,X000959.SZ,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X600126.SH,X000630.SZ,X600021.SH,X002470.SZ,X601699.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0698932873828963,0,0,0,0,0,0,0.0395971872317935,0,0,0,0,0,0.152923438182266,-0.0328181997059682,0,0,0,0,0,0.281876929226526,0,0,-0.0256797626446537,0,-1.73472347597681e-18,0,-0.121879752406197,0,0,0,0,0.0657726089425549,0,0.285446092411686,0,0,0,0,0.0317364129813053,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0394151365724444,0,0,0,0,0,0,0.133192862290266,0,0,0.0414514768261655,0,0,0,0,0,0,0.190136485842141,0,0,0,0,0,0,0,0,0,0,0.116829400946869,0,0,0.137315052954226,0,0,0,0.0615725618467847,0.0272529860169236,0,0,-0.0622828105148552,0,0.0399118780011751,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,-0.379688323266365,0,0,0.253905566543818,0,0,0.0557696436303168,0,0,0,0,0,0,0,0,0.106309625135763,0,0.0548834041002037,0.293124558891332,0,0,0,0,0.0302900785491195,0,0,0,0,0,0,0,0,0,0.00323647297712905,0,0,0,-0.0816902387621375,0.0549879420386329,0,0,0,0,0,0,0.0181791754388184,0.0748320840468015,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675052438042188,0,0,0,0,0.0222523335421038,0,0,0.218253917822706,0,0,0.116203698047387,0,0,0.0488607278172802,0,0.0672744321105139,0,0,-0.0828912118861021,0,0,0,0,0,-2.16840434497101e-19,0,-0.0287092191288382,0.140614951740116,0.0341529235308313,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.191492272383435,0,0,0,0,-0.122293174291342,0,0,0,0,0,0,0,0,0,0,0,0.151782897985886,0.285627522985792,0,0,0,-0.0619467793946058,0,0.0203163106577326,0,0,0,0,0,0.0850590428707017,0.0970721024977824,0,0,0,0.104382835672978,0,0,0,0.241327107123426,6.93889390390723e-18,0.249169608518159,0,0.0560835842823895,0,0.0976815513732303,0,0,0,0,0
X002075.SZ,0,0,0,-0.594055572328707,0,0,0,0,0,0,0,0,-0.179798344192194,-0.00568608329490324,0,0,0,-0.0500652130052665,0,0,0,0,0,0,0,0.198249672270016,0,0,0.0917764134449462,0,0,0,-0.441100252250808,0,0,0.0517159741280755,0,0,0,0,-0.0218758609808743,0,0,0,0,0,0.146402999009045,0,0,0,0,0,-0.0877085755876491,0,0,0,0.559456719619908,0,0
X000723.SZ,0,0,0,0,0,0,-0.199115455010161,0.0274720311994691,0,0,0,0,0,0,0,0.226952679863785,0,0,0,0,0,0,0,0,0.0237219770593924,0,-0.134635170794917,0,0,-0.0341627058057508,0,0,0,0,0,0,0,0,0.10816028972194,0,0.0364257464312932,0,0,0,0.0687138729062616,0,0,0,0,0.161942645489557,0,-0.0796170060825542,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,-0.0555175500034703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214387656895906,0,0,0,0,0,0,0,0,0,0.288557598042868,0,0.058469300667049,0,0,0.0767213039509196,0.201016800255764,0,0,0,0,0.10021893131,0,0,0,0.0743518108608732,0.16002230676349,0,-0.0364475511618719,-0.121516368326741,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0.0332735718743916,0,0,0,0,0,0,0,0,0,0,0,0.205821993409368,0,-0.126951496765752,0,0,0,0.308082341247572,0.00997945845754454,-0.097771432478323,0,0,0,0.146467631085967,-0.187782248822681,0,0,0,0,0,-0.0176052927567155,0,0,0,0.0905328894905533,0.0345476861061084,0,0,0,0,0,-0.0554538440521114,-0.0141618245299273,0.388279882829865,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.11596568041029,-0.0409904569737232,0,0,0,0.00236524788168986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269704331350199,0.158833945111949,0,0,0,0,0,0,0.0390367343777615,0.0468292820191917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256926241546202,0,0
