,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X600660.SH,X600795.SH,X300072.SZ,X600188.SH,X601992.SH,X600362.SH,X002466.SZ,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X000709.SZ,X600516.SH,X600157.SH,X600027.SH,X600176.SH,X000786.SZ,X000553.SZ,X600352.SH,X000792.SZ,X000408.SZ,X600808.SH,X600219.SH,X000959.SZ,X600489.SH,X601699.SH,X002271.SZ,X000983.SZ,X601158.SH,X600339.SH,X000723.SZ,X000883.SZ,X002092.SZ,X002470.SZ,X000630.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000553.SZ,0,0,-0.130428157683295,0,0,0,0.288467042195609,0,0,0,0,0,0,0,0,-0.192568374479264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163178075133861,0,0,0.00976243905872523,0,0,0,0,0,0,0,0,0,0.464014935133881,0,0,0.288388824185977,0,0,0.121050827803005,0,0.0128771892335773,0.00615811139296743,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155752733995358,0,0,0,0,-0.0499865771615059,0,0,0.23917704070874,0.0553911083539743,0,0,0.0860990808367188,0,0,0,0,0,0,0,0,0,0,0,0,0.0293975691932276,0,0,-0.0844060966995363,0,-0.010904929526958,-0.0346112431905462,0,0,0,0,0,0
X000792.SZ,0.178181066836563,0,0,0,0,0,0,0,0,0,0,0,0,-0.189935883061674,0,0,0,0,0,0,0.398969539391648,0,0.511045866749332,0.344594174320792,0,-0.0738501097913328,0,0,0,0,0,0.498857401644503,0,0,0,0,0,0,0,0.111671280633352,0,0,0,0.155784255639948,0,0,0,0,0,-1.02915599871579,0.0597740059715543,0,0,0,0,-0.610175738011011,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36379965265874,0,0,0.0969069240595736,0,0,0,0,0.285180185793162,0,0,0.0932283187746451,0,0,0,-0.0499594206964021,0,0,0.0628561848453232,0,0,0.189364736760076,0,0,0,0,0,0,0,0,0,0.0644101019849377,0,0,0,0,0.020030824932195,-0.0699957122043101,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272562960334621,0,0,0,0,0,0,0,0,0.626151208360252,0,0.0674748374001025,0,0,0,0.216609023117897,0,0,0.0335515658029408,0,0,0,0.0733742191477961,0,0,0,0.0419646810570385,0,0,0,0,0,0,0,0,0,-0.0318001787905419,-0.0122918409267517,0,0,0,0,0,0
X600219.SH,0,0,0,0.0608129398841028,-0.000885974193610855,0,0,-0.157658748930714,0,0,0,0,0,0,0,0,0.140865988449768,0,0,0,-0.117179756580442,0,0.0513580599228413,0,0,0.0943380297962334,0,0,0,0,0,0,0,0.118621313115661,0,0,-0.0777430986611827,0.0424296101388181,0.131234703676796,0,0,0,0,0,0,0,0,0,0,0,0,-0.00447932655856592,0,0,0,0,0,0
X000959.SZ,0,0,0,0.0377563782958097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173759289816674,0,0,0,0.100365507154455,0.153097650560903,0,0,0,0,0,0,0.0603519383799869,0.0716745531635622,0.10562031625704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0673276825204002,0.0655288279473745,0.0247616036863032,0,0,0,0,0
X600489.SH,0,0,0,0,-0.0257178166257717,0,0,-0.0153229771648846,0,0,0,0,0,0,0,0.0389081091351315,0.0547245118111011,0,0,0.183123547129627,-0.00705310712733364,0,0,0,0.0881070505500287,0,0,0,0,0,0.0587949612078211,0,0,0,0.133924273110286,0,0,0,0,0,0,0,0,0,0,0,-0.0206380859798059,0,0,0,-0.00469456462328368,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11012370917215,0,0,0,0,0,0,0,0,0.132938500556017,0.363208699920157,0,0,0,0,0,-0.0465557807040794,0,0,0,0,0.017326668699973,0.00550831756400518,0,0,0,0,0.431505149343402,0,-0.600045758821955,0,0,0,0,0,0,0,-0.00431182336922952,0.00607348484888389,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,-0.0816197248396407,0,0,0.0437460061032804,0.280140503920266,0,0,0.163037912898503,0,0,0,0,0,-0.154307369077193,0,0,-0.106833992456972,0,0,0,0,0.0865227619889842,0.0522155631877349,0,0,-0.0211415110968254,-0.201758432741196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0356627634657962,0.0717633776600231,0.408689766317761,0,0,0,0,0
