,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X600362.SH,X600352.SH,X600188.SH,X600795.SH,X600801.SH,X600111.SH,X000723.SZ,X601992.SH,X600027.SH,X000898.SZ,X600489.SH,X002271.SZ,X600176.SH,X600516.SH,X002460.SZ,X000709.SZ,X000786.SZ,X002466.SZ,X600299.SH,X000629.SZ,X601158.SH,X600219.SH,X000883.SZ,X600808.SH,X000553.SZ,X000401.SZ,X600985.SH,X000630.SZ,X000027.SZ,X601699.SH,X600426.SH,X600583.SH,X000825.SZ,X600339.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601158.SH,0,0,0,0,0,-0.0487208429054086,0,0,0,0,0,0,0,-0.066085550773186,0,0,0,0,0,0,-0.00882746503800326,0,0.0678629094702407,0.149317572590378,0,0.0063495432311554,0,0,0,0,0,0,0.053824264736842,0.0451698305294279,0,0,0,0,0,0,0,0,0.0632305277892585,0,0,0,0.2495711574271,0,0,0,0,0.00363233750554923,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.0947678282710245,0,0,0,0,0,0,0,0,0,0,0.0267528769347856,0,0,0,0,0,0,0,0,0.0226482512844678,0,0,0,0,0.117119510248998,0,0,0,0,0,0,0.234915468720914,0.0486742609356387,0,0,0,0,0,0,0,0,0,-0.0157498094676146,-0.0111576708247922,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0.0119467953484747,0,0,0,0,0,0,0,0,0,0,0,0,0.202262034747386,0.149049826963773,0,0,0,0,0,0,0,0,0,0,0,0.051317616690823,-0.0696917819637112,0,0,0,0,0,0,0,0,0,0,0,0.195781875464352,0,0,0,0,0,0,0,0,0,0.0267597303087473,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545545976331984,0.0797341668137923,0.0517538230661774,0,0.126693755363336,0,0,0,0,0,0.0751386345909023,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.446209330327921,0,0,0,0,-0.0248045946708109,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0.116801661337641,0,0.284085531662278,0,0,0,0,0,0.287530569151887,0,0,0.153730044947779,0,0,0,0,0.0188431932104839,0,0,0,0,0.26185397118517,0,0.240467080118393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015852828670369,-0.0558686289660692,0,0,0,-0.0813787419044534,0,0
X000401.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0466896252877883,0,0,0.503467185069981,0.121270477682457,0.0390592703510281,0.0824090577715919,0,0,0,0.131946805659606,0,0,0,0,0.268784706739756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236018613382605,0,0,0,0,0.083334942658673,0,0
X600985.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308663720231189,0,0.134915514570446,0,0,0,0.161871038934443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363665324643408,0.0242070900261474,0,0.229764489512118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644621191170744,0,0.364402852423314,0.25667425360027,0,0.0263476594792238,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467471761387022,0,0,0,0,0,0.0252758286631456,0,0,0,0,0,0,0.0835645344018102,0,0,0,0,0.0154038368277972,0,0,0,0,0,0.00823349089297893,0,0,0,0,0,0,0.123220133101436,0,0,0,0,0,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0.0282352919535268,0,0,0,0.0697426891829241,0,0,0,0,0,0,0,0,0,0.00310037446641253,0,0,0,0,0,0,0,0,0,0,0.0579841560851964,0.110946614362431,0,0,0,0,0,0.0238448694144334,0,0,0.00524236677989399,0,0,0.0364303232455569,0,0,-8.67361737988404e-19,0,0,0,-0.00387156886943621,0,0,0,0.00623898704256816,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00508876530527771,0,4.33680868994202e-19,0,0.218391944262523,0,0,0,0,0.0191124442665473,0,0,0,0,0.00271002294103187,0,0,0,0,0,0.0353559602558178,0,0,0,0,0,0.224842863147078,0.19955407030197,0,0,0,0,0,0,0,0,0,0.000854515333717758,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0.157517076494227,0,0,0,-0.0451318573207557,0,0,0.0566531431089141,0.511805566555235,0,0,0.066296977066903,0.0453632988717216,0,0,0,0,0.220817051804863,0,0,0,0,0,0,0.183688920877334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222244048972117,0.032677419376286,0,0,0,0,0.0706106771593699,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323122829742522,0,0,0,0,0,0,0,0.122461352869296,0,0,0,0,0,0.143522015571597,0,0,0,0,0,0.0225492338170292,0,0,0.0768058051267626,0,0,0.183168733311984,0,0,0,0,0,0,0,0,0,0,0.0230637425783103,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0227944282236109,0,0,0,0,0,0,0.0858131508979773,0,0,0,0.0911969631465653,0.188070407969776,0,0,0,0,0.0544067458174992,0,0,0,0,0,0,0,0.230673889948915,0,0,0,0,0,0,0,0,0,0.0585956828259672,0,0
X600339.SH,0,0,0,0,0,0.0509940434248933,0,0,0,0.0114876415636092,0,0,0,0,0,0,0.0534855264939567,0,0,0,0,0,0,0,0,0,0,0,0.0106020197417386,0.254674134326692,0,0,0,0,0,0,0,0.280761506246183,0,0,0.160223599308859,0,0,0,0,0,0.104349968182821,0,0,0,0,0.00478809846752923,0,0,0,0,0.0341408616590209,0,0
X600612.SH,0,0,0,0,0,0.299508771366719,0,0.194377938472135,0,0,0,0,0,0,0,0,-0.00119834995941924,0,0,0,0,0,0,0,0,0.227419212448916,0.0933890396314488,0,0,0,0,0,0,0.227496631252789,0,0,0,0,0,0,-0.0166471206768315,0,0,0,0,0,0,0,0,0,0.115603180468931,0.0180057025140651,0.0246642437153066,-0.199209628157609,0,0,0.0323807821370012,0,0
Change_TY3M,0,-0.15587960847067,0,0,0,0,0.0101790763563129,0,0,-0.361951215663335,0,0,0,0,0,0,0,0,0,0,0.155514408139602,-0.000164855869318614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149863304912171,0,0,0,-0.120768763280275,-0.0814814232787642,0,0,0,-0.159267848603916,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.889717783351152,0.23208478854391,0,0,0,0,0,0,0,0,0.349702663987455,0,0,0,0,-0.00747916811122571,0,0,0,0,0,0,-0.0829175518128044,0,0,0,0,0,0,0,0,0,0,1.19702029181786,0,0,0,-0.413263471788389,0,0
TED,0,0,0,0,0,0,0,-0.570887895891611,0.204074468280843,0,0,-0.29707680360582,0,0,0,0,0,0,0,0,0,-0.194089993165341,0,-0.220720790923,0.356254289514407,-0.100581523777691,0,0,-0.409754563620588,0,0,0.538079809499444,-0.024790201265933,0,0,0,0,0,0,0,0,0,0,0,0,0.163005845547799,1.38777878078145e-17,0,0,0.33587734941469,-0.0484260119739626,0.104171046830882,0,0,0,0,-0.241011945570701,0,0
RealEstate_excess,0,0,0,0,0,0,-0.0449084862236478,0,0,0,0,0,0,0.0216793706990958,0,0,0,0,0,0,0,-0.0404725695760071,0,0,0,0,0,0,0.0768146738496764,-0.180065393831738,0,0,0,0,0,0,0,0,0,0,0,0.0520111417000337,0,0,0,-0.0224465470200936,0,0,0,0,0,-0.0153980198764363,1.73472347597681e-18,0,0.262491585168381,0,0.0136831348149917,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,-0.0323516158852997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111634436830634,0,0,-3.46944695195361e-18,-0.062662820272552,0.297601392969367,0,0,0.0113497090604534,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00458224233811354,0,0,0,0,0,0,0,-0.000807662160982976,0,0,0,0,0.0026012526135462,0,0,0,0,0,0,-0.0044102750474456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00202475722849005,0.000353910189477507,0,0,0,-0.000903849324474715,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0775164182257478,0,-0.528886898248493,0,0,0,0,1.04429078022432,0,-0.194182331083658,0,0,0.444414331760425,0,0,0,0,0,-0.446711492517867,0,0,0,-0.886700184670968,0,0,0,0.49098122414963,0,0,0,0,0,-0.606121624139508,0,0,0,0,0,-1.71944392991753,0
CarbonVol_Guangdong,0,0,0,0,0,-0.00689741694925871,0,-0.00167625181576058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00659723882053775,0,0,0,0,0,0,-0.0192241017863765,0,0,0,0,0.0127740856684327,0.00216379835857939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00858776092652899,-0.00948118881666917,0,0,0,-0.0225842018158144,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00431319698296131,0,0
