,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X600660.SH,X002271.SZ,X000877.SZ,X600010.SH,X600011.SH,X000708.SZ,X600188.SH,X601600.SH,X000301.SZ,X600547.SH,X601898.SH,X600362.SH,X600886.SH,X600176.SH,X000723.SZ,X600426.SH,X000786.SZ,X600219.SH,X600803.SH,X002080.SZ,X601991.SH,X600795.SH,X000408.SZ,X600688.SH,X600027.SH,X300073.SZ,X300037.SZ,X000807.SZ,X002353.SZ,X600352.SH,X002326.SZ,X000825.SZ,X600489.SH,X600801.SH,X600516.SH,X000630.SZ,X600157.SH,X600486.SH,X600141.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601898.SH,0,0,0.147126855328454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341528666370921,0.0800389785721759,4.33680868994202e-19,0,0,0,-0.0778487584058654,0,0,0,0,0,0,0,-0.151690166965706,0,0,0.083671705921699,0,0,0,0,0.114165036659576,0,0,0.00765597566134995,0,0.0529704877233945,0.054346935357906,0.0999559101860473,0.110612359789775,0,0,0,0,-0.00177703386988529,0,0,0,0,-0.0359395101801157,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287169532212952,0,0.0407003189003684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585903233120574,0,0,0.111588414583857,0.252788905238477,0,0,0,-0.0225302437021747,0,-0.0101061559553566,0,0,0,0,-0.0216048493241615,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156651898725445,0,0.156855345632793,0,0,0,0,0,0,0,0,0,-0.0934703194263391,0.0763886653166752,0,-0.0175748174562249,0.314250095009598,0.175661236172134,0.0776855128456637,0,0.0408674560007546,0,0,0,0,0,0,0,0,0,0.131570650170682,0,0,0,0,0.0548869290916638,0,-0.00916343112462526,-8.67361737988404e-19,0,0,0,0,0,0
X600176.SH,0,0,0,0,0.147360918322473,0.118152033185128,0,0,0,0.0257373840588863,0,0,0,0,0.117641756592833,0,0,0,0,0,0,0,0,0,0.168607696240231,0,0.054295515504978,0,0,0.166893345793472,0,0,0,-0.00378986693043238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076785450527229,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17641626198164,0.321079693170161,0,0,0,0,0,0,0,0,0.227851865421136,0,0,0,0,0.116293059392162,0,-0.326567953439822,0,0,0.159715449282133,0,0,0,0,0,0,0,-0.0126392871879934,0,0,-0.138092869628055,0,0,0,0,0,0,0,0,0,0.0888441372240175,0,0
X600426.SH,0,0,0,0,0,0,0.0271572781761617,0,0.0845218643141364,0.0139513128888174,0,0,0,0,0,0,-0.0511909113074687,0,0.160287107869122,0,0,0,0,0,0.0531988983384442,0,0.154956810830874,0,0,0,0,0,0,0.159135465808478,-0.10797164297179,-0.018292512112354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00733858911476842,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0.323653483898948,0,0,0,0,0,0,0.438724171217205,0,0,0,0,0,0,0,0,0.137988981000816,0,0,0.228543424792931,0.0387177146925889,0.0519454367006663,0,0,0,0,0,0,0,0,-0.113447193843874,0,-0.141044137936264,0,0,0,-0.0689907609355504,0.00382977882479534,0,0,0,0,0,0,0,0,0,0,-0.0340327814712077,0,0,0,-2.16840434497101e-19,0,0
X600219.SH,0,0,0,0,0,0.0341973674600315,0,0,0,0,0,0.109476975920206,0,0,0,0.0293584083273606,0,0.432204688862027,0.0357097008308278,0,0,0,0,0,0,0,0,0,0,0,0,0.213052669134545,0,0,0,0,0,0,0,0,0,0,0,0,0.0361153245967947,0,0,0,0.0249640236341486,0.0522889883755357,0,0.0143629620523555,0,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,-0.0675412432905163,0,0,0,0,0,0,0,-0.121063623247799,0,0,0.0117034250319176,0,0,0,0,0,0,0.0379592694481643,0.0435199858971213,0,0,0,0,0.0828983656295167,0,0,0,0.0858243048803205,0,0,0,0,0,0,0,0,0,0,0.167662227149684,0,0,0,0,0.0895444074240741,0,0,0.00564793608835984,0,0,0,4.33680868994202e-19,0,0
X002080.SZ,0,0,0,0.0185490326392828,0,0.0956200763649588,0.0745765738034485,0,0,0,0,0,0,0,0.235709374822943,0.135687777840081,0.0407501654317762,0,0.187635793426803,0,0.27531963864302,0,0,0.0731627504455207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015839913909227,0,0,0,0.0735968888382069,0,0,0,0,0,0
