,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600352.SH,X600547.SH,X600660.SH,X601991.SH,X000723.SZ,X600886.SH,X600688.SH,X600188.SH,X600362.SH,X600795.SH,X600516.SH,X601992.SH,X600027.SH,X600801.SH,X000898.SZ,X600111.SH,X600176.SH,X600299.SH,X002466.SZ,X002460.SZ,X000709.SZ,X000990.SZ,X000786.SZ,X600219.SH,X000629.SZ,X000553.SZ,X002110.SZ,X600808.SH,X002271.SZ,X000825.SZ,X000883.SZ,X601158.SH,X600489.SH,X600583.SH,X600985.SH,X600157.SH,X000630.SZ,X600339.SH,X000301.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000630.SZ,0,0,0,0,0,0,0,0.167142095257747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0602244203557699,0,0,0,-0.0713928409589612,0,0.473225117866688,0,0.0426257032800764,0,0,0,0,0,0,0,0,0.000457066414969684,0.041613372698642,0,0,0.141719902960062,0,0,-0.0263687165892837,-0.042156616752123,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11829023587557,0,0,0,0,0,0,0,0,0,0,0,0,0.137009094781393,0.277153320757362,0,0,0.0815770661267882,0.0589241557628467,0,0,0,0,0,0,0,0,0,0,0,0,0.0443340401196751,0,0,0,0,0,-0.000615662968734834,0,0,0,0,-0.116196378503985,0,0
X000301.SZ,0,0,0,0,0,0,0,0.018602621815024,0,0,0.107769925977596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458809533321277,0,0,0,0,0,0,0,0.140371348638692,0,0.0636357388923431,0,0,0,0,0,0,0,0,0,0.0301072948883406,0.0725651917273334,0,0,0,0,-0.0155172004044342,0,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0.0882117059980143,0,0,0,-0.0604654486849625,0,0,0,0,0,0.205882243072559,0,0,0.0239259638856849,0,0,0,0,0,0,0,0.0225153098956904,0.0354839701502784,0,0.0220556168242214,0.206054084099684,0,0,0.314919818807215,0,0,0,0,0,0,-0.0231927891394566,0,0,0,0,0,0,0.0117516235552018,0,0,0,-0.0262789365145297,0,0
Change_TY3M,0,0,0,0,0,0.0948228138345139,0,0,0,0,0,0,0,0,0.000117086246571738,0,0,0,0,0.0792108861278516,0,0,-0.0443041099605051,0,0,0,0,0,0,0,0,0.0737436248304925,-0.244043486705177,0,-0.0719597458674091,0,0,0,-0.157287373247771,0,-0.308883506947984,0,0,0,0,0.0620120816281511,0,0,0,0,0,-0.0204859267897974,-0.261042335293673,0,0,0,0,0,0
Slope,0,0,0,0,0,-0.384214980356861,0,0,0,0,-0.312900822066852,-1.38777878078145e-17,0,0,-0.13119774256483,0,0,0,0,0,0,0,0,-0.00108286238536851,0,0,0,0,0,0,0,0.227997893977702,0,0,0,0,0,0,0,0,0,0,0,-0.0553468126958776,0,-0.218865747927605,0,0.0637651436991187,1.33309062200343,0,0,0,1.01841339977174,0,0.275916910288439,0,0.954629592335973,-3.11013925581374,0
TED,0,0,0,0,0,0,0.388896248007113,0,0,0,0.570592743080888,0,0,0,0,0,0,-0.0396049423435291,0,0,3.46944695195361e-18,0,0,-0.262185518417715,0,0,-0.32150887738194,0,0.0438458911948363,0.523897480842998,0,0.334808262333881,-0.378893255484699,0,0,0,0,0,0,0,0,0,0,0,0,0.320713929300025,0,0,0,0,-0.455063661550413,0.143378520258715,0,0,0,0,-0.253141437399355,0,0
RealEstate_excess,0,0,0,0,0,-0.101033470266483,-0.0745472554336619,0,0,0,0.0224029043684359,0,0,0,-0.00858682553696768,0,0,0,0,0,0,0,0,0.00981001521047043,0,0,0,0,0,0,0,0,-0.0811705027544152,0,0,0,0,0,0,0,0,0,-0.20643152531907,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0324706097589148,0.036659017689264,0,0,0,0.0015037642882079,0,0
MKreturn,0,0,0,0,0,-0.0123701566751834,-0.0718368658388695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.291718162642038,0.0350389718943502,0,0,-0.0524267812969232,0,0,0,0,0,0,0,0,-0.0227419596669459,0,0.0567497590841758,0,0,0.0387283443700336,0.02657839430598,0,0,0,0,-0.023410938185381,0.00998258411724082,0,0,0,-0.0152369455817417,0,0
MKvol,0,0,0.00256273981586284,0,0,0,0,0,0,0,0,0,-0.00357527839285127,0,0.00202840561778006,0,0,0,0,0,0.00193169084270504,0,0,0.00438544360366188,0,0,0,0,-0.00468960934120026,0,0,0.000466614176796623,0,0,0,0,0,0,0,0,0,0,0,-0.0045152166053383,-0.00117984490316868,-0.000888477595254835,0,0,0,0,0,-0.00113071513317288,0,0,0,0,0.0242318983428322,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0.0204141075463487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237901780283412,0.117076779916846,-0.0737364082626081,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00255515340368493,0,0,0,0,0,0,-0.00960453223914194,0,0,0,0,-0.00521318195975901,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0.00889390019075383,0,0,0,-0.00542602097487383,-0.00281491160873415,0,0,0,0,0,0,-0.00799960980003338,0,0,0,0,-0.00355728722983859,0.00178371858674487,0,0,0,0,0,0,-0.00920440750542604,0,0,0,0,0,0,0,0,0,-0.000424361682396982,0,0,0,0,0,0.000746465171944093,0,0,0,0,0,-0.0202938403504552,0
