,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600010.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X601992.SH,X600688.SH,X600583.SH,X601158.SH,X600547.SH,X000898.SZ,X600489.SH,X600352.SH,X000709.SZ,X000792.SZ,X002353.SZ,X000883.SZ,X000831.SZ,X000539.SZ,X000630.SZ,X000629.SZ,X600808.SH,X000027.SZ,X000825.SZ,X600660.SH,X600549.SH,X600008.SH,X600578.SH,X601699.SH,X000983.SZ,X600315.SH,X600863.SH,X600307.SH,X002470.SZ,X600098.SH,X000937.SZ,X600348.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000883.SZ,0,0,0,0,0,0,0,0.0245398749068467,0,0,-0.0744773467904954,-0.448937579981688,0,0,0,0,0,0.0520744764577456,0.0243861936548098,0,0,0,0,0,0,-0.0297394961670782,0,0,0,0,0,0,-0.138538711331086,0,0,0.21513325867083,0,0,0.0501214453195964,0,0.142160955636377,0,0,0,0,0,1.0842021724855e-19,0.10975401785259,0,0,0,0,0.00709212543079798,0,0,0,0,0,0
X000831.SZ,0,0,0,0,0,0.0563070753983258,0,0,0.135353651732558,0,0.0341713929887283,0,0.114688090018047,0,0.0951020095980516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848632267995922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.0087204031613384,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0.121326475581725,0,0,0,0,0,0,0,0,0,0,0,0.0412157591172988,0,0,0.0948822333045642,0,0,0,0,0,0,0,0.0403454358800165,0.11558236874211,0,0,0,0,0,0,0,0,0,0,0,0.120696559588709,0,0,0,0,0,-0.0463866476846937,0,0,0,0,0,0
X000630.SZ,0.083004692848837,0,0,0,0,0,0,0,0,0,0,0,0.226245460134308,0.535660334687275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197296539671594,0,0,0,0.0269537918965659,0,0,0,0,0,0,0,0,0,0,0.0458066944173502,0,0,-0.0349022847495477,0,0,0,0,-0.0121733065698746,0.0244726603022616,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0.0874494391546502,0.166304338617708,0.192674635466516,0,0,0,0.0139771429093803,0,0,0,0.00874508925436436,0,0,0,0,0,0,0.241391277411619,0,0,0,0,0,0,0,0,0,0,0.0292833861020965,0,0.0737670743467889,0,0,0,0,0,0,0,0,0,0,0,0,0.0141336385978938,0,0,0,0.0191552558884811,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0337753214570104,0,0,0,0,0.13737015648651,0,0,0,0,0,0,0,0,0.150056936162074,0.351976247152595,0,0,0,0.432024800566511,0,0,0,0,0,0,0,0,0,0,0,0.11658077621714,0.0182083044119021,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104260110371126,0.244372210093957,0,0.197009760379062,0,0,0,0,0,0.0117612366063501,0.134092043348102,0,0,0,0,0,0.0156917711143162,0,0,0,0,0.0275120989114559,0.203418908165718,0,0,0,0,0,0.0054937412114377,0,0,0,0.0396394016659778,0,0.0215986104143085,-0.00918206232565819,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0.309979358960633,0,0,0,-0.130282242197434,0,-6.93889390390723e-18,0,0.0688479739433044,0,0,0.165004775379851,0,0,0.0491852892803246,0.0500249782534016,0.0267838097997313,0,0,0,0,0,0.0791181201869308,0.11180193322412,0,0,0,0.121657908872594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00959217296965106,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.133133520820855,0,0,-0.0318495864896658,0,0,0.119555658587405,0,0.0126478322947216,0,0,0,0,0.12501320225494,0,0,0,0,0,0,0,0,0,0.0666926522162459,0,0,0.151185695455388,0,0,0,0,0,0,0.248653738372982,-8.67361737988404e-19,0,0,0,0,0,-0.0894199031311695,0,0,0,0,0,0,0.0031181083757498,-0.0053691866277248,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0,0,0.0316515862626715,0,0,0,0,0,0.00243672142217812,0,0,0,0,0,0,0.00797936239327328,0,0,0,0,0,0,0,0,0,0,0.127524052556028,0,0,0.0831355171887435,0,0.0022270352457776,0,0,0,0,0,0.126716745186452,0,0.108827107542125,0,0,-0.0447372651098625,-0.0119100345809917,0,0,0,0,0,0
X600008.SH,0,0.0064154776088487,0.0658962938352584,0,0,0.155213408473972,0,0,0,0,0,0,0.173347003549523,0,0,0,0,0,0,0,0.40488898508636,0,0,-0.0418146676920841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094347566287857,0,0,0,0,0,0,0,0,0,0,0,0,0.0161474741830532,0,0,0,0,0,0
X600578.SH,0,0,0,0.201654541046599,0,0,0.00230628743755896,0,0.0475150557335335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106947675749482,0,0,0.0587038887850232,0,0,0,0,0,0.0785157381852905,0,0.131541387559953,0.122436384242371,0.0267640357747279,0,0,0.0801396085206928,0,0,0,0,-6.93889390390723e-18,0,0,0.0557664671890624,0,0,0,0,0,-0.0290749734772288,0,0,0,0,0,0
X601699.SH,0,0.0206297869221249,0.026639038023235,0,0,0,0.168001564100879,0,0,0,0.0678301033529432,0,0.0786855569540031,0,0,0,0.00489783497787889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056270037668555,0,0,0,0,0,0,0.169290020747126,0,0,0,0,0.0478487885169658,0.206945160563946,0.0648271621520899,0,0,-0.0214151074290422,-0.00196643871089276,0,0,0,0,0,0
X000983.SZ,0,0,0.137411310715315,0,0,0,0.147810177219693,0,0.056956052312176,0,0,0,0.00998447847052198,0,0,0,0,0.0078733840365787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521184038777067,0.0182818918645554,0,0,0,0,0,0.407944762018243,0,0,1.73472347597681e-18,0.0413393862521335,0,0,0,0.0571137024704336,0,0,0,-0.000654241646022039,0,0,0,0,0,0
X600315.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227272051060865,0,0,0,0,0,0,0.0890196352199362,0,0,0,0,0.133782061498233,0,0,0,0,0,0,-0.00243808459944032,-0.0900983697889596,-0.114910971680388,0,0,0.114597322636111,0,0,0,0,0,0,0,0,0,0,0,0,0.0684675550924518,0.0304258007369645,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,0.410697834050794,0,0,0.258147029094861,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105379660824539,0,0,0,0,0.121973480856325,0,0,0,0,0.0416072684735106,0.0873516140596612,0,0,0,0.106780957895618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600307.SH,0,0,0,0,0,0.202095957587156,0,0,0,0,0,0,0,0,0,-0.044441364612743,0,0,0,0,0,0,0,0,0,0.504463897023484,0.063802046408474,0,0,0,0,-0.0162223135354861,0.13194909435181,0,0,0.141535951708218,0,0,-0.0577607503848375,0,0,-0.0339865961913789,0,0,0,0,0,0,0,0,0,0,0.0106548894100003,0,0,0,0,0,0
X002470.SZ,-0.0195953693576441,0,0,0,0,0,0,0,0,0,-0.128689207961685,0.0507543145054363,-0.0428350578808403,0,0,0,0,0,0,0,0,0,0,0.239201359203728,0,0,0,0.0153599082406511,0,0,-0.091632554982411,0,0,0.0755511946162971,0,0,0,0,0,0,0,0.115304745834678,0,0,0,0,0,0,0,0,0,-0.0393008572877512,-0.0209860633070414,0,0,0,0,0,0
