,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X002466.SZ,X600157.SH,X600886.SH,X600111.SH,X600362.SH,X600547.SH,X600188.SH,X601992.SH,X600660.SH,X600299.SH,X000792.SZ,X600309.SH,X601158.SH,X600489.SH,X600583.SH,X000709.SZ,X000883.SZ,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X002460.SZ,X002407.SZ,X000723.SZ,X000027.SZ,X002470.SZ,X000630.SZ,X600549.SH,X600021.SH,X600176.SH,X600098.SH,X002075.SZ,X000012.SZ,X000983.SZ,X000629.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601158.SH,0,0,0,0,0,0,0,0.0142561560315774,0,0,0,0,0,0.0270869242582092,0,0,0,0.0194274169567162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803291278232019,0,0,0.0307325036350514,0.0549908749547516,0,0,0.0866824367249301,0,0,-1.38777878078145e-17,0.223053520341231,0.0940665619915404,0.150116909546123,0,0.06511602928953,0,0,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153994240982998,0.048518793387291,0,0,0,0.583418885510111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190612533258954,0,0,0.0411582939367363,0.232638398933935,0,0,0,0,0.00410911075222187,0,0.0135088885782652,0,0.0188546359692436,0,0,0.0515132328018023,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0.186227219707334,0,0,0,0,0,0,0,0,0.0570753671337225,0,0,0.050986487097896,0,0,-6.93889390390723e-18,0,0.381851393237722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10952209267022,0,0.0283695304559849,0,0,1.73472347597681e-18,0,0.164249501721456,0,0,0.00526523754205373,0,0,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191292536244268,0,1.73472347597681e-18,0,0.158989286504873,0,0,0,0,0,0.0898991836999012,0,0,0,0,0,0,0,0,0.0291270249211976,0,0,0,0,0.0736410323129883,0,0,0,0.139053339364797,0,0,0,0,0.130536689229612,0,0.016312426791897,0,0,0,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458244795610619,0,0,0,0,0,0,0,0,0,0,0.0214405796323522,0.0440096747066801,0.0591075780162915,0,0.0743288711000863,0.387483902757526,0,0.0969284036152651,0,0.0158906049162144,0,0,0,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244411018945238,0.119665875568738,0.164776828877824,0,0,0,0,0,0,0,0.0567175623246066,0,0,0.34082773562656,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.0877753540700834,0,0,0,0,0.0196239415472011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0.0811678972632925,0.0365670356990044,0,0,0,0,0.0845433493637827,0.0265226190201186,0,0,0.267399906140856,0,0,0,0,0,0,0,0,0,0.0207539324699167,0,0,0,0,0,0,0,0.0264048548864818,0,0,0,0,0,0.0185681078208053,0,0.251971548510148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.35440746862396,0,0,0,0,0,0,0,0.0422525343321733,0,0,0,0,0,0,0.00391276919425269,0,0,0.215057721655787,0,0,0,0,0,0.0602019788692148,0,0,0.0594918099158716,0,0,0,0,0.0696433557283069,0,0,0,0,0,0,0,0,0.0565852073884158,0,0.0740795910375756,0,0,0,0.00705487534870769,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137016165857489,0,0,0,0,0,0,0,0.0150914706193085,0.104650863331402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246654352141825,0,0.11318595019594,0.259267626607552,0.0402092252174508,0,0,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466473290971857,-0.0421664291878124,0,0.0652712060300636,0,0,0,-0.0659999779298095,0,0,0,0,0,0.187743886334884,0,0,0,0,0,0,0,0,0.519306879374334,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-0.0712544360700512,0.0135836775929521,0,0.0378950045204573,0,0,0,0,0,0,0
X002407.SZ,0,0,0,0,0,-0.126571385962546,-0.0444709320865148,0.0335652495384405,0,0,0,0,0,0,0.250587580864485,0,0,0,0,-0.0524252604393633,0,0,0,0,0,0,0.128758071492697,0,0,0,0,0,-0.00652482083647518,0,0,0.563321100347156,0,0,0,0,0,0,0,8.67361737988404e-19,0.230847656625523,0,0,0,0,0,0,0,0.156277937232542,0,0,0,0,0,0
