,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600660.SH,X600688.SH,X600188.SH,X300072.SZ,X600795.SH,X002466.SZ,X601992.SH,X600362.SH,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X600516.SH,X000709.SZ,X600157.SH,X600176.SH,X600352.SH,X600027.SH,X000786.SZ,X000792.SZ,X000553.SZ,X000408.SZ,X600489.SH,X600219.SH,X600808.SH,X000959.SZ,X002271.SZ,X601158.SH,X000883.SZ,X002092.SZ,X600339.SH,X000723.SZ,X601699.SH,X600299.SH,X002110.SZ,X002470.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000553.SZ,0,0,-0.138792653241741,0,0,-0.0719709862207266,0.343832700812028,0,0,0,0,0,0,0,0,0,-0.227540788775948,0,0,0,0,0,0,0,0.0314577332667232,0,0,0,0,0,0.139833160074674,0,0,0,0,0,0,0,0,0,0,0.202504368920648,0.51124269646447,0,-0.0479495855560128,0.103288317120295,0,0,0,0,0,0.0183391370858875,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.162752819513176,0,0,0.201642882547865,0,0,0,0,0,0,0.463798041678573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180398945647926,-0.0699049495644666,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,-0.0141499331407163,0,0,0,0,0,0,0,0,0.0706625296452274,0.0667365525046181,0,0.16445310771974,0,0,0,0,-0.00171311622158233,0.109005882005989,0,0,0,0,0,0,0.0719266711188316,-0.00905767560812501,0,0,0.106706177616083,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00704815530427461,0,0,0,0,0,0,0
X600219.SH,0,0,0,0.278766585459926,0,0,0,-0.168341676279538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202121426582832,0,0.0975325516609483,0,0,0,0,0,0,0,0,0.100571587707304,0,0,0,0,0,0,0,0,0,0,0.0930099721955069,0,0,0,0,0,-0.0162464987734526,-0.00853763225522805,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.158498238106285,0,0,0,0,0,0,0,0,0,0,0.593159487515256,0,0,0,0,0,0,0.148957767109215,0.000801713006507558,0.0965435426443349,0.0768025679549129,0,0,0,0.270621706678328,0,0,0,0,0,0,0,0,0,0,0,0,0.0118238228127745,-0.0403283225777667,0,0,0,0,0,0
X000959.SZ,0,0,0,0,-0.00304387570453058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0293759621320348,0,1.73472347597681e-18,0,0.206671162778751,0.626878714232873,0,0,0,0,0.113663615024976,0,0,0.0538814365612158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0535248455532338,0.0723778037466257,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,-0.0575018781688088,0,0,0.200824446260884,0,0.219221139453157,0,0,0,0,0,0,0,-0.162055185573029,0,0,-0.200633651066353,0,0,0,0,0,0,0.15504259121055,0,0,-0.199215534015212,0,0,0,0,0,0,0,0.0630603114628236,0,0,0,0.201426533340307,0.0180834496903027,0,0,0,-0.0334164710723028,0.0630109138535157,0.530699111777138,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0.0890943243253005,0,0,0,0,0,0.0451377077211803,0,-0.00448945160515626,0,0,0,0,-0.000211520522621771,0,-4.33680868994202e-19,0,-0.0389702385284064,0,0,0,0,0,0,0,0.0173162028972727,0,0,-0.00411445945470914,0,0,0,0,0,0.0181942285864834,0.0819097414724572,0,0,0.097281866170531,0,0,0,0,0,0.0138622561590427,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019491991435018,0,0,0,0,0,0,0.0272310342383912,0,0,-0.0121653779382907,0,0,0.0552505313027566,0,0,0,0,0,0,0,0.0689480699666178,0,0,0,0,0,0,0,0,0.0214125749198059,-0.0147402440487627,0,0,0,0,0,0
X002092.SZ,0,0,0,0,0,0,0,0.220504746107406,0,0,0,0,0.191809336473275,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.153389547193134,0,0.115519100704347,0,0,0,0,0,0.0535055486404831,0,0.106692909109085,0,0,0,0.0282485656244961,0,0,0,0,0,0,0,0.142707874342247,0,0.194369415169021,0,0.00923105896075574,0,-0.0480370664982197,0.0427563517134433,0,0,0,0,0,0
