,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600019.SH,X600111.SH,X600011.SH,X600660.SH,X600010.SH,X002271.SZ,X000877.SZ,X000708.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600426.SH,X600176.SH,X600362.SH,X000629.SZ,X600803.SH,X000408.SZ,X601991.SH,X600348.SH,X600027.SH,X000983.SZ,X600096.SH,X000723.SZ,X600160.SH,X000786.SZ,X002080.SZ,X600219.SH,X300073.SZ,X601699.SH,X600141.SH,X002353.SZ,X600157.SH,X600549.SH,X600378.SH,X000933.SZ,X300037.SZ,X600295.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600157.SH,0,0,0,0,0,0,0,0,0.0299810876964816,0,0,0,0,0.0204194116738304,0,0.0337266285743033,0,0,0,0,0.0923678264720415,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0619027112923877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0027563298031009,0,0,0,0.00373727813078936,0,0
X600549.SH,0,0,0,0,0,0,0,0,-0.0645547811328381,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066796325058022,0,0,0.274211721854684,0,0,0,0,0,0,0,0,0.210743528117368,0,0.0194799223065587,0,0,0,0.180446714276154,0,0,0.0430563812869181,0,0,0,0.189273600277729,0,0,0,0,0,0
X600378.SH,0,0,0,0,0,0,0,0,0,0.0844933061062254,0,0,0.234792276385581,0,-0.0795918404043593,0,0,0,-0.0963414237817948,0,0,0,0,0,0,0,0.0912712249112428,0,0,0,0,0,0,0.00248112900349105,0,0,0,0,0,0,0,0,0.100954811664578,0,0.0317852698939154,0,0,0.0103249734020679,0,0,0,0.0110955179259288,0.017582095389185,0,0,0,0.00772936267785025,0,0
X000933.SZ,0,0.241820055018034,0,0,0.0727966878654668,0.0385442268055479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797142163574551,0,0,0,0,0,0,0.0275966389588493,0,0,0.0908145130719971,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.0110937747126008,0,0,0,-0.0120652702849595,0,0
X300037.SZ,0,0,0,0,0,0,0.149611030075145,0,0,0.0945415964456658,0,0,0,0,0,0.00253907768969531,0,0,0,0,0,0,0,0,0,0,0.136258268981236,0,0,0,0,0,0,0,0,0,0,0.0243724625609524,0,0,0,0,0,0,0.0963528280874554,0.200467631365103,0,0,0,0,-0.191783869681405,0.05369467707259,0,0,0,0,0.000472845297133778,0,0
X600295.SH,0,0,0,0,0,0.178463982192029,0,0,0,0,0,0,0.0775195209762075,0,0,0,0,0,0.106354984063064,0,0.270776976452095,0,0.0178848090886187,0,0,0,0.114480489482676,0,0,0,0.039194649883325,0,0,0,0,0,0,0.0610339885468669,0,0,0,0,0,0,0.111782041461901,0,0.0595463107389995,0,0,0,0,0,-0.0553163342072663,0,0,0,-0.0683126102166965,0,0
X600801.SH,0,0,0,0,0.0806874245508774,0,0,0.289889094740082,0,-0.0500148479032114,0,0,0,0.0684869680360892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151297719140299,0,0,0,0,0,0.101366290187092,0,0,-0.0841445591358745,0,0.0819510269457125,0,0,0.00116468587287529,0,0,0,0,0,0.0122070712339245,0,1.73472347597681e-18,0,0,0,-0.0505845425834424,0,0
Change_TY3M,0,0,0,0.265282734247704,0,-0.0963971645644554,0,0,0,0,0,0,0.0658150039449073,-0.0731803019768444,0,0,0,0,0,0,0,0,-0.0535138974589692,0,0,0,-0.116095239656498,0,0,0,0,-0.110904980536817,0,0,0,0,0,0.0388335025535623,0,0,0,0,0,0,-0.0040410481210303,-0.0378765485563675,0,0,0,0.215644125289857,0,-0.208601161849409,-0.13161719644428,0,0,0,-0.0100156970045757,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00484304481132147,0,0,-0.101126261547547,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0508756115972003,0,-0.115876468374707,0.0474756071689942,0.158226704086636,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0247203515020579,0,0.23723305588466,0,0,0,0,0.0903159381324575,0,0,0,-0.272437955245178,0,0
TED,0,-0.0752331369449297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601294778163209,0,0,0.273934872772626,-0.0803595117329156,0,0,0,-0.499566724529541,0,-0.0770806513645879,0,0,0,0,0,0.61913496261899,0,-0.558600721977074,-0.564266011188326,0,0,0,0,0,0,0,0,0.144613028290951,0,0,0,0,0.869958669462557,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,-0.0430551321979103,0.013491076151694,0,0,0,0,0,-0.112410844472958,0,0,0.0572370341839743,0,0,0,0,0.0831985289973912,0,0,-0.0210185922784692,0,0,-0.0946843415832272,0,0,0,0,0,0,0,0.0999289630450199,0,0,0,0,0,0,-0.0233106734838138,0,-0.0654057032783686,0,0,0,0,0,-0.0327497099187135,0,0,0,-0.00958001923688949,0,0
MKreturn,0,-0.110514811515208,0,0,0,0,0,0,0,0.102210599087735,0,0,-0.0729817025259094,0,0,0,-0.0228924318188195,0,0,0,0,0,0,-0.0524537767881879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367890904631474,0,0,0,0,0,0,0,0.00958964980699108,0,0,0,0,-0.0435407704764425,0,0,0,0,0,0
