,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X601600.SH,X600660.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600027.SH,X600803.SH,X002460.SZ,X601991.SH,X600160.SH,X000301.SZ,X600426.SH,X002466.SZ,X000983.SZ,X601699.SH,X600176.SH,X600219.SH,X000786.SZ,X000807.SZ,X002128.SZ,X000630.SZ,X600985.SH,X601168.SH,X000877.SZ,X000933.SZ,X000408.SZ,X600096.SH,X000883.SZ,X002353.SZ,X000932.SZ,X000027.SZ,X600378.SH,X002271.SZ,X600995.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000883.SZ,0,0.105941777863104,0,0,1.73472347597681e-18,0,0.150511510144163,0,0.205285062172607,0,0.12000935444657,0.27602216899332,0,0.184020068456727,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0331920532811691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0647680657520103,0,0,-0.018574484334851,0,0,0,0,-0.054998724556701,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128043399333356,0.101150700754747,0,0,0,0,0,0,0,0,0,0.0688778897643172,0,0,0,0,0,0.285130042731574,0,0,0,0,0,0,0.243501505319087,0.185022266463074,0,0,0,0,0,0.122210168163932,8.67361737988404e-19,0,0,0,-0.0396814915518253,0,0,0,0,-0.0129108637065929,0,0
X000932.SZ,0,0,0,0.053713785800881,0,0.205268708878266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273515115319291,0,0,0,0,0,0.0322881400793387,0,0,0,0,0,0,0,0,0,0.00982298406215654,0,0,0.15835180220114,0,0,0,0,0,0,0,0,0.0321751989343771,0,0,-0.0217340369689617,0,0.0843863906098087,0,0,0,0.037349941417091,0,0
X000027.SZ,0.0191885368968847,0,0,0,0.235408109152048,0,0,0,0,0,0.0296464587303264,0,0,0,0,-0.0244806988984939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074806583027424,0,0,0,0,0,0,0,0.183899378157341,0,0,0,-0.0877295321921374,0.0818532600708815,0.0485213715558402,0,-0.0471379074671846,0,0,0,0,0,0,0,0
X600378.SH,0,0,0,0,0,0,-0.0829262871578009,-0.0056348146433668,0,0,0,0,0,0.0862379439631338,0,0,0,0,0,0,0.0355956558269506,0,0,0,0,0,0,0.114385942838218,-0.165261175964198,0,0,0,0,0,0,0,0,0,0,0.1084881061031,-0.12819219558289,0,0,0,0,0,0,0.0751227220719149,0,0,0,0,-0.138716069072832,-0.274780458265773,0,0,0,0,0
X002271.SZ,0,0,0,0.237144621618887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426389192877886,0,0,0,0,0,0,0,0,0,0.034978999422089,0,0,0.283214608600752,0,0.049435617647498,0,0,0.111284172298782,0,0,0.213482140493373,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.0407157230992818,0,-0.00336621361724929,0,0,0.0800798775397735,0,0
X600995.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591363594196544,0,0,0,0,0,0,0.214087243868058,0,0,0,0,0,0,0,0,0,0,0,0.0413688294814215,0,0,0,0.141696161327487,0,0,0,0.027937232418554,0.0162727919858437,0,0,0.0368301246139505,0,0,-0.0741568383509493,0,-0.0835427822630874,0,0,0,0.0815733253043049,0,0
X600299.SH,-0.0729766333797113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00644467932184776,0,0,0,0.102784228873291,0,0,0,0,0,0.0211706894564555,0,0,0,0,0,0.0837050814221332,0,0.0577557312274225,1.73472347597681e-18,0,0,0.0113863133100825,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.031581948730418,0,0.0200258847249117,0,0,0,-0.0390085620942353,-0.0486089356762186,0,0,0.0161960038585916,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128876087949107,-0.465257825213,0.00158619132193672,0,0,0,0,0,0,0,-0.0992590949660028,0,0,0,0,0,0,0,0,0,0.211136346939562,-0.201143132916294,0,0.233442923304727,0.142286287384115,0,0,0,0,0,0,0,0,0,0.0893947461928806,0,0,0,0,-0.161147531733285,0.110532515634816,0,0,0.0133131999636361,0,0
Slope,0,0,0,0.189584931837211,0,0,-0.267735511938567,-0.134198699346665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284933755858533,0.0669260755008878,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.121623618435913,0,0,0,0,0,0,0,0,0,0,0,0.919515593394561,0,0,0,-0.0588120642299566,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0757261938018686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0820997566718736,0,-0.00542728649730158,0,-0.0499001647088399,0,0,0,0.0812472027043969,0,0,0,0.561159498275934,0,-0.00589963961045159,0,0,-0.0523969888913745,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0.117242091962443,-0.0745195882561966,0,-4.33680868994202e-19,-0.0461995004211881,0,0,0.0188280427642245,0,0,0,0,-0.203227970185958,0.103384710796764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207435086982237,-0.0359547593074282,0,0,0,0,0,-0.028423708905819,0,-0.15542413873209,0,0,0,0,-0.0187737771723857,-0.0524892785412176,0,0,0,-0.0284587583141238,0,0
MKreturn,0,-0.0834008173494682,0,0,0,0,0,0,0,0,0,0,0,-0.128088313267192,0,0,0,0,0,0,0,0,0,0,-0.0185811522971454,0,0,0.0332312676010574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409338368881531,0,0,-0.0104652331078475,-0.074484620906202,0,0,0,-0.00844917715208761,0,0.0354746818918225,0,0,-0.00486707794296158,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00397796828491598,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,-0.0096951522279983,0,0,0,0,0,0,-0.00890629973628178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014899379234724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089835251062825,0.0194948238356423,0,0,0,0,-0.000542831536358158,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,-0.00863846223071127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135315944394374,0,0.0336877033833616,0,0,0,0,0,0,-0.0161814719902059,0,0,0,0,0.01443731459641,0,0,-0.015709287544016,0,0,0,0,-0.0431072807145406,-0.0198178978608157,0,0,0,0.000410427449570917,0,0
