,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X600111.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600801.SH,X600219.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X002271.SZ,X002110.SZ,X002470.SZ,X000408.SZ,X600612.SH,X600021.SH,X000539.SZ,X600157.SH,X000630.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002466.SZ,0,0,0.00653965566746341,0,0,0,0,0,0,0,0,0,0.0671779982509518,0,0,0,0,0.0640257656254583,0,0,0,0,0,0,0,0,0,0,0.911860744186685,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0931350547487034,0.0314767688982803,-0.00190122205317531,-0.12435005853658,0,0,0.0587587306435968,0,0
X000709.SZ,0,0,0,0,0,0,0,0,-0.0354405680569195,0,0,0,0,0,0,0,0,0,0,0,0.0220765703211861,0.0392235753064013,0.151113036733368,0,0,0,0,0,0,0,0.0698636231558207,0,0,0,0,0.0883721686315254,0,3.46944695195361e-18,0,0,0.0425946352584877,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.00736896554090394,0,0,0,0,0.00413526153783122,0,0
X600111.SH,0,0,0,0,0,0,0,0,0.00602317771331338,0,0,0,0,0,0.106930852110395,0,0,0,0,0,0.0540838554055532,0,0.192103426141154,0,0,0,0,0,0.130387348212112,0,0.0106367822010651,0,0,0,0,0,0,0,0,0,0,0.0250141144951057,0,0,0,0,0,0,0.333172902389142,0,0,-0.0241709556186431,0.0246917737437806,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0.206949133546951,0,0,0,0,0,0,0,0.037801277110934,0,0.0488418934301549,0,0,0,0,0,0,0,0,-0.0536624613887969,0,0,0,0.35137276826943,0,0.0239540120136179,0,0,0,0,0.200742319789565,0,0,0,0,0,0,-0.0186147166130262,0,0,0,0.0130706249873832,-0.0497217678577956,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0.0436612270940795,0,0,0,0,0,0,0,0,0,0,0.12715446002326,0,0,0,0,0.0431591947510109,0,0,0.234488415141392,0,0,0.0424693452054373,0,0,0,0,0,0,0,0,0.112842792973191,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00830296408493774,0,0,0,0,0.044489956071721,0,0
X002460.SZ,0,0,0,0,0,0,0.0228112655343511,0,0.0369420752113648,0,0,0,0,0,0,0,0,0.0920817537845894,0,0,0,0,0.0343745904807283,0.511610252003503,0,0,0,0,0,0,0.0533000694900655,0,0,0,0,0,0,0,0,0,0,0,0,0.0724436092780771,0,0.257227907559463,0,0,0,0,0,-0.00347826969482296,0.024721981067255,0,0,0,0.017473711017853,0,0
X600489.SH,0,0,0,0,0,0.0775329361750233,0,0,0.683116301581594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000767381053153396,0,0,0,0,-0.114461779889227,0,0.0240066008944656,0,0,0,0,0.0364219685917667,0,0,0,0,0.0772072814232264,-0.0535024875815649,0,0,0.0130626451195476,0,0,0,0,0,-0.0336481539134521,-0.00923753204076072,5.42101086242752e-20,0,0,0,0,-0.00329669264315193,0
X000629.SZ,0,0.10596581693364,0,0,0,0,0.130473424249818,0,0,0,0,0,0,0,0,0,0.150297575162674,0.0283501846221655,0,0,0,0,0.128318483141852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746663474071522,0,0.110654891080042,0,0.0782133611458883,0.0612300757819402,0,0,0,0,0.0956746605386702,0,0,0,0,0.0262572570383153,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0.123522377138611,0,0,0,0.0127311984527289,0,0,0,0,0,0,0,0,0,0.0341968865327849,0,0,0,0,0,0,0.168021156896125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163758003923006,0.133197915794667,0.11951466741524,0,0,0,0,0,0,0,0.0142341292526543,0,0,0,0,0.0984008324466296,0,0
X601158.SH,0,0,0,0,0,0,0.0215110262211854,0,0,0,0,0,0,0,0,0,0,0.013504351559061,0,0,0.0274975685430605,0,0,0,0,0.102586046611942,0.0986612737658157,0,0,0,0.0596776448722569,0,0,0,0,0,0,0.0522781893358868,0,0,0,0,0,0,0,0,0.0674010580838664,0.00285186841046974,0,0.0168221055761513,0,-0.006361694775866,0.0160883789271335,0,0,0,0,0,0
