,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X601600.SH,X600795.SH,X600027.SH,X600362.SH,X600188.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X600352.SH,X000709.SZ,X600299.SH,X600516.SH,X600489.SH,X002460.SZ,X601158.SH,X600808.SH,X000629.SZ,X600219.SH,X600801.SH,X000786.SZ,X000825.SZ,X000883.SZ,X000539.SZ,X300072.SZ,X600612.SH,X000553.SZ,X000301.SZ,X000408.SZ,X600583.SH,X000027.SZ,X002110.SZ,X002470.SZ,X000630.SZ,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600219.SH,0,0,0,0,0,0,0.0400440107172181,0.273747932131541,0,0,0,0,0,0,0,0,0,0,0,0.17257824423465,0,-0.00897980508802589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.0243911076884154,0,0,0,0.0349252139950874,0,0
X600801.SH,0,0,0,0.0936417420136486,0,0,0,0,0,0,0,0,0,0,0,0,0.207480658551985,0,0,0,0,0,0.0559871317819336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481742171941476,0,0,0.404199835212649,0,0,0,0,0,0,0,0.0912181448458521,0,-0.0112318818599585,-0.000628371645315827,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583622520826163,0,0,0.292832811194846,0,0,0.170365422585683,0,4.33680868994202e-19,0,0,0.0688559670965826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379564505731932,0,0,0,0,0,0,0,0,0,-0.00577587626533179,0.0105190900192194,0,0,0,0,0,0
X000825.SZ,0,0,0.0219256431527051,0,0,0.0515557169700256,0,0,0,0,0,0,0,0,0.315610428175042,0,0,0,0,0.0805478874763988,0,0,0.0854961792709667,0,0,0,0.112024257444923,0,0,0.0286642635006586,0,0,0.106188749012924,0,0,0,0,0,0,0.0810228937910934,0,0,0,0,0.0195163614200404,0,0,0,0,0,0,-0.0124720361957964,0.0194777658538303,0,0,0,-0.0270782636231137,0,0
X000883.SZ,0,0,0,0,0,0,0,0.000401538211006832,0,0,0,0,0,0,0,0,0,0,0,0.181326040507538,0,0,0.0211314892584428,0,0.173664979217046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115886647201829,0.129047927816821,0,0.0616933673195075,0,0,0,0,0,0,0.00694004679145555,-0.00893619968058709,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315925685509535,0,0,0.187665117377948,0,0,0.0993740729624653,0.0254607407110613,0,0,0,0.133122017523581,0,0,0,0,0,0,0,0,0,0,0,0.105190495232458,0,0.181125879017213,0,0,0,0.090037533332989,0,0,0,0,-0.0287215884638142,0.00189901839976219,0.0136231775952489,0,0,0,0.0145073972100647,0,0
X300072.SZ,0,0,0,0,0,0,0.00307088447793625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416878519428709,0,0,0,0,0,0,0.260805180927247,0,0,0.253607693829978,0,0.261539617925123,0,0.118749206600778,0,0,0,0,0.0519638067409159,0,0,0,0,0.0676065547876257,0,0,0.242720499253075,0,-0.0570757489520176,0,0,0,0,-0.101562494987765,0,0
X600612.SH,0,0,0,0,0.0605649861548479,0,0.0483727925253879,0.0259026730934414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223834722673614,0,0,0,0,0,0,0,0,0,0,0,0.0590137672259978,0,0,0,0,0,0,-0.0975495551687659,0,0,0.138062342137761,0,-0.0275541320766077,-0.0188867052092819,0,0,0,-0.212928439646591,0,0
X000553.SZ,0,0,0,0,0,0,0,0,0.0133881394213684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702951754501212,0,0,0,0,0.156527558050546,0.141668373367869,0,0,0,0,0,0.169506146862413,0.159215965000403,0,0,0.0798848112202165,0.134154927701082,0,0,0,0,0,0,0.00526537559707035,0,0,0,0,-0.0456785300863408,-0.0331869133826936,0,0,0,-0.136378357793245,0,0
X000301.SZ,0,0.0845266836451017,0,0,0,0,0,0.26851221764445,0,0.471438196424478,0,0,0,0,0,0,0,0,0,0,0.17445677104062,0.0798578579298816,0,0,0,0,0,0.00660074377440469,0.0782939022915053,0,0,0,-0.0156644879297471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978929850030976,0,-0.0189578780340489,0,0,0,0,0,0,0
X000408.SZ,0,0,0.0783792300717764,0,0,0,0,0,-0.0325177493386556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100025723715998,0,0.340478874033709,0,0,0,0,0.0697054528464666,0,0,0,0.173015665153706,0,0,0,0,0,0.0754858803037169,0,0,3.46944695195361e-18,0,0,0,-1.73472347597681e-18,0.0495551258594538,0,0,0,-0.00826460331024682,0.000346448884827178,0.0464749491006418,0,0,0,0,0
X600583.SH,0.221450796982663,0,0,0,0,0,0,0,0,0,0,0.194278069848601,0,0.213001220906655,0,0,0,0,0,-3.46944695195361e-18,0,0,0.00719188035753765,0,0.0779882485016318,0,-0.0489321037356712,0,-0.0221410389070127,0,0,0,0.0184126908300846,0,0,0.0877744206645148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549813414269675,0,-0.0137429656067199,0.0377669907834219,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0.309506685305792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125315535521914,0,-0.100940595631514,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.257330363824481,0,0,0,0,0,0,-0.0108434980092613,-0.0171219778252471,0,0,0,0,0,0
X002110.SZ,0,0,0,0,0,0,0.0523384317104274,0,0,0,0,0,0,0,0,0,0,0,0.166075548030717,0,0,0.0842930315346631,0.113052642082957,0,0,0,0,0,0,0,0,0.444066328721619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197325971265517,0,0,0,0.00456701392555813,0.0151229303906268,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0.111617643015646,0.124993658146527,0,-0.103170402951639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172902012850468,0,0,0,0,-0.0593602281471651,0,0,0,0,0,0,0,0,0,0,0.0209997156766998,0,0,0,0,-0.0885503417846881,0,0.338284721793915,0,0,0,0.0504601333755459,0.0299816360228107,-0.108316478954289,0.0308971696397904,0,0,0,0.057333552729527,0
